fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FEP,2013,Sensibilisation aux espèces estuairiennes de la baie de Canche,2 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Sensibilisation-aux-especes-estuairiennes-de-la-baie-de-Canche/(offset)/155/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,12 372 €,58 916 €,"Maréis, Centre de découverte de la pêche en mer",Agriculture et pêche ; Espaces naturels à enjeux
FEP,2011,"Edition du livre ""Salicornes, asters et végétaux marins de la Baie de la Somme""",,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Edition-du-livre-Salicornes-asters-et-vegetaux-marins-de-la-Baie-de-la-Somme/(offset)/155/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 470 €,7 155 €,Association des Ramasseurs de Salicornes de la Baie de Somme,Agriculture et pêche ; Culture et tourisme
FEADER,2013,Une grange rénovée en un espace intergénérationnel à vocation culturelle,,Bourgogne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-grange-renovee-en-un-espace-intergenerationnel-a-vocation-culturelle/(offset)/155/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,51 440 €,130 000 €,Commune de Beurizot,Culture et tourisme ; Développement local et cohésion territoriale ; Développement rural
FEDER,2013,"Favoriser le développement urbain, l'activité d'enseignement supérieur et de recherche scientifique et l'innovation technologique en milieu urbain",7 ans (2007-2013),Ile-de-France,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Favoriser-le-developpement-urbain-l-activite-d-enseignement-superieur-et-de-recherche-scientifique-et-l-innovation-technologique-en-milieu-urbain/(offset)/155/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,12 150 000 €,40 160 950 €,"Chef de fil Plaine Commune / Porteurs de projet : Plaine Commune, Université Paris 13",Développement local et cohésion territoriale ; Emploi et inclusion sociale ; Recherche et Innovation ; Urbain
FSE,2010,Implantation de la Grande Ecole des Hommes de Métiers en Compagnonnage : innover et restructurer la formation continue des jeunes du Tour de France,2 ans et demi,Ile-de-France,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Implantation-de-la-Grande-Ecole-des-Hommes-de-Metiers-en-Compagnonnage-innover-et-restructurer-la-formation-continue-des-jeunes-du-Tour-de-France/(offset)/155/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,423 067 €,940 148 €,Compagnons du Devoir,Emploi et inclusion sociale ; Formation
FEDER,2010,Accompagnement des créatrices pionnières tout au long du parcours de la création d'entreprise,,Ile-de-France,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagnement-des-creatrices-pionnieres-tout-au-long-du-parcours-de-la-creation-d-entreprise/(offset)/160/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,61 900 €,125 600 €,Paris Pionnières,Aides aux entreprises ; Emploi et inclusion sociale
FSE,2012,Des contrats d'apprentissage pour les personnes en situation de handicap,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Des-contrats-d-apprentissage-pour-les-personnes-en-situation-de-handicap/(offset)/160/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,358 975 €,,Centre de Formation des Apprentis Spécialisés (CFAS),Emploi et inclusion sociale ; Formation
FSE,2011,Création de deux chantiers d'insertion pour l'emploi,2 ans,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-de-deux-chantiers-d-insertion-pour-l-emploi/(offset)/160/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,44 800 €,300 934 €,IDEAL,Emploi et inclusion sociale
FEDER,,Un projet collaboratif d'écoconception d’un emballage innovant pour les vins de qualité,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Un-projet-collaboratif-d-ecoconception-d-un-emballage-innovant-pour-les-vins-de-qualite/(offset)/160/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,575 000 €,3 063 000 €,UCCOAR / INRA / CEMAGREF / PURE ENVIRONNEMENT,Aides aux entreprises ; Coopération ; Développement durable et environnement ; Recherche et Innovation
FEDER,2009,Réhabilitation de logements sociaux en basse consommation d'energie,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Rehabilitation-de-logements-sociaux-en-basse-consommation-d-energie/(offset)/160/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,554 898 €,7 081 000 €,ALOGEA,Développement durable et environnement ; Energie ; Urbain
FEADER,2009,Accompagner la stratégie commerciale de vignobles languedociens,3 ans,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagner-la-strategie-commerciale-de-vignobles-languedociens/(offset)/165/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,291 263 €,1 456 315 €,SAS Vignobles Lorgeril,Agriculture et pêche ; Aides aux entreprises
FEDER,2011,Développement d'une solution de téléassistance pour la prise en charge à domicile des plaies chroniques,3 ans,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developpement-d-une-solution-de-teleassistance-pour-la-prise-en-charge-a-domicile-des-plaies-chroniques/(offset)/165/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,499 131 €,1 889 241 €,Association Réseau ville-hôpital des plaies et cicatrisations du Languedoc-Roussillon,Développement local et cohésion territoriale ; Santé
FEADER,2010,Création d'activités agricoles et rurales en Pyrénées Audoises,3 ans,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-activites-agricoles-et-rurales-en-Pyrenees-Audoises/(offset)/165/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,70 097 €,133 185 €,Communauté de commune du Pays de Sault et Communauté de Commune du Canton d’Axat,Agriculture et pêche ; Développement rural
FEDER,2009,Valoriser l'agrobiodiversité végétale des régions méditerrannéennes et tropicales,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valoriser-l-agrobiodiversite-vegetale-des-regions-mediterranneennes-et-tropicales/(offset)/165/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 477 324 €,5 077 214 €,,Agriculture et pêche ; Développement durable et environnement
FEDER,2012,EcoRegions : le défi de la transition écologique dans les régions européennes,1 an et demi,CTE - Interreg - Europe,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/EcoRegions-le-defi-de-la-transition-ecologique-dans-les-regions-europeennes/(offset)/165/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 021 884 €,1 482 814 €,Conseil régional de Picardie,Coopération ; Développement durable et environnement
FEDER,2012,"Un centre de formation, de recherche et de transfert de technologie pour l'industrie",2 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Un-centre-de-formation-de-recherche-et-de-transfert-de-technologie-pour-l-industrie/(offset)/170/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,6 000 000 €,17 810 698 €,Conseil Régional de Picardie,Recherche et Innovation
FSE,2010,Aider les entreprises de l'industrie métallurgique dans leur gestion des ressources humaines,2 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Aider-les-entreprises-de-l-industrie-metallurgique-dans-leur-gestion-des-ressources-humaines/(offset)/170/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,575 078 €,1 211 284 €,Association OBJECTIF,Aides aux entreprises ; Emploi et inclusion sociale
