fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FEDER,2007,4 bâtiments exemplaires pour diminuer la consommation d'énergie du tertiaire,5 ans,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/4-batiments-exemplaires-pour-diminuer-la-consommation-d-energie-du-tertiaire/(offset)/405/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 889 032 €,9 778 065 €,Bureau économique de la Province de Namur (BEP),Développement durable et environnement
FEDER,2008,S'adapter aux effets du changement climatique sur la Meuse,4 ans et demi,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/S-adapter-aux-effets-du-changement-climatique-sur-la-Meuse/(offset)/405/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 809 075 €,8 879 589 €,Etablissement Public d’Aménagement de la Meuse et des ses Affluents (EPAMA),Développement durable et environnement
FEDER,2007,Revalorisation et protection des patrimoines naturels et culturels en vue de renforcer l'attractivité de la zone,2 ans,CTE - Interreg - Amazonie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Revalorisation-et-protection-des-patrimoines-naturels-et-culturels-en-vue-de-renforcer-l-attractivite-de-la-zone/(offset)/405/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,254 592 €,339 456 €,WWF France - Bureau Guyane,Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2008,Accompagner les entreprises innovantes en France et en Angleterre,18 mois,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagner-les-entreprises-innovantes-en-France-et-en-Angleterre/(offset)/405/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,290 000 €,582 000 €,Inno TSD - Cap Entreprises (Côtes d’Armor),Emploi et inclusion sociale ; Recherche et Innovation
FEDER,2010,Vers une meilleure compréhension de la protection du milieu marin,4 ans,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Vers-une-meilleure-comprehension-de-la-protection-du-milieu-marin/(offset)/410/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 500 000 €,5 000 000 €,CNRS Délégation Bretagne - Pays de Loire (Station biologique de Roscoff),Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2008,Pour un développement des PME transfrontalières,3 ans,CTE - Interreg - France Wallonie Flandres,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Pour-un-developpement-des-PME-transfrontalieres/(offset)/410/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 993 633 €,4 134 618 €,Agence intercommunale de développement IDETA,Développement local et cohésion territoriale
FEDER,2008,"La santé, un enjeu clé de la coopération transfrontalière",3 ans,CTE - Interreg - France Wallonie Flandres,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/La-sante-un-enjeu-cle-de-la-cooperation-transfrontaliere/(offset)/410/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,394 543 €,783 086 €,Observatoire Franco-Belge de la Santé,Recherche et Innovation ; Services au public
FEDER,2009,Outils pour la structuration et la mise en réseau des données culturelles de la Grande Région,3 ans,CTE - Interreg - Grande Région,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Outils-pour-la-structuration-et-la-mise-en-reseau-des-donnees-culturelles-de-la-Grande-Region/(offset)/410/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,740 208 €,1 480 416 €,Agence luxembourgeoise d’action culturelle (GDL),Culture et tourisme ; Recherche et Innovation ; TIC
FEDER,2009,Améliorer le marché de l'emploi transfrontalier dans la Grande Région,3 ans,CTE - Interreg - Grande Région,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Ameliorer-le-marche-de-l-emploi-transfrontalier-dans-la-Grande-Region/(offset)/410/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,450 000 €,900 000 €,INFO-Institut Saarbrücken,Emploi et inclusion sociale
FEDER,2007,Valorisation des primitifs rhénans : la culture par-delà les frontières,18 mois,CTE - Interreg - Rhin supérieur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valorisation-des-primitifs-rhenans-la-culture-par-dela-les-frontieres/(offset)/415/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,221 000 €,442 000 €,"Musée d’Unterlinden, Colmar",Culture et tourisme
FEDER,2008,Le bio-cluster Alsace BioValley consolide son positionnement européen,3 ans,CTE - Interreg - Rhin supérieur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-bio-cluster-Alsace-BioValley-consolide-son-positionnement-europeen/(offset)/415/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,478 187 €,1 413 800 €,Alsace BioValley - Association pour le Développement de la filière sciences de la vie santé en Alsace,Emploi et inclusion sociale ; Recherche et Innovation
FEDER,2010,Coopération franco-italienne pour la gestion d'un parc marin international,3 ans,CTE - Interreg - ALCOTRA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Cooperation-franco-italienne-pour-la-gestion-d-un-parc-marin-international/(offset)/415/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 641 510 €,2 188 680 €,"Office de l’Environnement de la Corse, Département « Parc Marin International des Bouches de Bonifacio »",Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2009,Renforcer la pratique des activités équestres transfrontalières,3 ans,CTE - Interreg - ALCOTRA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Renforcer-la-pratique-des-activites-equestres-transfrontalieres/(offset)/415/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 378 650 €,1 875 320 €,Comité Régional d’Equitation Corse (CRE) et Direction du Sport et de la Jeunesse de la Collectivité Territoriale de Corse,Culture et tourisme ; Développement local et cohésion territoriale
FEDER,2008,Intégration transfrontalière de services technologiques pour l'industrialisation de produits éco-compatibles dans le secteur de la plasturgie,3 ans,CTE - Interreg - ALCOTRA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Integration-transfrontaliere-de-services-technologiques-pour-l-industrialisation-de-produits-eco-compatibles-dans-le-secteur-de-la-plasturgie/(offset)/415/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 099 714 €,2 123 000 €,Centre d’Animation Régional en Matériaux Avancés - CARMA,Coopération ; Développement durable et environnement
FEDER,2008,Développer la formation professionnelle en zone transfrontalière,3 ans,CTE - Interreg - POCTEFA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developper-la-formation-professionnelle-en-zone-transfrontaliere/(offset)/420/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 048 432 €,1 397 910 €,"Generalitat de Catalunya, Departament d’Educacio, Conseils régionaux Midi Pyrénées et Aquitaine",Formation
FEDER,2009,"RED BIO, Réseau d'expérimentation, d'échange et de transfert pour le développement de l'agriculture biologique en productions végétales à destination des agriculteurs catalans",2 ans,CTE - Interreg - POCTEFA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/RED-BIO-Reseau-d-experimentation-d-echange-et-de-transfert-pour-le-developpement-de-l-agriculture-biologique-en-productions-vegetales-a-destination-des-agriculteurs-catalans/(offset)/420/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 773 781 €,2 728 894 €,Chambre d’Agriculture des Pyrénées Orientales,Agriculture et pêche ; Recherche et Innovation
FEDER,2008,Un projet de santé transfrontalier innovant,3 ans,CTE - Interreg - POCTEFA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Un-projet-de-sante-transfrontalier-innovant/(offset)/420/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,18 600 000 €,31 000 000 €,Generalitat de Catalunya - Departament de Salut (Département de la Santé),Services au public
FEDER,2008,Appui aux acteurs du secteur forestier,4 ans,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Appui-aux-acteurs-du-secteur-forestier/(offset)/420/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 242 197 €,2 491 872 €,Centre Régional de la Propriété Forestière Nord Pas De Calais Picardie,Développement durable et environnement
FEDER,2009,Valoriser le patrimoine archéologique maritime transfrontalier,3 ans,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valoriser-le-patrimoine-archeologique-maritime-transfrontalier/(offset)/420/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 386 954 €,2 774 462 €,ADRAMAR,Culture et tourisme
FEDER,2007,Développer les relations portuaires pour le bénéfice de tous,4 ans,CTE - Interreg - Manche,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developper-les-relations-portuaires-pour-le-benefice-de-tous/(offset)/425/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 806 077 €,12 698 554 €,South East of England Development Agency,Energie
FEDER,2009,Protéger les produits régionaux tout en respectant la santé publique,2 ans,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Proteger-les-produits-regionaux-tout-en-respectant-la-sante-publique/(offset)/425/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,136 808 €,273 617 €,Pôle fromager AOC Massif central,Recherche et Innovation
FEDER,2008,Les jeunes familles à l'honneur dans le Massif-Central,3 ans,Interrégional - Massif Central,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Les-jeunes-familles-a-l-honneur-dans-le-Massif-Central/(offset)/425/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,379 443 €,953 083 €,"ACEPP, Association des collectifs enfants parents professionnels",Emploi et inclusion sociale ; Formation
FEDER,2008,Diagnostic et aide aux entreprises pour lutter contre les inondations,2 ans,Interrégional - Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Diagnostic-et-aide-aux-entreprises-pour-lutter-contre-les-inondations/(offset)/425/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 055 326 €,4 110 652 €,Etablissement public Loire,Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2008,La consolidation d'un cluster soutenant les projets collaboratifs de recherche transalpins,3 ans,CTE - Interreg - Espace Alpin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/La-consolidation-d-un-cluster-soutenant-les-projets-collaboratifs-de-recherche-transalpins/(offset)/425/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 415 000 €,1 862 505 €,ADEBAG (Pour le Bio Cluster Rhône-Alpes),Recherche et Innovation
FEDER,2009,Rénovation d'un bâtiment respectueux de l'environnement pour accueillir un public jeune et handicapé,1 an,CTE - Interreg - Espace Alpin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Renovation-d-un-batiment-respectueux-de-l-environnement-pour-accueillir-un-public-jeune-et-handicape/(offset)/430/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,329 000 €,987 000 €,Association « Eclaireuses éclaireurs et de France »,Développement durable et environnement ; Emploi et inclusion sociale
FEDER,2008,L'éducation au service de la préservation de l'environnement marin,3 ans,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/L-education-au-service-de-la-preservation-de-l-environnement-marin/(offset)/430/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,103 705 €,226 032 €,"Atelier du Cap-de-l’Aigle (Centre permanent d’initiatives pour l’environnement – CPIE, Côte Provençale)",Développement durable et environnement ; Formation
FEDER,2008,Une crèche écolo dans l'Ain,1 an,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-creche-ecolo-dans-l-Ain/(offset)/430/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,44 100 €,184 000 €,Communauté de communes du Pays de GEX,Développement durable et environnement ; Services au public
FEDER,,De nouveaux traitements pour limiter la prolifération des tumeurs cancéreuses,3 ans,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/De-nouveaux-traitements-pour-limiter-la-proliferation-des-tumeurs-cancereuses/(offset)/430/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,737 199 €,3 276 440 €,IDD Biotech,Recherche et Innovation
FEDER,2008,Repenser la relation client/fournisseurs,2 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Repenser-la-relation-client-fournisseurs/(offset)/430/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,91 000 €,283 000 €,Centre technique des industries mécaniques (Cetim),Coopération ; Développement local et cohésion territoriale
FEDER,2007,Restaurer un bras de la Loire pour en préserver les habitats naturels,35 mois,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Restaurer-un-bras-de-la-Loire-pour-en-preserver-les-habitats-naturels/(offset)/435/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,224 554 €,975 805 €,Syndicat intercommunal à vocation unique (SIVU) des marais et vallées du Pays d’Ancenis entre Loire et Galerne,Développement durable et environnement
FEDER,2009,Amélioration de la qualité de l'air intérieur par les végétaux,3 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Amelioration-de-la-qualite-de-l-air-interieur-par-les-vegetaux/(offset)/435/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,164 896 €,206 120 €,Université de Lille II,Développement durable et environnement
FEDER,2009,Le projet SAPI : système d'archivage et de partage des images médicales,3 ans,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-projet-SAPI-systeme-d-archivage-et-de-partage-des-images-medicales/(offset)/435/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,57 128 €,142 820 €,Centre hospitalier de Somain,Recherche et Innovation
FEDER,2008,Allégeons le cartable des élèves !,4 ans,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Allegeons-le-cartable-des-eleves-!/(offset)/435/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 104 523 €,3 681 744 €,Conseil régional de Midi-Pyrénées,Formation ; Recherche et Innovation ; TIC
FEDER,2009,Intégrer les énergies renouvelables dans le développement d'un territoire,1 an,Ile-de-France,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Integrer-les-energies-renouvelables-dans-le-developpement-d-un-territoire/(offset)/435/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,37 840 €,346 000 €,Chelles Chaleur,Développement durable et environnement ; Energie
FEDER,2009,Permettre à une entreprise de développer ses activités innovantes en créant des emplois,1 an,Haute-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Permettre-a-une-entreprise-de-developper-ses-activites-innovantes-en-creant-des-emplois/(offset)/440/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,536 294 €,1 986 275 €,Normandy Coating,Emploi et inclusion sociale ; Recherche et Innovation ; TIC
FEDER,2007,Booster l'innovation et sauvegarder des emplois,3 ans,Haute-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Booster-l-innovation-et-sauvegarder-des-emplois/(offset)/440/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 037 100 €,4 444 000 €,ETHYPHARM,Emploi et inclusion sociale ; Recherche et Innovation ; TIC
FEDER,2006,"Faire émerger un nouveau campus, site régional majeur",3 ans,Guyane,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Faire-emerger-un-nouveau-campus-site-regional-majeur/(offset)/440/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,28 000 000 €,77 000 000 €,Rectorat de la Guyane,Formation ; Recherche et Innovation
FEDER,,Une aide au fret pour une entreprise guyanaise,5 ans,Guyane,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-aide-au-fret-pour-une-entreprise-guyanaise/(offset)/440/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,65 834 €,131 674 €,SOLAM SAS,Coopération ; Développement local et cohésion territoriale
FEDER,2007,Aider les établissements publics dans leurs investissements,3 ans,Guadeloupe,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Aider-les-etablissements-publics-dans-leurs-investissements/(offset)/440/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 766 462 €,30 147 615 €,Centre hospitalier de Basse-Terre,Développement local et cohésion territoriale
FEDER,2009,Protéger un territoire contre les incendies,1 an,Corse,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Proteger-un-territoire-contre-les-incendies/(offset)/445/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,47 520 €,160 000 €,Communauté de Communes du Nebbiu,Développement durable et environnement
FEDER,2009,Soutien de l'utilisation innovante de matières naturelles,3 ans,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutien-de-l-utilisation-innovante-de-matieres-naturelles/(offset)/445/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 585 885 €,4 810 229 €,Teillage Vandecandelaere,Développement durable et environnement ; Recherche et Innovation
FEDER,2010,Aménagement d'une halle couverte à vocation évènementielle et culturelle sur la commune de Saint-Pantaléon de Larche,12 mois,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Amenagement-d-une-halle-couverte-a-vocation-evenementielle-et-culturelle-sur-la-commune-de-Saint-Pantaleon-de-Larche/(offset)/445/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,212 600 €,1 063 000 €,Communauté de communes Vézère Causse,Développement local et cohésion territoriale
FEDER,2010,Liaison cyclable Franco - Suisse : le vélo pour passer les frontières,2 ans,CTE - Interreg - France Suisse,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Liaison-cyclable-Franco-Suisse-le-velo-pour-passer-les-frontieres/(offset)/445/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 288 000 €,2 666 000 €,Conseil général du territoire de Belfort,Culture et tourisme ; Développement durable et environnement
FEADER,2008,Modernisation d'une entreprise forestière,6 mois,Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Modernisation-d-une-entreprise-forestiere/(offset)/445/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,30 000 €,252 000 €,Entreprise Diem,Agriculture et pêche
FEADER,2008,"Un circuit court, de l'élevage à la vente",1 an,Ile-de-France,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Un-circuit-court-de-l-elevage-a-la-vente/(offset)/450/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 000 €,13 600 €,Pisciculture de Villette,Agriculture et pêche
FEDER,2010,Promotion commerciale des entreprises des Hautes-Alpes : la CCI ouvre la voie,1 mois,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Promotion-commerciale-des-entreprises-des-Hautes-Alpes-la-CCI-ouvre-la-voie/(offset)/450/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,32 535 €,108 450 €,CCI des Hautes-Alpes,Développement local et cohésion territoriale
FEDER,2008,De la recherche en laboratoire à la vie quotidienne,"2,5 ans",Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/De-la-recherche-en-laboratoire-a-la-vie-quotidienne/(offset)/450/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,430 000 €,960 000 €,Laboratoire d’Ingénierie des Matériaux de Bretagne (Université de Bretagne Sud),Recherche et Innovation
FEDER,2008,Les bactéries apportent des solutions aux industriels,20 mois,Champagne-Ardenne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Les-bacteries-apportent-des-solutions-aux-industriels/(offset)/450/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 500 000 €,20 900 000 €,Agro-Industries Recherches et Développement,Recherche et Innovation
FEDER,2007,Installation de capteurs solaires thermiques dans les bâtiments communaux,2 ans,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Installation-de-capteurs-solaires-thermiques-dans-les-batiments-communaux/(offset)/450/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,47 531 €,290 000 €,Piscine Olympique Lothaire,Développement durable et environnement ; Développement urbain
FEDER,2008,Une entreprise familiale à la pointe de la recherche sur les probiotiques,1 an,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-entreprise-familiale-a-la-pointe-de-la-recherche-sur-les-probiotiques/(offset)/455/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,150 000 €,362 200 €,Entreprise Lyocentre,Recherche et Innovation
FEDER,2007,Des résidus agricoles pour produire de la chaleur,3 ans,Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Des-residus-agricoles-pour-produire-de-la-chaleur/(offset)/455/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,120 000 €,819 950 €,SARL Agri-Energie,Développement durable et environnement
FEDER,2007,Aider à prévenir les risques d'inondation,3 ans,Interrégional - Rhône,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Aider-a-prevenir-les-risques-d-inondation/(offset)/455/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,980 200 €,4 945 000 €,Institut Géographique National (IGN),Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2008,Valoriser le bois pour répondre aux besoins en chauffage en Haute-Savoie,1 an,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valoriser-le-bois-pour-repondre-aux-besoins-en-chauffage-en-Haute-Savoie/(offset)/455/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,54 984 €,208 948 €,la société FORESPELLET,Développement durable et environnement
FEDER,2005,Booster le TGV en Bretagne,8 ans,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Booster-le-TGV-en-Bretagne/(offset)/455/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,98 900 000 €,306 000 000 €,Réseau Ferré de France (RFF),Développement local et cohésion territoriale
FEDER,2008,Une exposition sur le risque d’inondation du fleuve,1 an,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-exposition-sur-le-risque-d-inondation-du-fleuve/(offset)/460/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,65 886 €,131 772 €,Association Amorces,Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2009,Entreprises économes en énergie,1 an,Champagne-Ardenne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Entreprises-economes-en-energie/(offset)/460/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,96 696 €,228 153 €,Chambre régionale de commerce et d’industrie de Champagne-Ardenne,Développement durable et environnement
FEDER,2008,Valorisation et développement des métiers d'art,1 an,Champagne-Ardenne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valorisation-et-developpement-des-metiers-d-art/(offset)/460/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,244 528 €,638 504 €,Confédération nationale de l’artisanat des métiers et des services (CNAMS),Développement local et cohésion territoriale
FEDER,2009,Restauration de l'estuaire de la Loire,18 mois,Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Restauration-de-l-estuaire-de-la-Loire/(offset)/460/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,410 778 €,821 556 €,GIP Loire Estuaire,Développement durable et environnement ; Espaces naturels à enjeux
FEDER,2008,Le Jura se couvre de haut débit,1 an,Franche-Comté,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-Jura-se-couvre-de-haut-debit/(offset)/460/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 500 000 €,13 762 923 €,Conseil Général du Jura,TIC
FEDER,2009,Le tourisme prend de la hauteur,1 an,Franche-Comté,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-tourisme-prend-de-la-hauteur/(offset)/465/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,115 220 €,384 067 €,SARL Les cabanes des Grands Lacs,Développement durable et environnement
FEDER,2006,Pour le développement des activités de recherche,2 ans,Réunion,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Pour-le-developpement-des-activites-de-recherche/(offset)/465/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,13 800 000 €,23 000 000 €,GIP CYROI,Recherche et Innovation
FEDER,2009,Investir dans un réseau haut-débit : le projet Num'Hér@ult,1 an,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Investir-dans-un-reseau-haut-debit-le-projet-Num-Her-ult/(offset)/465/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 414 587 €,81 700 000 €,Conseil général de l’Hérault,TIC
FEDER,2009,Alimenter le centre hospitalier d'Alès grâce aux energies renouvelables,1 an,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Alimenter-le-centre-hospitalier-d-Ales-grace-aux-energies-renouvelables/(offset)/465/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,900 000 €,11 900 000 €,Centre Hospitalier d’Alès,Développement durable et environnement
FEDER,2009,Doper l'économie sociale et solidaire et aider les entreprises à prendre leur essor,2 ans,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Doper-l-economie-sociale-et-solidaire-et-aider-les-entreprises-a-prendre-leur-essor/(offset)/465/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 000 000 €,8 000 000 €,Conseil régional du Languedoc-Roussillon,Emploi et inclusion sociale
FEDER,2010,Prévenir les incendies dans le sud,1 an,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Prevenir-les-incendies-dans-le-sud/(offset)/470/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,227 434 €,568 585 €,Service Départemental d’Incendie et de Secours des Bouches-du-Rhône (SDIS 13),Développement durable et environnement
