"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
Biomedical Dental GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/5/2016,2/14/2017,"4,156.00",Bad Wildungen,Deutschland,118
Biomedical Dental GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/5/2016,3/31/2017,"4,156.00",Bad Wildungen,Deutschland,118
Biomedical Dental GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/5/2016,1/31/2018,"4,156.00",Bad Wildungen,Deutschland,118
Biomedical Dental GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/5/2016,2/14/2017,"4,156.00",Bad Wildungen,Deutschland,118
Blumenhaus Görlich Inh. Petra Dorsch e.K.    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,4/6/2016,1/31/2017,"4,156.00",Frankfurt am Main,Deutschland,118
Blumenhaus Görlich Inh. Petra Dorsch e.K.    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,4/6/2016,1/31/2017,"4,156.00",Frankfurt am Main,Deutschland,118
Braunis-Bike-Shop Inh. Klaus-Dieter Braun e.K.    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/9/2015,7/31/2016,"4,156.00",Weilburg,Deutschland,118
BSS Mitte GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/1/2015,8/31/2017,"4,156.00",Kassel,Deutschland,118
Bund Deutscher PfadfinderInnen Landesverband Hessen e.V. BDP Kinderkiste  ,Praxis und Schule (PuSch),PuSch A: Joachim-Schumann-Schule  ,8/10/2015,7/31/2017,"25,300.00",Babenhausen,Deutschland,115
BWS Steuerberatungsgesellschaft mbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,8/31/2016,"4,156.00",Seligenstadt,Deutschland,118
BZ Bildungszentrum Kassel GmbH      ,Bildungsberatung und -coaching,"Nachqualifizierungsberatungsstelle Kassel, Nordhessen  ",1/1/2015,12/31/2016,"240,400.00",Kassel,Deutschland,117
Camtec Design Carmine Musciagna e.K.    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/15/2016,8/16/2016,"4,156.00",Mörfelden-Walldorf,Deutschland,118
Caritas Verband Offenbach e.V.      ,Praxis und Schule (PuSch),PuSch A: Merianschule  ,8/1/2015,7/31/2017,"30,000.00",Offenbach,Deutschland,115
Caritasverband für den Bezirk Limburg e.V.    ,Praxis und Schule (PuSch),PuSch A: Johann-Wolfgang-von-Goethe-Schule  ,8/1/2015,7/31/2017,"31,100.00",Limburg,Deutschland,115
Caritasverband für den Bezirk Limburg e.V.    ,Praxis und Schule (PuSch),PuSch A: Leo-Sternberg-Schule  ,8/1/2015,7/31/2017,"31,100.00",Limburg,Deutschland,115
Caritasverband für den Bezirk Limburg e.V.    ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Limburg  ,1/1/2016,12/31/2016,"16,800.00",Limburg,Deutschland,109
Caritasverband für den Bezirk Limburg e.V.    ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Limburg  ,1/1/2015,12/31/2015,"17,300.00",Limburg,Deutschland,109
Caritasverband für die Diözese Limburg e.V.    ,Impulse der Arbeitsmarktpolitik (IdeA),"""aufwärts! in der Altenpflege"" - Berufsbegleitende Aufwärtsqualifizierung zu Pflegefachkräften",1/1/2015,12/31/2015,"476,400.00",Limburg,Deutschland,109
Caritasverband für die Diözese Limburg e.V.    ,Impulse der Arbeitsmarktpolitik (IdeA),"""aufwärts! in der Altenpflege 2"" Fachkraft-Qualifizierung von angelernten Beschäftigten in der Altenpflege",8/1/2015,12/31/2018,"1,224,900.00",Limburg,Deutschland,109
Caritasverband für die Regionen Fulda und Geisa e. V.    ,Arbeitsmarktbudget,Schuldnerberatung  ,3/1/2015,2/28/2017,"103,900.00",Fulda,Deutschland,109
Caritasverband für die Regionen Fulda und Geisa e. V.    ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement in der JVA Fulda  ,1/1/2015,12/31/2015,"20,700.00",Fulda,Deutschland,109
