"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
KS-Assekuranzkontor e.K.      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,8/31/2016,"4,156.00",Kassel,Deutschland,118
KUBI-Verein für Kultur und Bildung e.V.      ,Praxis und Schule (PuSch),PuSch A: Schwanthalerschule  ,8/1/2015,7/31/2016,"60,000.00",Frankfurt am Main,Deutschland,115
KUBI-Verein für Kultur und Bildung e.V.      ,Praxis und Schule (PuSch),PuSch B: Heinrich-Kleyer-Schule  ,8/1/2015,7/31/2016,"30,000.00",Frankfurt am Main,Deutschland,115
Kuch und Partner Versicherungsmakler und Finanzdienstleister  ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/7/2015,7/31/2017,"4,156.00",Limburg,Deutschland,118
Kultur123 Stadt Rüsselsheim      ,Praxis und Schule (PuSch),PuSch A:  Alexander-von-Humboldt-Schule  ,8/1/2015,7/31/2016,"30,000.00",Rüsselsheim,Deutschland,115
Kultur123 Stadt Rüsselsheim      ,Praxis und Schule (PuSch),PuSch A: Anne-Frank-Schule  ,8/1/2015,7/31/2016,"30,000.00",Rüsselsheim,Deutschland,115
Kultur123 Stadt Rüsselsheim      ,Praxis und Schule (PuSch),PuSch A: Integrierte Gesamtschule Mainspitze  ,8/1/2015,7/31/2016,"30,000.00",Rüsselsheim,Deutschland,115
Kultur123 Stadt Rüsselsheim      ,Qualifizierung und Beschäftigung junger Menschen,Kreisproduktionsschule Groß-Gerau  ,1/1/2015,12/31/2015,"133,300.00",Rüsselsheim,Deutschland,109
Kultur123 Stadt Rüsselsheim      ,Qualifizierung und Beschäftigung junger Menschen,Kreisproduktionsschule Groß-Gerau  ,1/1/2016,12/31/2016,"164,500.00",Rüsselsheim,Deutschland,109
L & P Finance GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/15/2016,7/31/2016,"4,156.00",Wiesbaden,Deutschland,118
L. Engelhard GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/8/2016,10/7/2017,"4,156.00",Darmstadt,Deutschland,118
Lackierfachbetrieb Ebert Inh. Uwe Siegmund    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,1/31/2016,"4,156.00",Bebra,Deutschland,118
Lackierfachbetrieb Ebert Inh. Uwe Siegmund    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Bebra,Deutschland,118
Landkreis Fulda      ,Bildungsberatung und -coaching,Bildungscoach Landkreis Fulda  ,1/1/2015,12/31/2016,"202,700.00",Fulda,Deutschland,117
Landkreis Kassel      ,Alphabetisierung und Grundbildung Erwachsener,Grundbildungszentrum Kassel - Stadt und Landkreis  ,1/1/2016,12/31/2019,"398,400.00",Kassel,Deutschland,117
Landkreis Kassel      ,Arbeitsmarktbudget,Beschäftigungsorientiertes Fallmanagement  ,4/15/2015,4/14/2017,"112,700.00",Kassel,Deutschland,109
Landkreis Kassel      ,Arbeitsmarktbudget,"Schuldner-, Sucht- und psychosoziale Beratung  ",4/15/2015,4/14/2017,"267,600.00",Kassel,Deutschland,109
Landkreis Marburg-Biedenkopf      ,Bildungsberatung und -coaching,Bildungscoach Landkreis Marburg-Biedenkopf  ,1/1/2015,12/31/2016,"181,100.00",Marburg,Deutschland,117
Landkreis Offenbach      ,Arbeitsmarktbudget,Familienmanagement im Kreis Offenbach  ,8/1/2015,12/31/2016,"194,800.00",Dietzenbach,Deutschland,109
"Landkreis Offenbach Förderung des Ehrenamtes, Sport und Kultur / 10.6  ",Qualifizierung und Beschäftigung junger Menschen,JOBfit interaktiv - mit Vereinssport zum JOB!  ,1/1/2015,12/31/2016,"281,500.00",Dreieich,Deutschland,109
Landkreis Waldeck-Frankenberg      ,Arbeitsmarktbudget,Wohnhilfebüro (Beratung)  ,2/9/2015,7/31/2016,"129,600.00",Korbach,Deutschland,109
Licht & Concept GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,8/31/2016,"4,156.00",Fulda,Deutschland,118
Lobo Technik GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/8/2015,6/7/2017,"4,156.00",Schenklengsfeld,Deutschland,118
Locotravel GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/14/2016,9/13/2017,"4,156.00",Darmstadt,Deutschland,118
Mädchentreff Wiesbaden e.V.      ,Qualifizierung und Beschäftigung junger Menschen,MäK`M Orientierungs- und Qualifizierungsmaßnahme für junge Frauen,1/1/2016,12/31/2016,"231,100.00",Wiesbaden,Deutschland,109
Mädchentreff Wiesbaden e.V.      ,Qualifizierung und Beschäftigung junger Menschen,MäK`M Orientierungs- und Qualifizierungsmaßnahme für junge Frauen,1/1/2015,12/31/2015,"217,100.00",Wiesbaden,Deutschland,109
"Magistrat der Stadt Offenbach Amt für Arbeitsförderung, Statistik und Integration  ",QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Stadt Offenbach,10/1/2015,9/30/2017,"193,000.00",Offenbach,Deutschland,117
"Magistrat der Stadt Offenbach Amt für Arbeitsförderung, Statistik und Integration  ",Qualifizierung und Beschäftigung junger Menschen,Start - Projekt - Produktionsschule Stadt Offenbach  ,1/1/2016,12/31/2016,"434,100.00",Offenbach,Deutschland,109
"Magistrat der Stadt Offenbach Amt für Arbeitsförderung, Statistik und Integration  ",Qualifizierung und Beschäftigung junger Menschen,Start - Projekt - Produktionsschule Stadt Offenbach  ,1/1/2015,12/31/2015,"429,300.00",Offenbach,Deutschland,109
Main-Kinzig-Kreis      ,Arbeitsmarktbudget,Fit für die Ausbildung: Coachingmaßnahme für junge Klienten mit Migrationshintergrund,10/1/2015,12/31/2016,"380,800.00",Gelnhausen,Deutschland,109
Maler Mittelhessen Matthias Demandt    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/11/2015,7/31/2016,"4,156.00",Pohlheim,Deutschland,118
Maler- und Lackiererbetrieb Inh. Stefan Sauer    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/6/2015,7/31/2016,"4,156.00",Nentershausen,Deutschland,118
Maler- und Lackierermeister Manuel Fernandez    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/13/2015,7/31/2017,"4,156.00",Nentershausen,Deutschland,118
Maler- und Lackierermeister Manuel Fernandez    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,7/31/2016,"4,156.00",Nentershausen,Deutschland,118
Malermeisterbetrieb Bodo Christ Inh. Susanne Christ    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,12/17/2015,8/31/2017,"4,156.00",Limburg a.d. Lahn Staffel,Deutschland,118
Malermeisterbetrieb Bodo Christ Inh. Susanne Christ    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/17/2015,7/31/2016,"4,156.00",Limburg a.d. Lahn Staffel,Deutschland,118
manage it Verein zur Förderung der Umwelterziehung und der beruflichen Bildung  ,Praxis und Schule (PuSch),PuSch B: Wilhelm-Knapp-Schule  ,8/1/2015,7/31/2016,"20,200.00",Weilburg,Deutschland,115
management4health GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,6/1/2016,11/30/2017,"4,156.00",Frankfurt am Main,Deutschland,118
Manfred Gerlach Rechtsanwalt und Steuerberater    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/14/2016,8/14/2016,"4,156.00",Heusenstamm,Deutschland,118
Mario Hoffmann Steuerberater    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/11/2016,7/31/2016,"4,156.00",Reiskirchen,Deutschland,118
Mario Hoffmann Steuerberater    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/15/2016,8/31/2016,"4,156.00",Reiskirchen,Deutschland,118
Martin Retelsdorf FarmerTec. Treibhaustechnik    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/19/2015,4/18/2017,"4,156.00",Kassel,Deutschland,118
Maustronik GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/11/2015,2/28/2018,"4,156.00",Kassel,Deutschland,118
Merkur-Schule Private Schulgesellschaft mbH    ,Arbeitsmarktbudget,Job+ Umwandlung geringfügiger Beschäftigung in eine sozialversicherungspflichtige Beschäftigung,5/1/2015,4/30/2017,"142,600.00",Mörlenbach,Deutschland,109
Mittelhessischer Bildungsverband e. V. bei Arbeit und Bildung e. V.    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Landkreis Limburg-Weilburg,1/1/2016,12/31/2017,"204,100.00",Marburg,Deutschland,117
Möller -  Ihr Maler OHG Meisterbetrieb      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Philippsthal,Deutschland,118
Möller -  Ihr Maler OHG Meisterbetrieb      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2017,"4,156.00",Philippsthal,Deutschland,118
moritz medi@ GmbH      ,Projekte der beruflichen Bildung,"Produktion und Ausstrahlung eines Radiospots für das Programm ""gut ausbilden""",8/17/2015,12/1/2015,"105,750.75",Hattersheim am Main,Deutschland,118
MPM Malerfachbetrieb      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/7/2015,7/31/2016,"4,156.00",Ludwigsau,Deutschland,118
MPM Malerfachbetrieb      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,7/31/2016,"4,156.00",Ludwigsau,Deutschland,118
Neue Arbeit Vogelsberg gGmbH      ,Arbeitsmarktbudget,Chance 2015  ,5/1/2015,4/30/2017,"257,300.00",Alsfeld,Deutschland,109
Offenbacher Arbeitsgruppe Wildhof e.V.      ,Arbeitsmarktbudget,Allgemeine Sozialberatung  ,4/15/2015,12/31/2016,"106,300.00",Offenbach am Main,Deutschland,109
Offenbacher Arbeitsgruppe Wildhof e.V.      ,Arbeitsmarktbudget,Berufliche Aktivierung im Holzbereich  ,7/1/2015,12/31/2016,"305,800.00",Offenbach am Main,Deutschland,109
Outlaw Kassel gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Kasseler Produktionsschule  ,1/1/2016,12/31/2016,"272,600.00",Kassel,Deutschland,109
Outlaw Kassel gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Kasseler Produktionsschule  ,1/1/2015,12/31/2015,"263,300.00",Kassel,Deutschland,109
Perspektiva gGmbH Fördergemeinschaft Theresienhof für Arbeit und Leben  ,Qualifizierung und Beschäftigung junger Menschen,"""EINSTIEG Ausbildung Plus""  ",1/1/2015,12/31/2015,"92,900.00",Fulda,Deutschland,109
Perspektiva gGmbH Fördergemeinschaft Theresienhof für Arbeit und Leben  ,Qualifizierung und Beschäftigung junger Menschen,EINSTIEG Ausbildung Plus  ,1/1/2016,12/31/2016,"93,800.00",Fulda,Deutschland,109
Perspektiven gGmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/7/2015,4/6/2017,"4,156.00",Oberursel,Deutschland,118
Petri-Fuchs Trucking GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,8/31/2016,"4,156.00",Kassel,Deutschland,118
P.F. Event-Logistic GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,9/15/2015,9/14/2016,"4,156.00",Lohfelden,Deutschland,118
P.F. Event-Logistic GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,8/31/2016,"4,156.00",Lohfelden,Deutschland,118
Pfannmüller GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/11/2016,7/31/2017,"4,156.00",Allendorf,Deutschland,118
Philipps-Universität Marburg Die Präsidentin    ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",ARIADNE: Studium leben mit Perspektive  ,7/1/2015,6/30/2018,"868,300.00",Marburg,Deutschland,116
Praxis gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Jugendwerkstatt  ,1/1/2016,12/31/2016,"153,400.00",Marburg,Deutschland,109
Praxis gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Jugendwerkstatt  ,1/1/2015,12/31/2015,"142,600.00",Marburg,Deutschland,109
Print Management Logistics Solutions GmbH & Co KG    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,7/31/2016,"4,156.00",Kassel,Deutschland,118
pro paed e.V. Förderverein der Beruflichen Schulen    ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen am Obersberg  ,8/1/2015,7/31/2016,"15,000.00",Bad Hersfeld,Deutschland,115
ProJob Rheingau-Taunus GmbH      ,Arbeitsmarktbudget,Integrations-Coaching und Bedarfsgemeinschafts- Coaching (I-C und BG-C),6/1/2015,5/31/2017,"593,000.00",Taunusstein,Deutschland,109
ProJob Rheingau-Taunus GmbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen 2015 - Modellprojekt,1/1/2015,12/31/2015,"217,800.00",Taunusstein,Deutschland,109
ProJob Rheingau-Taunus GmbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen 2016 - Modellprojekt,1/1/2016,12/31/2016,"207,000.00",Taunusstein,Deutschland,109
Provadis Partner für Bildung und Beratung GmbH    ,Maßnahmen zur Nachwuchsgewinnung,MINT - Die Stars von Morgen - Berufsorientierung für Schülerinnen und Schüler,1/1/2015,12/31/2016,"948,700.00",Frankfurt am Main,Deutschland,117
pur-life GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/1/2015,5/31/2017,"4,156.00",Weilburg,Deutschland,118
"RAe Richter, Bahri und Kollegen GbR      ",gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/23/2015,7/31/2017,"4,156.00",Kassel,Deutschland,118
Rhön Tourismus & Service GmbH Landkreis Fulda    ,Arbeitsmarktbudget,Beratungsbüro für Erziehende  ,3/1/2015,2/28/2017,"231,900.00",Fulda,Deutschland,109
Rhön Tourismus & Service GmbH Landkreis Fulda    ,Praxis und Schule (PuSch),PuSch A: Geschwister-Scholl-Schule  ,9/1/2015,7/31/2016,"6,400.00",Fulda,Deutschland,115
Rhön Tourismus & Service GmbH Landkreis Fulda    ,Praxis und Schule (PuSch),PuSch A: Lüdertalschule  ,8/1/2015,7/31/2016,"6,400.00",Fulda,Deutschland,115
RNT GbR Ingenieurbüro    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/16/2015,9/9/2016,"4,156.00",Kassel,Deutschland,118
ROSENBACH Steuerberatungskanzlei Inh. Eduard Rosenbach    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/27/2015,7/31/2016,"4,156.00",Wiesbaden,Deutschland,118
R+V Versicherung Generalvertretung Alter    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/8/2016,7/31/2017,"4,156.00",Viernheim,Deutschland,118
Sanitätshaus Thiel      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,8/31/2016,"4,156.00",Fritzlar,Deutschland,118
Schloberg GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/20/2015,4/19/2017,"4,156.00",Frankfurt,Deutschland,118
Schottener Soziale Dienste gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen 2016  ,1/1/2016,12/31/2016,"101,300.00",Schotten,Deutschland,109
Schottener Soziale Dienste gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung Q&B  ,1/1/2015,12/31/2015,"103,200.00",Schotten,Deutschland,109
Schreinerei Feldmann GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,10/20/2015,7/31/2016,"4,156.00",Büttelborn,Deutschland,118
Schreinerei Ralf Stuckardt      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Haunetal,Deutschland,118
Schreinerei Römmelt Inh. Thomas Römmelt    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Niederaula,Deutschland,118
Schreinerei Schäfer GmbH & Co. KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,4/6/2016,8/31/2017,"4,156.00",Schlitz,Deutschland,118
Schwalm-Eder-Kreis      ,Arbeitsmarktbudget,Fallmanagement SGB XII  ,9/15/2015,12/31/2016,"33,500.00",Homberg (Efze),Deutschland,109
Schwalm-Eder-Kreis      ,Bildungsberatung und -coaching,Bildungscoach Schwalm-Eder  ,1/1/2015,12/31/2016,"146,300.00",Homberg (Efze),Deutschland,117
sefo - femkom FrauenKompetenzZentrum    ,Arbeitsmarktbudget,FriDa  Flüchtlingsfrauen - Respekt und Integration in Darmstadt,5/1/2016,4/30/2017,"80,000.00",Darmstadt,Deutschland,109
sefo - femkom FrauenKompetenzZentrum    ,Impulse der Arbeitsmarktpolitik (IdeA),NeW - Wiedereinstieg Hessen Vermittlungsmanagement  ,1/1/2015,12/31/2016,"296,100.00",Darmstadt,Deutschland,109
Semnar & Wolf Kommunikation GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/9/2015,8/31/2017,"4,156.00",Frankfurt,Deutschland,118
Soziale Hilfe e. V.      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an JVA Kassel I  ,1/1/2016,12/31/2016,"80,400.00",Kassel,Deutschland,109
Soziale Hilfe e. V.      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an JVA Kassel I  ,1/1/2015,12/31/2015,"79,200.00",Kassel,Deutschland,109
Sozialkritischer Arbeitskreis Darmstadt e.V.    ,Praxis und Schule (PuSch),Alice-Eleonoren-Schule  ,8/1/2015,7/31/2016,"21,500.00",Darmstadt,Deutschland,115
Sozialkritischer Arbeitskreis Darmstadt e.V.    ,Praxis und Schule (PuSch),PuSch A: Erich-Kästner-Schule  ,8/1/2015,7/31/2016,"33,000.00",Darmstadt,Deutschland,115
Sozialkritischer Arbeitskreis Darmstadt e.V.    ,Praxis und Schule (PuSch),PuSch B: Peter-Behrens-Schule  ,8/1/2015,7/31/2016,"18,800.00",Darmstadt,Deutschland,115
Sportjugend Hessen im Landessportbund Hessen e.V.    ,Maßnahmen zur Nachwuchsgewinnung,MINT Girls Camps - Berufsorientierung für Mädchen  ,7/1/2015,12/31/2016,"568,300.00",Frankfurt am Main,Deutschland,117
Sprungbrett Familien- und Jugendhilfe Hanau e.V.    ,Praxis und Schule (PuSch),"Durchführungsort: Eugen-Kaiser-Schule, Hanau  ",8/1/2015,7/31/2016,"44,100.00",Hanau,Deutschland,115
St. Elisabeth Verein Marburg e. V.      ,Praxis und Schule (PuSch),PuSch A: Holderbergschule  ,8/1/2015,7/31/2016,"17,800.00",Marburg,Deutschland,115
Stadt Erlensee      ,Praxis und Schule (PuSch),PuSch A: Georg-Büchner-Schule  ,8/1/2015,7/31/2016,"29,900.00",Erlensee,Deutschland,115
Stadt Frankfurt am Main      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Frankfurt am Main,7/1/2015,6/30/2017,"1,146,900.00",Frankfurt am Main,Deutschland,117
Stadt Kassel      ,Arbeitsmarktbudget,Neue Chancen SGB XII - Arbeitserprobung / Beschäftigung / Qualifizierung / Fallmanagement,6/15/2015,6/14/2017,"348,800.00",Kassel,Deutschland,109
Stadt Kassel      ,Arbeitsmarktbudget,Ö-KOST - Ökologische Stadt  ,5/1/2015,4/30/2017,"434,600.00",Kassel,Deutschland,109
Stadt Offenbach am Main      ,Arbeitsmarktbudget,Beratung Alleinerziehender SGB II- Bezieher  ,4/1/2015,3/31/2017,"103,200.00",Offenbach,Deutschland,109
Stadt Offenbach am Main      ,Arbeitsmarktbudget,Familienservice  ,4/1/2015,3/31/2017,"96,000.00",Offenbach,Deutschland,109
Stadt Offenbach am Main      ,Arbeitsmarktbudget,Passgenaue Vermittlung von MigranntInnen  ,4/1/2015,3/31/2017,"121,200.00",Offenbach,Deutschland,109
Stadt Wetzlar      ,Arbeitsmarktbudget,Schuldnerberatung für SGB II Leistungsberechtigte und Wohnhilfebüro,4/1/2015,3/31/2017,"216,500.00",Wetzlar,Deutschland,109
Stadt Wiesbaden      ,Arbeitsmarktbudget,Projektname: Beratung und Begleitung von Personen an den Nahtstellen der Rechtskreise SGB II und SGB XII,5/1/2015,4/30/2018,"243,000.00",Wiesbaden,Deutschland,109
Stadt Wiesbaden      ,Praxis und Schule (PuSch),PuSch A: Wilhelm-Heinrich-von-Riehl-Schule  ,8/1/2015,7/31/2016,"30,000.00",Wiesbaden,Deutschland,115
Stadt Wiesbaden      ,Praxis und Schule (PuSch),PuSch A: Wolfram-von-Eschenbach-Schule  ,8/1/2015,7/31/2016,"60,000.00",Wiesbaden,Deutschland,115
StadtBild - gemeinnützige Gesell- schaft für Aus- und Fortbildung mbH    ,Arbeitsmarktbudget,Projektname: B&V - Sozialraumbezogene Bewerbungs- und  Vermittlungshilfe,5/1/2015,12/31/2016,"106,400.00",Kassel,Deutschland,109
Star Tankstelle Inh. Michael Brandau    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/16/2016,7/31/2016,"4,156.00",Ronshausen,Deutschland,118
Star Tankstelle Inh. Michael Brandau    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/16/2016,7/31/2016,"4,156.00",Ronshausen,Deutschland,118
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Praxis und Schule (PuSch),PuSch A: Anne-Frank-Schule  ,8/1/2015,7/31/2016,"29,800.00",Homberg (Efze),Deutschland,115
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Praxis und Schule (PuSch),PuSch A: Erich-Kästner-Schule  ,8/1/2015,7/31/2017,"30,000.00",Homberg (Efze),Deutschland,115
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Praxis und Schule (PuSch),PuSch B: Berufliche Schule Schwalmstadt  ,8/1/2015,7/31/2016,"30,000.00",Homberg (Efze),Deutschland,115
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Praxis und Schule (PuSch),PuSch B: Radko-Stöckl-Schule  ,8/1/2015,7/31/2016,"15,000.00",Homberg (Efze),Deutschland,115
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Praxis und Schule (PuSch),PuSch B: Reichspräsident-Friedrich-Ebert-Schule  ,8/1/2015,7/31/2016,"15,000.00",Homberg (Efze),Deutschland,115
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen  ,1/1/2015,12/31/2015,"140,300.00",Homberg (Efze),Deutschland,109
Starthilfe - Ausbildungsverbund Schwalm-Eder e.V.    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen  ,1/1/2016,12/31/2016,"140,300.00",Homberg (Efze),Deutschland,109
STEUBA GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,7/31/2016,"4,156.00",Frankfurt,Deutschland,118
Steuerberater Bärbel Wallesch    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/12/2015,8/31/2017,"4,156.00",Bad Vilbel,Deutschland,118
Steuerberaterin Andrea Marocke    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,4/12/2016,8/31/2016,"4,156.00",Rüdesheim,Deutschland,118
Steuerberaterin Martina Arndt    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/9/2015,7/31/2016,"4,156.00",Usingen,Deutschland,118
Steuerberaterin Martina Arndt    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/9/2015,8/14/2017,"4,156.00",Usingen,Deutschland,118
Steuerkanzlei Dr. Horst Serfas    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,8/30/2016,"4,156.00",Bad Vilbel,Deutschland,118
Stiftung Waldmühle      ,Arbeitsmarktbudget,Multiflex Darmstadt-Dieburg  ,5/1/2015,4/30/2017,"171,400.00",Frankfurt am Main,Deutschland,109
Stiftung Waldmühle      ,Arbeitsmarktbudget,Projekt Multiflex Darmstadt  ,4/15/2015,4/14/2016,"115,800.00",Frankfurt am Main,Deutschland,109
Strack & Knorz Elektro-Sanitärinstallation    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/19/2015,8/31/2016,"4,156.00",Langgöns,Deutschland,118
styleframe GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/3/2015,7/31/2016,"4,156.00",Frankfurt am Main,Deutschland,118
SwissCommerce Germany GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/13/2015,5/12/2017,"4,156.00",Gießen,Deutschland,118
Systemhaus Cramer GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/27/2015,7/31/2016,"4,156.00",Lohfelden,Deutschland,118
T & W GmbH & Co. Stahlbau KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/23/2015,1/31/2017,"4,156.00",Rüsselsheim,Deutschland,118
T & W GmbH & Co. Stahlbau KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Rüsselsheim,Deutschland,118
T & W GmbH & Co. Stahlbau KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Rüsselsheim,Deutschland,118
