Tytu³ projektu;Nazwa beneficjenta;Wartoœæ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiêkszym ni¿ jedna jednostka administracyjna?
Wsparcie Generalnej Dyrekcji Ochrony Œrodowiska oraz regionalnych dyrekcji ochrony œrodowiska w zakresie finansowania kosztów zatrudnienia pracowników w 2015 roku;GENERALNA DYREKCJA OCHRONY ŒRODOWISKA;15000000.00;3043000.00;Nie;administracja;Nie
Wsparcie funkcjonowania Instytucji Audytowej w latach 2015-2017;MINISTERSTWO FINANSÓW;3490000.00;2966500.00;Nie;brak;Nie
Plan dzia³añ sektora kultura na lata 2014-2016;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;3327000.00;2827950.00;Nie;administracja;Nie
Finansowanie wynagrodzeñ osobowych pracowników MŒ zaanga¿owanych we wdra¿anie polityki spójnoœci w 2015 r.;MINISTERSTWO ŒRODOWISKA;3267000.00;2776950.00;Nie;administracja;Nie
"""Finansowanie kosztów zatrudnienia pracowników Urzêdu Zamówieñ Publicznych wykonuj¹cych zadania zwi¹zane z realizacj¹ polityki spójnoœci w perspektywie finansowej 2014-2020 w 2016 roku”.";URZ¥D ZAMÓWIEÑ PUBLICZNYCH;3184000.00;2706400.00;Nie;administracja;Nie
"Wsparcie funkcjonowania sieci organów œrodowiskowych i instytucji zarz¹dzaj¹cych funduszami unijnymi ""Partnerstwo:Œrodowisko dla Rozwoju"" w latach 2015-2017";GENERALNA DYREKCJA OCHRONY ŒRODOWISKA;2767829.50;2352655.07;Nie;brak;Nie
Finansowanie kosztów zatrudnienia pracowników Urzêdu Zamówieñ Publicznych wykonuj¹cych zadania zwi¹zane z realizacj¹ polityki spójnoœci w perspektywie finansowej 2014-2020 w 2015 roku.;URZ¥D ZAMÓWIEÑ PUBLICZNYCH;2700000.00;2295000.00;Nie;administracja;Nie
Wsparcie zatrudnienia dla IP MEN na rok 2015 w ramach POPT 2014-2020;MINISTERSTWO EDUKACJI NARODOWEJ;2475000.00;2103750.00;Nie;administracja;Nie
Wsparcie informatyczne stanowisk pracy s³u¿b statystyki publicznej, realizuj¹cych zadania w zakresie monitorowania polityki spójnoœci w perspektywie finansowej 2014-2020;G£ÓWNY URZ¥D STATYSTYCZNY;2350000.00;1997500.00;Nie;brak;Nie
Wsparcie pracowników instytucji zaanga¿owanych w realizacjê Europejskich Funduszy Strukturalnych i Inwestycyjnych (EFSI).;MINISTERSTWO ROZWOJU, DEPARTAMENT PROGRAMÓW POMOCOWYCH;2020000.00;1717000.00;Nie;brak;Nie
Wsparcie stanowisk pracy pracowników w Urzêdzie Zamówieñ Publicznych zaanga¿owanych w realizacjê polityki spójnoœci w perspektywie finansowej 2014 - 2020 w latach 2015 -2017.;URZ¥D ZAMÓWIEÑ PUBLICZNYCH;2008000.00;1706800.00;Nie;brak;Nie
Unowoczeœnienie i rozbudowa infrastruktury kalibracyjnej i wzorcuj¹cej Krajowego Laboratorium Referencyjnego i Wzorcuj¹cego ds. badañ powietrza atmosferycznego;G£ÓWNY INSPEKTORAT OCHRONY ŒRODOWISKA;2000000.00;1700000.00;Nie;brak;Nie
Dzia³ania edukacyjne dla osób zaanga¿owanych w realizacjê polityki spójnoœci w latach 2014-2020;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;1800000.00;1530000.00;Nie;brak;Nie
Podnoszenie kwalifikacji zawodowych pracowników Ministerstwa;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;1750000.00;1487500.00;Nie;brak;Nie
Wsparcie stanowisk pracy pracowników s³u¿b statystyki publicznej zaanga¿owanych w monitorowanie polityki spójnoœci w latach 2014-2020.;G£ÓWNY URZ¥D STATYSTYCZNY;1550000.00;1317500.00;Nie;brak;Nie
Centralny Punkt Informacyjny oraz dzia³ania koordynacyjne dla PIFE w 2015 r.;CENTRUM PROJEKTÓW EUROPEJSKICH;1484045.00;1261438.25;Nie;brak;Nie
Realizacja przez Wojewodê Dolnoœl¹skiego, Lubuskiego, Warmiñsko-Mazurskiego, Pomorskiego oraz Zachodniopomorskiego zadañ Kontrolera Krajowego w ramach Programów INTERREG V-A 2014-2020: Polska-Saksonia, Po³udniowy Ba³tyk, Meklemburgia-Pomorze Przednie/Bran;MINISTERSTWO ROZWOJU, DWT;1478100.00;1256385.00;Nie;brak;Nie
Wsparcie funkcjonowania Instytucji odpowiedzialnej za otrzymywanie i przekazywanie p³atnoœci z KE w latach 2014-2020.;MINISTERSTWO FINANSÓW;1300000.00;1105000.00;Nie;brak;Nie
Realizacja przez Ministerstwo Zdrowia zadañ podkomitetu do spraw zdrowia na lata 2014-2020 pn. Komitet Steruj¹cy ds. koordynacji interwencji EFSI 2014-2020 w sektorze zdrowia.;MINISTERSTWO ZDROWIA;1234000.00;1048900.00;Nie;brak;Nie
