Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
RPD sektora úrodowisko na lata 2014-2015 (WFOåiGW w Bia≥ymstoku);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Bia≥ymstoku;83369.00;70863.65;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Miasta Rybnika;Miasto Rybnik;82410.00;70048.50;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy Czaplinek;Gmina Czaplinek;81180.00;69003.00;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2013 (WFOåiGW w Warszawie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Warszawie;80370.00;68314.50;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla miasta LubartÛw;Gmina Miasto LubartÛw;80245.20;68208.42;Nie;energetyka;Nie
RPD sektora energetyka na rok 2011 (INiG);Instytut Nafty i Gazu;80000.00;68000.00;Nie;administracja;Nie
RPD sektora energetyka za rok 2009 (IPiEO);Instytut Paliw i Energii Odnawialnej;97600.00;68000.00;Nie;administracja;Nie
Przygotowanie planu gospodarki niskoemisyjnej dla gminy Srzelce KrajeÒskie.;Gmina Strzelce KrajeÒskie;79950.00;67957.50;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2013 (WFOåiGW w Lublinie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Lublinie;79400.00;67490.00;Nie;administracja;Nie
Plan gospodarki niskoemisyjnej dla Gminy Solec Kujawski;Gmina Solec Kujawski;78720.00;66912.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy SuchaÒ;Gmina SuchaÒ;78577.00;66790.45;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Miasta OstrÛw Mazowiecka;Miasto OstrÛw Mazowiecka;78000.00;66300.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla miasta Lidzbark WarmiÒski;Miasto Lidzbark WarmiÒski;93936.00;66045.00;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2010 (CKPå);Centrum Koordynacji ProjektÛw årodowiskowych;77000.00;65450.00;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Miasta ZamoúÊ;Miasto ZamoúÊ;76042.50;64636.12;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy Barlinek;Gmina Barlinek;75000.00;63750.00;Nie;energetyka;Nie
RPD sektora úrodowisko na 2009 rok (WFOåiGW w GdaÒsku);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w GdaÒsku;74600.00;63410.00;Nie;administracja;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy Drawno;Gmina Drawno;74520.00;63342.00;Nie;energetyka;Nie
Przygotowanie dokumentacji dla budowy kanalizacji sanitarnej w systemie mieszanym w m. Jarnice gm.Liw;Gmina Liw;102705.00;63096.52;Nie;ochrona úrodowiska;Nie
Opracowanie Planu Gospodarki Niskoemisyjnej dla Gminy £aziska GÛrne;Gmina Miejska £aziska GÛrne;78720.00;63087.00;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2010 (WFOåiGW w Lublinie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Lublinie;74000.00;62900.00;Nie;administracja;Nie
Opracowanie Planu gospodarki niskoemisyjnej na obszarze gminy miasta Marki stanowiπcego element strategii ZIT;Miasto Marki;73800.00;62730.00;Nie;energetyka;Nie
Plan dzia≥aÒ na rzecz ochrony klimatu i zrÛwnowaøonej energii dla Gminy Miasto Pionki - Plan Gospodarki Niskoemisyjnej;Gmina Miasto Pionki;73185.00;62207.25;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2012 (CKPå);Centrum Koordynacji ProjektÛw årodowiskowych;72941.00;61999.85;Nie;administracja;Nie
RPD sektora úrodowisko na 2009 rok (CKPå);Centrum Koordynacji ProjektÛw årodowiskowych;72597.58;61707.94;Nie;administracja;Nie
Gospodarka niskoemisyjna w Gminie DÍbno;Gmina DÍbno;72570.00;61684.50;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej Miasta Rydu≥towy;Miasto Rydu≥towy;75657.30;61608.25;Nie;energetyka;Nie
Opracowanie dokumentacji projektowych dla budowy sieci kanalizacji sanitarnej na terenie gminy Øukowo;Gmina Øukowo;92124.09;61140.72;Nie;ochrona úrodowiska;Nie
Opracowanie Planu Gospodarki Niskoemisyjnej dla Gminy WieruszÛw;Gmina WieruszÛw;71586.00;60847.16;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej Gminy Miasta ToruÒ na lata 2015-2020;Gmina Miasta ToruÒ;72570.00;60639.00;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2010 (WFOåiGW w Krakowie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Krakowie;71000.00;60350.00;Nie;administracja;Nie
RPD sektora energetyka na lata 2007-2008 (NFOSiGW);Narodowy Fundusz Ochrony årodowiska i Gospodarki Wodnej;70883.99;60251.39;Nie;administracja;Tak
RPD sektora energetyka na rok 2010 (NFOåiGW);Narodowy Fundusz Ochrony årodowiska i Gospodarki Wodnej;70589.00;60000.65;Nie;administracja;Nie
RPD sektora energetyka za rok 2009 (NFOåiGW);Narodowy Fundusz Ochrony årodowiska i Gospodarki Wodnej;70589.00;60000.65;Nie;administracja;Nie
RPD sektora úrodowisko na rok 2010 (WFOåiGW w Poznaniu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Poznaniu;70000.00;59500.00;Nie;administracja;Nie
RPD sektora úrodowisko na rok 2012 (WFOåiGW w Lublinie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Lublinie;70000.00;59500.00;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla gminy Zarszyn;Gmina Zarszyn;69618.00;59175.00;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2011 (WFOåiGW w Krakowie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Krakowie;69500.00;59075.00;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla miasta Jelenia GÛra;Miasto Jelenia GÛra;69450.00;59032.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Jaworzno;Gmina Jaworzno;69400.00;58990.00;Nie;energetyka;Nie
Rozbudowa sieci kanalizacji sanitarnej na terenie gminy Serock;Miasto i Gmina Serock;84870.00;58650.00;Nie;ochrona úrodowiska;Nie
RPD sektora úrodowisko na rok 2010 (Må);Ministerstwo årodowiska;68900.00;58565.00;Nie;administracja;Nie
Plan gospodarki niskoemisyjnej dla obszaru obejmujπcego Miasto Krosno oraz Gminy: Jedlicze, Miejsce Piastowe, ChorkÛwka, Korczyna, WojaszÛwka i Kroúcienko Wyøne;Gmina Krosno;68880.00;58548.00;Nie;energetyka;Tak
Plan gospodarki Niskoemisyjnej dla Gminy Grzmiπca;Gmina Grzmiπca;68880.00;58548.00;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy Kalisz Pomorski;Gmina Kalisz Pomorski;68757.00;58443.45;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla gminy Kamiona Wielka;Gmina Kamionka Wielka;68388.00;58129.80;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Czarny Dunajec;Gmina Czarny Dunajec;68178.90;57952.06;Nie;energetyka;Nie
Opracowanie Planu dzia≥aÒ na rzecz zrÛwnowaøonej energii - plan gospodarki niskoemisyjnej dla Gminy Besko na lata 2014-2020;Gmina Besko;68136.00;57915.60;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2012 (WFOåiGW w Poznaniu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Poznaniu;67729.00;57569.65;Nie;administracja;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy Chociwel;Gmina Chociwel;67391.70;57282.94;Nie;energetyka;Nie
Opracowanie Planu Gospodarki Niskoemisyjnej Gminy Kartuzy;Gmina Kartuzy;67035.00;56979.75;Nie;energetyka;Nie
Poprawa jakoúci powietrza i zwiÍkszenie wykorzystania OZE w Gminie Skarszewy - opracowanie planu gospodarki niskoemisyjnej;Gmina Skarszewy;66420.00;56457.00;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej Miasta Kraúnik;Miasto Kraúnik;72570.00;56457.00;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Gminy Tarnobrzeg;Gmina Tarnobrzeg;66420.00;56457.00;Nie;energetyka;Nie
Przygotowanie Planu gospodarki niskoemisyjnej dla Miasta Sieradza;Miasto Sieradz;115620.00;56440.00;Nie;energetyka;Nie
RPD sektora energetyka na rok 2011 (NFOåiGW);Narodowy Fundusz Ochrony årodowiska i Gospodarki Wodnej;66063.00;56153.55;Nie;administracja;Nie
RPD sektora úrodowisko na 2009 rok (WFOåiGW w Krakowie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Krakowie;66000.00;56100.00;Nie;administracja;Nie
RPD sektora úrodowisko na rok 2011 (WFOåiGW w Kielcach);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Kielcach;66000.00;56100.00;Nie;administracja;Nie
Opracowanie Planu Gospodarki Niskoemisyjnej Gminy Przodkowo;Gmina Przodkowo;65999.34;56099.43;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla gminy MiechÛw;Gmina MiechÛw;65805.00;55934.25;Nie;energetyka;Nie
RPD sektora úrodowisko na lata 2007-2008 (WFOåiGW w Katowicach);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Katowicach;65300.00;55505.00;Nie;administracja;Tak
Plan Gospodarki Niskoemisyjnej dla Gminy KamieÒ Pomorski;Gmina KamieÒ Pomorski;65190.00;55411.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej na terenie Gminy Miejskiej åwiÍtoch≥owice;Miasto åwiÍtoch≥owice;65190.00;55411.50;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Gminy Miejskiej HrubieszÛw;Gmina Miejska HrubieszÛw;64575.00;54888.75;Nie;energetyka;Nie
Opracowanie dokumentacji, w tym audytÛw energetycznych na termomodernizacjÍ czternastu obiektÛw Centralnego Biura Antykorupcyjnego;Centralne Biuro Antykorupcyjne;54858.00;54858.00;Nie;energetyka;Tak
RPD sektora úrodowisko na rok 2012 (WFOåiGW w £odzi);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w £odzi;64150.00;54527.50;Nie;administracja;Nie
RPD sektora energetyka na rok 2012 (INiG);Instytut Nafty i Gazu;64127.00;54507.95;Nie;administracja;Nie
Ochrona úrodowiska naturalnego gminy SÍdziejowice poprzez opracowanie planu gospodarki niskoemisyjnej;Gmina SÍdziejowice;67340.00;54366.00;Nie;energetyka;Nie
Sprzπdzenie dla gminy Inowroc≥aw planu gospodarki niskoemisyjnej, stworzenie baz danych, przeprowadzenie szkoleÒ dla pracownikÛw oraz dzia≥aÒ informacyjno-promocyjnych;Gmina Inowroc≥aw;63960.00;54366.00;Nie;energetyka;Nie
Sporzπdzanie dla Gminy Ønin planu gospodarki niskoemisyjnej, stworzenie baz danych, przeprowadzenie szkoleÒ dla pracownikÛw oraz dzia≥aÒ informacyjno-promocyjnych;Gmina Ønin;63960.00;54366.00;Nie;energetyka;Nie
Sporzπdzenie dla gminy Barcin planu gospodarki niskoemisyjnej, stworzenie baz danych, przeprowadzenie szkoleÒ dla pracownikÛw oraz dzia≥aÒ informacyjno-promocyjnych;Gmina Barcin;63960.00;54366.00;Nie;energetyka;Nie
Gospodarka Niskoemisyjna w gminie Poniatowa - planowanie strategiczne;Gmina Poniatowa;63960.00;54366.00;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla miasta Zπbki;Miasto Zπbki;63960.00;54365.95;Nie;energetyka;Nie
RPD sektora energetyka na lata 2007-2008 (IPIEO);Instytut Paliw i Energii Odnawialnej;76300.44;54345.58;Nie;administracja;Tak
RPD sektora úrodowisko na 2009 rok (WFOåiGW w £odzi);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w £odzi;63500.00;53975.00;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej w Gminie WÛlka;Gmina WÛlka;63500.00;53975.00;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2013 (WFOåiGW w Kielcach);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Kielcach;63000.00;53550.00;Nie;administracja;Nie
Program Gospodarki Niskoemisyjnej Gminy Parczew;Gmina Parczew;62976.00;53529.60;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej w mieúcie Siemianowice ålπskie;Gmina Siemianowice ålπskie;62965.00;53520.25;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Gminy Miejskiej Chojnice;Miasto Chojnice;62730.00;53320.50;Nie;energetyka;Nie
Plan Gospodarki niskoemisyjnej Gminy JanÛw Lubelski;Gmina JanÛw Lubelski;62730.00;53320.50;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej w Gminie £opiennik GÛrny.;Gmina £opiennik GÛrny;62730.00;53320.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla gminy Wierzbica;Gmina Wierzbica;62607.00;53215.95;Nie;energetyka;Nie
Wykonanie planu gospodarki niskoemisyjnej dla Miasta Szczecinek;Miasto Szczecinek;62500.00;53125.00;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy Wierzchowo;Gmina Wierzchowo;62484.00;53111.40;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej Gminy Miasto Bi≥goraj;Gmina Miasto Bi≥goraj;62238.00;52902.30;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej na terenie Gminy Miasta åwidnica.;Gmina Miasto åwidnica;62101.47;52786.25;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej w gminie Miasto Sochaczew;Gmina Miasto Sochaczew;62003.01;52702.55;Nie;energetyka;Nie
RPD sektora úrodowisko na lata 2014-2015 (WFOåiGW w Warszawie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Warszawie;61991.00;52692.35;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Miasta Wojkowice;Gmina Miasto Wojkowice;61500.00;52275.00;Nie;energetyka;Nie
Wykonanie planu gospodarki niskoemisyjnej w Gminie Izbica;Gmina Izbica;61500.00;52275.00;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej w Gminie Me≥giew;Gmina Me≥giew;61500.00;52275.00;Nie;energetyka;Nie
Opracowanie Planu Gospodarki Niskoemisyjnej dla Gminy ParzÍczew;Gmina ParzÍczew;61500.00;52275.00;Nie;energetyka;Nie
Opracowanie planu niskiej emisji dla Gminy Tuszyn;Gmina Tuszyn;61500.00;52275.00;Nie;energetyka;Nie
Ochrona obszarÛw chronionych poprzez zmniejszenie ürÛde≥ niskiej emisji w Gminie i Mieúcie Warta;Gmina i Miasto Warta;61500.00;52275.00;Nie;energetyka;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy Zbuczyn;Gmina Zbuczyn;61500.00;52275.00;Nie;energetyka;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy GostyÒ;Gmina GostyÒ;61500.00;52275.00;Nie;energetyka;Nie
Wzrost potencja≥u samorzπdu Gminy Frampol poprzez opracowanie Planu Dzia≥aÒ na rzecz ZrÛwnowaøonej Energii;Gmina Frampol;61500.00;52275.00;Nie;energetyka;Nie
Ochrona úrodowiska naturalnego Miasta Brzeziny poprzez opracowanie planu gospodarki niskoemisyjnej;Gmina Miasto Brzeziny;61500.00;52275.00;Nie;energetyka;Nie
RPD sektora úrodowisko na lata 2007-2008 (WFOåiGW w Kielcach);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Kielcach;61400.00;52190.00;Nie;administracja;Tak
Plan gospodarki niskoemisyjnej Gminy Z≥ocieniec;Gmina Z≥ocieniec;61338.00;52137.30;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy £apsze Niøne;gmina £apsze Niøne;61254.00;52065.90;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla gminy Ruda-Huta;Gmina Ruda-Huta;60762.00;51647.70;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2013 (WFOåiGW w Krakowie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Krakowie;60200.00;51170.00;Nie;administracja;Nie
RPD sektora úrodowisko na rok 2011 (WFOåiGW w Opolu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Opolu;60000.00;51000.00;Nie;administracja;Nie
Opracowanie Planu Gospodarki niskoemisyjnej dla Gminy Gogolin;Gmina Gogolin;73800.00;51000.00;Nie;energetyka;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy Pu≥tusk;Gmina Pu≥tusk;59999.00;50999.15;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Ostrowiec åwiÍtokrzyski;Gmina Ostrowiec åwiÍtokrzyski;59655.00;50706.75;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla gminy ChorzÛw;Miasto ChorzÛw;59450.00;50532.50;Nie;energetyka;Nie
Rozbudowa i modernizacja systemu oczyszczania úciekÛw komunalnych na terenie aglomeracji ZambrÛw;"""Zambrowskie Ciep≥ownictwo i Wodociπgi"" Sp. z o.o.";72697.00;50277.50;Nie;ochrona úrodowiska;Nie
Plan gospodarki niskoemisyjnej jako element budowy miasta przyjaznego úrodowisku;Gmina Miejska Legionowo;59150.00;50277.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Wizna;Gmina Wizna;59040.00;50184.00;Nie;energetyka;Nie
RPD sektora energetyka za rok 2009 (INiG);Instytut Nafty i Gazu;58560.00;49776.00;Nie;administracja;Tak
RPD sektora úrodowisko na rok 2012 (WFOåiGW w Kielcach);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Kielcach;58000.00;49300.00;Nie;administracja;Nie
Termomodernizacja obiektÛw uøytecznoúci publicznej - plan gospodarki niskoemisyjnej dla Gminy Piekary ålπskie;Gmina Piekary ålπskie;58000.01;49300.00;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej dla Miasta Kolno;Miasto Kolno;57810.00;49138.50;Nie;energetyka;Nie
Niska emisja to nasza misja;Gmina Ømudü;57810.00;49138.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Charsznica;Gmina Charsznica;57810.00;49138.50;Nie;energetyka;Nie
Opracowanie Planu Gospodarki niskoemisyjnej dla Miasta i Gminy OøarÛw Mazowiecki;Gmina OøarÛw Mazowiecki;58302.00;49131.70;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2010 (WFOåiGW w Warszawie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Warszawie;57682.00;49029.70;Nie;administracja;Nie
Plan Gospodarki Niskoemisyjnej Gminy Miasto Ko≥obrzeg;Gmina Miasto Ko≥obrzeg;57195.00;48615.75;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej w Gminie Brzeszcze;Gmina Brzeszcze;57133.50;48563.47;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej Gminy ZagnaÒsk;Gmina ZagnaÒsk;57110.00;48543.50;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2012 (WFOåiGW w Opolu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Opolu;56800.00;48280.00;Nie;administracja;Nie
Termomodernizacja obiektÛw uøytecznoúci publicznej - plany gospodarki niskoemisyjnej dla Gminy Miasteczko ålπskie;Gmina Miasteczko ålπskie;56600.00;48110.00;Nie;energetyka;Nie
Przygotowanie Planu gospodarki niskoemisyjnej wraz z niezbÍdnymi elementami uzupe≥niajπcymi dla Gminy CzernichÛw w wojewÛdztwie ma≥opolskim;Gmina CzernichÛw;56580.00;48093.00;Nie;energetyka;Nie
"Termomodernizacja obiektÛw uøytecznoúci publicznej - ""Plan gospodarki niskoemisyjnej dla Gminy WÍgierska GÛrka""";Gmina WÍgierska GÛrka;56500.00;48025.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Miasta Siedlce do 2020 r.;Miasto Siedlce;56450.00;47982.50;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej w Gminie Jeziorzany;Gmina Jeziorzany;56307.50;47861.37;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Miasta Be≥chatowa;Miasto Be≥chatÛw;55965.00;47570.25;Nie;energetyka;Nie
RPD sektora úrodowisko na lata 2014-2015 (WFOåiGW w Opolu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Opolu;55748.00;47385.80;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla gminy KlimontÛw;Gmina KlimontÛw;55350.00;47047.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Koz≥Ûw;Gmina Koz≥Ûw;55104.00;46838.40;Nie;energetyka;Nie
Przygotowanie Planu gospodarki niskoemisyjnej dla Gminy Skwierzyna;Gmina Skwierzyna;55104.00;46838.40;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej na terenie Gminy Konstancin-Jeziorna;Gmina Konstancin-Jeziorna;59409.00;46786.12;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2011 (WFOåiGW w Lublinie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Lublinie;55000.00;46750.00;Nie;administracja;Nie
Plan gospodarki niskoemisyjnej dla Gminy Jasienica;Gmina Jasienica;54735.00;46524.75;Nie;energetyka;Nie
Ograniczenie niskiej emisji na terenie Uzdrowiska Polanica-ZdrÛj;Gmina Polanica-ZdrÛj;54450.00;46282.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla gminy Myúlenice;Gmina Myúlenice;54300.00;46155.00;Nie;energetyka;Nie
Budowa systemu gospodarki úciekowej na terenie gm. Jab≥onna - etap I opracowanie dok. technicznej;Gmina Jab≥onna;66697.00;46091.42;Nie;ochrona úrodowiska;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy Gnojnik;Gmina Gnojnik;54723.00;46089.55;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej dla Gminy SkoczÛw;Gmina SkoczÛw;54150.00;46027.50;Nie;energetyka;Nie
Czysta Gmina - opracowanie Planu niskiej emisji dla Gminy MakÛw;Gmina MakÛw;54120.00;46002.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej w gminie Kleczew;Gmina Kleczew;54120.00;46002.00;Nie;energetyka;Nie
RPD sektora úrodowisko na lata 2014-2015 (WFOåiGW w Rzeszowie);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Rzeszowie;53598.00;45558.30;Nie;administracja;Nie
Plan Gospodarki niskoemisyjnej dla Gminy Nowy Targ;Gmina Nowy Targ;53200.00;45220.00;Nie;energetyka;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy £omianki;Gmina £omianki;53050.00;45092.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej Cieszyna;Gmina Cieszyn;52890.00;44956.50;Nie;energetyka;Nie
Plan Gospodarki Niskoemisyjnej na terenie Gminy Miejskiej Lubin;Gmina Miejska Lubin;53505.00;44642.85;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2011 (WFOåiGW w Bia≥ymstoku);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Bia≥ymstoku;52500.00;44625.00;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla Miasta Boles≥awiec;Gmina Miejska Boles≥awiec;52450.00;44582.50;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2011 (WFOåiGW w Zielonej GÛrze);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Zielonej GÛrze;52000.00;44200.00;Nie;administracja;Nie
Poprawa jakoúci powietrza w Gminie Brzeg Dolny poprzez opracowanie Planu gospodarki niskoemisyjnej;Gmina Brzeg Dolny;51800.00;44029.51;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla gminy Koprzywnica;Gmina Koprzywnica;51660.00;43911.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej na terenie Gminy Miasta CzarnkÛw;Miasto CzarnkÛw;51660.00;43911.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej w Mieúcie MiÍdzyrzec Podlaski;Miasto MiÍdzyrzec Podlaski;51660.00;43911.00;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej w Gminie Wyry;Gmina Wyry;51450.00;43732.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej Gminy Miejskiej Tczew;Gmina Miejska Tczew;50999.99;43349.99;Nie;energetyka;Nie
Opracowanie planu gospodarki niskoemisyjnej dla gminy Po≥aniec;Gmina Po≥aniec;56450.00;42608.46;Nie;energetyka;Nie
RPD sektora úrodowisko na 2009 rok (WFOåiGW w Opolu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Opolu;50050.00;42542.50;Nie;administracja;Nie
RPD sektora úrodowisko na 2009 rok (WFOåiGW w Bia≥ymstoku);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Bia≥ymstoku;50000.00;42500.00;Nie;administracja;Nie
RPD sektora úrodowisko na rok 2010 (WFOåiGW w Bia≥ymstoku);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Bia≥ymstoku;50000.00;42500.00;Nie;administracja;Nie
Opracowanie Planu Gospodarki Niskoemisyjnej dla gminy Inow≥Ûdz;Gmina Inow≥Ûdz;50000.00;42500.00;Nie;energetyka;Nie
Poprawa stanu úrodowiska w Gminie Puck - Opracowanie Planu Gospodarki Niskoemisyjnej;Gmina Puck;49999.50;42499.57;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej Miasta Koby≥ka;Miasto Koby≥ka;49901.10;42415.93;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Rajcza;Gmina Rajcza;49888.00;42404.80;Nie;energetyka;Nie
Stworzenie planu gospodarki niskoemisyjnej dla Gminy Kolbudy;Gmina Kolbudy;49815.00;42342.75;Nie;energetyka;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy Miasto P≥oÒsk;Miasto P≥oÒsk;49510.00;42083.50;Nie;energetyka;Nie
Plan gospodarki niskoemisyjnej dla Gminy Miasto PruszkÛw;Miasto PruszkÛw;49450.00;42032.50;Nie;energetyka;Nie
RPD sektora úrodowisko na rok 2013 (WFOåiGW w Opolu);WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Opolu;49400.00;41990.00;Nie;administracja;Nie
Opracowanie planu gospodarki niskoemisyjnej dla miasta Gorlice;Miasto Gorlice;49200.00;41820.00;Nie;energetyka;Nie
Opracowanie Planu gospodarki niskoemisyjnej dla Gminy DÍbowa £πka;Gmina DÍbowa £πka;49200.00;41820.00;Nie;energetyka;Nie
Dzia≥ania w zakresie gospodarki niskoemisyjnej na terenie miasta Kostrzyn nad Odrπ;Miasto Kostrzyn nad Odrπ;49200.00;41820.00;Nie;energetyka;Nie
