Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Budowa obwodnicy Zambrowa i Wiúniewa w ciπgu drogi krajowej S8;Generalna Dyrekcja DrÛg Krajowych i Autostrad;401057308.96;278091800.82;Nie;transport;Nie
WÍze≥ Multimodalny przy Dworcu £Ûdü Fabryczna;£Ûdü - miasto na prawach powiatu;420235507.10;268760849.02;Nie;transport;Nie
Polepszenie jakoúci us≥ug przewozowych poprzez poprawÍ stanu technicznego linii kolejowej nr 143 na odcinku Kalety - Kluczbork;PKP Polskie Linie Kolejowe S.A.;386513321.33;264426170.82;Nie;transport;Tak
Budowa drogi S8 na odcinku Salomea- Wolica wraz z powiπzaniami z DK nr 7 z wy≥. odc. Miejskiego;Generalna Dyrekcja DrÛg Krajowych i Autostrad;958214789.14;259124200.00;Nie;transport;Nie
Modernizacja toru wodnego åwinoujúcie-Szczecin (Kana≥ Piastowski i MieliÒski) ñ etap II, strona wschodnia i zachodnia;Urzπd Morski w Szczecinie;328832806.93;256117764.00;Tak;transport;Nie
Budowa Zak≥adu Termicznego Przekszta≥cania OdpadÛw Komunalnych dla Bydgosko-ToruÒskiego Obszaru Metropolitarnego;MiÍdzygminny Kompleks Unieszkodliwiania OdpadÛw ProNatura Sp. z o.o.;522571276.26;255773152.83;Nie;ochrona úrodowiska;Tak
Zintegrowana gospodarka wodno-úciekowa w dorzeczu ParsÍty - faza II;PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji Sp. z o.o. z siedzibπ w Szczecinku, Zwiπzek Miast i Gmin Dorzecza ParsÍty z siedzibπ w Karlinie dzia≥ajπcy w imieniu Beneficjenta (adres ponizej jest na JRP);411231450.41;253143102.38;Nie;ochrona úrodowiska;Nie
Zakup nowoczesnego, niskopod≥ogowego taboru tramwajowego;Miejskie PrzedsiÍbiorstwo Komunikacyjne w Poznaniu Sp. z o.o.;386919613.11;251762327.18;Tak;transport;Nie
Uporzπdkowanie gospodarki wodno-úciekowej w gminie Dπbrowa GÛrnicza - etap I;Gmina Dπbrowa GÛrnicza;490041683.68;246571905.18;Nie;ochrona úrodowiska;Nie
Odnowa taboru PKP Intercity S.A. dla relacji Przemyúl - Szczecin - Etap II;PKP Intercity S.A.;421530697.39;239447058.77;Nie;transport;Tak
