fonds,start_date,end_date,eu_amount,co_financing,total,title,_source,programme,commune(s),coût_total,porteur_de_projet,objectifs_thématiques,catégorie_d'intervention
FSE,01/01/2013 , 31/12/2015,"326.300,00 €",,"652.600,00 €",Portail LLL,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/INFPC_Portail/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,INFPC,Education et formation,
FSE,01/01/2014 , 31/12/2015,"152.950,00 €",,"305.900,00 €",Insertion II,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/Autisme_Insert2/index.html,Compétitivité Régionale et Emploi (2007-2013),Beckerich,,Autisme Luxembourg a.s.b.l.,Marché de l'emploi / Inclusion sociale et pauvreté,
FSE,01/07/2015 , 30/06/2017,69.200 €,,138.400 €,Handicap Entreprises,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1021/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,IMS Luxembourg,Inclusion sociale et pauvreté,109
FSE,01/01/2013 , 31/12/2015,"135.000,00 €",,"270.000,00 €",Reconvarmée,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/Armee_Reconvarmee/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,Armée luxembourgeoise,Marché de l'emploi,
FSE,01/07/2015 , 31/12/2018,242.250 €,,484.500 €,EvaLab4Lux,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1018/index.html,Investissement pour la croissance et l'emploi (2014-2020),Esch-sur-Alzette,,Luxembourg Institute of Socio-Economic Research (LISER),Marché de l'emploi,102
FSE,01/01/2011 , 31/12/2015,"707.450,25 €",,"1.414.900,50 €",Observatoire des compétences,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IUIL_Observatoire/index.html,Compétitivité Régionale et Emploi (2007-2013),Munsbach,,IUIL,Marché de l'emploi,
FSE,01/12/2016 , 31/12/2017,579.450 €,,1.158.900 €,Outreach Youth Work,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1036/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,Entente des Gestionnaires des Maisons de Jeunes,Education et formation,103
FSE,01/01/2014 , 31/12/2015,"250.100,00 €",,"500.200,00 €",Renoform,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFSB_Renof/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,,IFSB,Marché de l'emploi / Education et formation,
FSE,01/07/2015 , 31/12/2017,"142.050,00 €",,"284.100,00 €",E4E,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1009/index.html,Investissement pour la croissance et l'emploi (2014-2020),Esch-sur-Alzette,,4motion asbl,Education et formation,103
FSE,01/01/2014 , 31/12/2015,"302.000,00 €",,"604.000,00 €",SENIORS,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFBL_SENIOR/index.html,Compétitivité Régionale et Emploi (2007-2013),Luxembourg,,IFBL,Marché de l'emploi / Education et formation,
FSE,01/01/2014 , 31/12/2015,"127.450,00 €",,"254.900,00 €",CSR Value,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2007-2013/IFSB_CSRValue/index.html,Compétitivité Régionale et Emploi (2007-2013),Bettembourg,,IFSB,Marché de l'emploi,
FSE,01/07/2015 , 31/12/2017,261.000 €,,522.000 €,FIT 4 CODING,http://www.fonds-europeens.public.lu/fr/projets-cofinances/fse/2014-2020/1026/index.html,Investissement pour la croissance et l'emploi (2014-2020),Luxembourg,,ADEM,Education et formation / Marché de l'emploi,102
