Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Berufliche Bildung Bremerhaven,"Verbundausbildung ""WIND""",2013,2014,"519109,56",
Berufliche Bildung Bremerhaven,"B-Ausbildung zum Elektroniker/-in für Betriebstechnik mit
Spezifikation für den Bereich Windenergie",2008,2013,"1837887,32",
Berufliche Bildung Bremerhaven,Känguru,2008,2012,"967795,36",
Berufliche Bildung Bremerhaven,"Frau, Schule und Beruf - Coaching für einen
Schulabschluss und Entwicklung einer Berufsperspektive",2010,2014,"596009,99",
Berufliche Bildung Bremerhaven,Frau und Schule und Beruf,2008,2010,,"182374,76"
Berufliche Bildung Bremerhaven,BerEB-Ink - Berufseinstiegsbegleitung mit Inklusionsansatz,2013,2014,"49645,42",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",FAMakqua,2008,2009,,"118818,83"
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Kunststoffzentrum Bremerhaven- Beschäftigte,2008,2011,"55940,71",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",SIBS-NELE,2008,2011,"902544,25",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)","TSCHOB II - Training von Schlüsselqualifikationen als EDV-
einzelcoaching-on-the-job für Bremer Beschäftigte 48+ in
KMU",2008,2010,"259682,34",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)","Chance III Vorqualifizierung in handwerklichen Berufen in
der JVA",2009,2010,,"57912,11"
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Prima Klima (BQ),2008,2010,,"90910,56"
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Prima Klima (BBQ),2008,2011,"315053,85",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Kunststoffzentrum Bremerhaven-Arbeitslose,2008,2011,"2053039,15",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Service-Techniker-Wind 2008-2010   -STW- Beschäftigte,2008,2011,"382700,71",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Service-Techniker-Wind 2008-2010  -STW- Arbeitslose,2008,2011,"2827213,93",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Chance IV - EDV Bremerhaven,2011,2014,"312484,88",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",CHANCE III EDV HB und Brhv (Männer und Frauen),2008,2010,,"368750,08"
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",A-PAMI,2008,2010,,"179353,56"
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",SIBS aktiv,2011,2014,"1497060,99",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Service Technik Wind 2011-2013/14,2011,2014,"1270568,3",
"Berufsfortbildungswerk - Gemeinnützige
Bildungseinrichtung des DGB GmbH (bfw)",Service Technik Wind 2011-2013/14,2011,2014,"509185,72",
"Bestform-Coaching
Angela von Düszeln",Ferienintensivkurs,2012,2012,,"1189,62"
"BIBA
Bremer Institut f. Betriebstechnik u. angew.
Arbeitswissenschaft","Robotik in der Logistik - zielgruppenspezifische
Weiterbildung für Fachkräfte und entscheidungsträgerInnen
(RobidLOG)",2013,2014,"308602,86",
Bildung für eine Welt e.V.,Ich spreche Deutsch,2013,2014,9996,
Bildung für eine Welt e.V.,Interkulturelle Begegnungen mit Sprachförderung,2010,2010,,"9874,93"
Bildung für eine Welt e.V.,Auf Deutsch bitte!,2012,2013,,"9998,6"
Bildung für eine Welt e.V.,Deutsch im Beruf,2008,2009,,10000
Bildung für eine Welt e.V.,Fremde Sprache Deutsch,2011,2012,,10000
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Diversity in der Polizei,2008,2009,,"49959,7"
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,B-Exam - Bremer Ausbildungsbüro (Exam 2009),2009,2009,,"38452,8"
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,girls4technic,2012,2014,"257435,94",
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Ausbildungsbüro,2012,2014,"292464,42",
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,Perspektive Ausbildung II,2010,2011,"92845,38",
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V,B-AiBB - PLUS,2008,2012,"687611,46",
Blaue Karawane e.V.,"MAE. Blaue Karawane e. V., ""Integration vier"", geförderte
Beschäftigung ab 02/2013",2013,2014,111792,
Blaue Karawane e.V.,"MAE. Blaue Karawane e. V., ""Integration - kreativ 2"" ein
Projekt der Blauen Karawane, geförderte Beschäftigung",2011,2013,295840,
Blaue Karawane e.V.,Wohnen-Leben-Arbeiten in der Überseestadt,2008,2009,,"7278,88"
bras e. V. - arbeiten für bremen,MOP HASA Walle,2012,2014,"76703,34",
bras e. V. - arbeiten für bremen,"Bremen produktiv - integrativ BRAS / Bremer Geschichte
(integrativ)",2008,2010,,"115857,82"
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Bremer Geschichte,2008,2010,,"5520754,19"
bras e. V. - arbeiten für bremen,Bremen produktiv - integrativ BRAS / Tenever,2008,2010,,"1171277,17"
bras e. V. - arbeiten für bremen,"Bremen produktiv - integrativ BRAS / Miteinander in
Huchting",2008,2010,,"1095793,66"
bras e. V. - arbeiten für bremen,"Injobs-ESF BRAS U65R11 Netzwerk Ost (Tenever, Vahr,
Blockdiek); geförderte Beschäftigung",2011,2011,,"101265,47"
bras e. V. - arbeiten für bremen,"Injobs-ESF BRAS U65R11 Netzwerk Nord (Marßel) 30 TN,
277,-- € Pauschale, geförderte Beschäftigung",2011,2011,,"51197,93"
bras e. V. - arbeiten für bremen,"Injobs-ESF BRAS U65T11 Netzwerk Sprache; geförderte
Beschäftigung",2011,2011,,"25398,37"
bras e. V. - arbeiten für bremen,"Injobs-ESF BRAS U65R11 Netzwerk Süd (HAI), geförderte
Beschäftigung",2011,2011,,"161663,09"
bras e. V. - arbeiten für bremen,"Injobs-ESF BRAS U65T11 Netzwerk Bildung; geförderte
Beschäftigung",2011,2011,,"92812,93"
bras e. V. - arbeiten für bremen,"SVB.Q. bras e. V., ""bras in Tenever"", geförderte
Beschäftigung",2011,2012,,"347585,06"
bras e. V. - arbeiten für bremen,"MAE. bras e. V., ""Bremer Geschichte - Integration von
psychisch beeingträchtigten Menschen"", geförderte
Beschäftigung",2011,2013,"347207,12",
bras e. V. - arbeiten für bremen,"SVB.O. bras e. V., ""Bremer Geschichte - live dabei!"",
geförderte Beschäftigung",2011,2012,,"611646,03"
