Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"277.683,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Ausbildung in Partnerschaften,01.09.2010 , 31.08.2013,"22.108,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"126.906,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Quit - Qualifizierungsbeauftragte,01.01.2013 , 31.12.2014,"132.000,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"140.827,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"245.114,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.09.2013 , 31.03.2015,"262.100,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"152.443,00"
Kreisausschuss des Vogelsbergkreises,Lauterbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"121.000,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Quit - Qualifizierungsbeauftragte,01.07.2010 , 31.12.2012,"159.700,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"277.683,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Ausbildung in Partnerschaften,01.09.2010 , 31.08.2013,"22.108,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"126.906,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Quit - Qualifizierungsbeauftragte,01.01.2013 , 31.12.2014,"132.000,00"
Kreisausschuss des Schwalm-Eder-Kreises,Homberg (Efze),Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"140.827,00"
