Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Andere Baustelle Ulm e.V. Einrichtung der Jugendberufshilfe,Hilfen in der AB/Ulm,"""Erreichen - Stabilisieren - Fördern - Hilfen für jugendliche in der Anderen Baustellen"" Ulm 2016 - Persönliche Stabilität - Soziale Reife - Hauptschulabschluss - Berufsreife - Berufliche Integration",01.01.2016,31.12.2016,"98.314,52",89077,Deutschland,115,C 1.1,.
Andere Baustelle Ulm e.V. Einrichtung der Jugendberufshilfe,Hilfen in der AB/Ulm,"Hilfen in der AB/Ulm - Erreichen, Stabilisieren, Fördern, Hilfen für Jugendliche in der Anderen Baustelle Ulm 2015. Persönliche Stabilität, soziale Reife, Hauptschulabschluss, Berufsreife und berufliche Integration",01.01.2015,31.12.2015,"98.460,14",89077,Deutschland,115,C 1.1,.
Andere Baustelle Ulm e.V. Einrichtung der Jugendberufshilfe,Hilfe in der AB/ADK,"""Erreichen - Stabilisieren - Fördern - Hilfe für Jugendliche in der Anderen Baustelle"" ADK 2015/16",01.01.2015,31.12.2016,"106.420,60",89077,Deutschland,115,C 1.1,.
Anderer Bedachungen- Fachklempnerei GmbH ,Coaching,Förderprogramm Coaching 2015,20.05.2015,19.05.2016,"4.800,00",76275,Deutschland,106,A 5.1,www.anderer-dach.de
Andre Woitschach GmbH  ,Coaching,Förderprogramm Coaching 2015,14.10.2015,14.10.2016,"12.000,00",69226,Deutschland,106,A 5.1,www.woitschach-gmbh.de
Andreas Daub GmbH&Co.KG  ,Coaching,Förderprogramm Coaching 2015,24.08.2015,16.08.2016,"12.000,00",75179,Deutschland,106,A 5.1,www.andreas-daub.com
Andreas Wiedmer Zimmerei & Holzbau ,Coaching,Förderprogramm Coaching 2016,11.01.2016,30.12.2016,"9.000,00",88480,Deutschland,106,A 5.1,www.zimmerei-wiedmer.de
Andrej Eisenbarth  ,Coaching,Förderprogramm Coaching 2015,01.06.2015,31.05.2016,"11.600,00",75181,Deutschland,106,A 5.1,www.eisenbarth.de
Anne Korn e.K.  ,Coaching,Förderprogramm Coaching 2015,23.11.2015,22.11.2016,"12.000,00",70173,Deutschland,106,A 5.1,www.annekorn.de
Anton Heine GmbH Fidelisbäck ,Coaching,Förderprogramm Coaching 2015,01.04.2015,30.09.2016,"12.000,00",88239,Deutschland,106,A 5.1,www.fidelisbaeck.de
Aparthotel Badblick Inh. Marina Koehly ,Coaching,Förderprogramm Coaching 2015,30.04.2015,15.09.2015,"8.000,00",79415,Deutschland,106,A 5.1,www.hotel-bad-belingen.de
Arbeit für Alle gGmbH  ,RBL 2016,"RBL 2016 - Regionales Bündnis gegen Langzeitarbeitslosigkeit, assistierte Vermittlung, Profiling, Vermittlung in praktische, marktnahe und produktionsorientierte Tätigkeiten - sozialpädagogische Begleitung, betriebliche Erprobung.",01.01.2016,31.12.2016,"363.804,36",79576,Deutschland,109,B 1.1,www.oma-weil.de
Arbeit für Alle gGmbH  ,RBL 2015,"RBL 2015
    Regionales Bündnis gegen Langzeitarbeitslosigkeit. assistierte Arbeitsmarktorientierung, Profiling, Vermittlung in praktische, marktnahe und produktionsorientierte Tätigkeiten. Sozialpädagogische Begleitung. Betriebliche Erprobung.",01.01.2015,31.12.2015,"366.539,40",79546,Deutschland,109,B 1.1,www.oma-weil.de
Arbeiterwohlfahrt Kreisverband Heidenheim e.V.,TANDEM,TANDEM - Beschäftigung und Jugendhilfe im Modellprojekt zur nachhaltigen Verbesserung der Lebenssituation von Bedarfsgemeinschaften,01.01.2015,31.12.2016,"147.619,04",89518,Deutschland,109,B 1.1,www.awo-heidenheim.de
Arbeiterwohlfahrt Kreisverband Konstanz e.V. ,PERKOS 2015,"PERKOS
 Persönliche Kompetenz stärken",01.01.2015,31.12.2015,"220.424,38",78224,Deutschland,115,C 1.1,http://awo-konstanz.de/perkos.html
Arbeiterwohlfahrt Kreisverband Konstanz e.V. ,PERKOS 2016,PERKOS Persönliche Kompetenzen stärken,01.01.2016,31.12.2016,"222.997,14",78224,Deutschland,115,C 1.1,.
Arbeiterwohlfahrt Kreisverband Ulm e.V. ,EINSTIEG+Stadt Ulm,"EINSTIEG + Stadt Ulm - Weitere Qualifizierung, Unterstützung und Perspektiven für Jung und Alt. Ziegruppe im SGB II. Tagesstrukturierung, Schlüsselkompetenzen, verschiedene Arbeitsfelder, sozialpädagogische Begleitung.",01.01.2015,31.12.2015,"93.206,12",89077,Deutschland,109,B 1.1,","
Arbeiterwohlfahrt Kreisverband Ulm e.V. ,EINSTIEG+ ADK,"EINSTIEG+ Alb-Donau-Kreis 2015-2016 - Weitere Qualifizierung, Unterstützung und Perspektiven für  Jung und Alt",01.01.2015,31.12.2016,"122.902,00",89077,Deutschland,109,B 1.1,.
