SAM / pasākuma nr.,Projekta nosaukums,Finansējuma saņēmējs,Kopējais finansējums,ES finansējums,Projekta īstenošanas vieta
6.3.1.,"Valsts reģionālā autoceļa P87 Bauska - Aizkraukle posma Krustojums ar P76 – Aizkraukle (km 76,36-77,391 un km 77,939-78,48) pārbūve",LR Satiksmes ministrija,"2416217,19","2053784,00","Sērenes pag., Jaunjelgavas nov. Aizkraukle, Aizkraukles nov. Aizkraukle, Aizkraukles nov. Aizkraukle, Aizkraukles nov. Aizkraukle, Aizkraukles nov. Sērenes pag., Jaunjelgavas nov."
6.3.1.,"Valsts reģionālā autoceļa P120 Talsi – Stende – Kuldīga posma Talsi – Stende km 1,56 – 10,91 pārbūve (ceļa pārvads)",LR Satiksmes ministrija,"14295413,84","12151101,00","Lībagu pag., Talsu nov. Lībagu pag., Talsu nov."
6.3.1.,"Valsts reģionālā autoceļa P11 Kocēni – Limbaži – Tūja posma Lauciņi – Augstroze km 19,22 – 27,70 pārbūve (tilts)",LR Satiksmes ministrija,"7748798,33","6586478,00","Umurgas pag., Limbažu nov. Umurgas pag., Limbažu nov. Umurgas pag., Limbažu nov."
6.3.1.,"Valsts reģionālā autoceļa P30 Cēsis - Vecpiebalga - Madona posma km 24,60 – 38,00 pārbūve (tilts)",LR Satiksmes ministrija,"12077143,38","10265571,00","Dzērbenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Dzērbenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Dzērbenes pag., Vecpiebalgas nov. Dzērbenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov. Taurenes pag., Vecpiebalgas nov."
6.3.1.,"Valsts reģionālā autoceļa P30 Cēsis – Vecpiebalga – Madona posma Brežģu kalns – Vecpiebalga km 38,00 – 49,00 pārbūve",LR Satiksmes ministrija,"9507904,38","8081718,00","Taurenes pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov. Vecpiebalgas pag., Vecpiebalgas nov."
6.3.1.,"Valsts reģionālā autoceļa P73 Vecumnieki – Nereta – Subate posma Krasti - Ērberģe km 29,20-40,33 pārbūve (tilts)",LR Satiksmes ministrija,"9046063,18","7689153,00","Mazzalves pag., Neretas nov. Mazzalves pag., Neretas nov."
6.3.1.,"Valsts reģionālā autoceļa P89 Ķekava – Skaistkalne posma Bārbele – Lietuvas robeža km 47,05 – 55,80 pārbūve (tilts)",LR Satiksmes ministrija,"9000901,19","7650766,00","Skaistkalnes pag., Vecumnieku nov. Bārbeles pag., Vecumnieku nov. Skaistkalnes pag., Vecumnieku nov. Skaistkalnes pag., Vecumnieku nov."
6.3.1.,"Valsts reģionālā autoceļa P62 Krāslava - Preiļi - Madona posma Krāslava – Krāslavas stacija km 0,80 – 4,00 pārbūve (tilts)",LR Satiksmes ministrija,"3720373,93","3162317,00","Ūdrīšu pag., Krāslavas nov. Ūdrīšu pag., Krāslavas nov. Ūdrīšu pag., Krāslavas nov."
6.3.1.,"Valsts reģionālā autoceļa P128 Sloka - Talsi posma Apšuciems - P131 km 24,48 - 32,02 pārbūve",LR Satiksmes ministrija,"8586771,05","7298755,00","Engures pag., Engures nov. Engures pag., Engures nov."
6.3.1.,"Valsts reģionālā autoceļa P68 Daugavpils - Skrudaliena - Baltkrievijas robeža (Silene) posma Daugavpils - krustojums ar P66 km 3,320 - 7,840 pārbūve",LR Satiksmes ministrija,"4119082,97","3501220,00","Laucesas pag., Daugavpils nov. Laucesas pag., Daugavpils nov. Laucesas pag., Daugavpils nov."
6.3.1.,"Valsts reģionālā autoceļa P73 Vecumnieki - Nereta - Subate posma km 57,56 - 65,10 pārbūve",LR Satiksmes ministrija,"7635294,88","6490000,00","Neretas pag., Neretas nov. Neretas pag., Neretas nov. Neretas pag., Neretas nov."
6.3.1.,"Valsts reģionālā autoceļa P36 Rēzekne - Gulbene km 3,98 - 12,25 (posma Rēzekne - Audriņi) pārbūve",LR Satiksmes ministrija,"7487512,23","6364385,00","Vērēmu pag., Rēzeknes nov. Vērēmu pag., Rēzeknes nov. Vērēmu pag., Rēzeknes nov. Vērēmu pag., Rēzeknes nov. Audriņu pag., Rēzeknes nov. Audriņu pag., Rēzeknes nov. Vērēmu pag., Rēzeknes nov. Vērēmu pag., Rēzeknes nov. Audriņu pag., Rēzeknes nov."
6.3.1.,"Valsts reģionālā autoceļa P76 Aizkraukle – Jēkabpils posma km 33,45 – 38,43 pārbūve (tilts)",LR Satiksmes ministrija,"5400234,97","4590199,00","Sēlpils pag., Salas nov. Salas pag., Salas nov. Sēlpils pag., Salas nov. Salas pag., Salas nov."
