"Name des Begünstigten / beneficiary name","Bezeichnung des Vorhabens / operation name","Zusammenfassung des Vorhabens / operation summary","Datum des Beginns des Vorhabens / operation start date","Datum des Endes des Vorhabens / operation end date","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation","Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis","Postleitzahl des Vorhabens / operation postcode","Land / country","Interventionsbereich / intervention field","Finanzierungsform / form of finance","Art des Gebiets / territorial dimension","Territoriale Umsetzungsmechanismen / territorial delivery mechanism","Thematisches Ziel / thematic objective dimension"
Dlubal Software GmbH,Markterschließung USA,Vertrieb von Software auf dem amerikanischen Markt.,16.06.2015,15.06.2017,25000,25%*,93464,"Tiefenbach , Oberpf","066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Dlubl Software GmbH,Markerschließung Italien,Vertrieb von Software auf dem italienischen Markt.,02.06.2015,01.06.2016,20000,25%*,93464,"Tiefenbach , Oberpf","066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Eiscafe Cappuccini Dwyer GmbH und Monika Dwyer,Modernisierung,"Modernisierung, Eiscafe Cappuccini Dwyer GmbH und Monika Dwyer IN Vilshofen , Niederbay",11.11.2015,15.01.2016,372935,25%*,94474,"Vilshofen , Niederbay",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Ergo-Tec GmbH,Markterschließung Schweiz,Export medizintechnischer Geräte in das Zielland Schweiz,19.06.2015,18.06.2016,40000,25%*,91489,"Wilhelmsdorf , Mittelfr","066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Erich Schweiger Werkzeug- und Formenbau GmbH & Co. KG,Modernisierung und Erweiterung,"Modernisierung und Erweiterung, Erich Schweiger Werkzeug- und Formenbau GmbH & Co. KG IN Uffing a Staffelsee",15.04.2015,15.12.2016,4575000,25%*,82449,Uffing a Staffelsee,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Faltenbacher Jalousienbau GmbH & Co. KG,Erweiterung,Erweiterung der Firma Faltenbacher Jalousienbau GmbH & Co. KG in Erbendorf durch Neubau eines Produktions- und Verwaltungsgebäudes im Gewerbegebiet mit entsprechenden Maschinen und Einrichtungsgegenständen.,30.07.2015,29.07.2018,6030000,25%*,92681,Erbendorf,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,"02 - Kleinstädtische Gebiete (mittlere Bevölkerungsdichte, Bevölkerung > 5 000)",07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Freudenstein OHG,Modernisierung,"Modernisierung, Freudenstein OHG IN Bad Füssing",30.06.2014,30.04.2015,1100000,25%*,94072,Bad Füssing,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Friedrich-Alexander-Universität Erlangen-Nürnberg (Lehrstuhl f. Fertigungsautomatisierung u. Produktionssystematik - FAPS),"MagLab (Magnetfeldmesslabor für die ""Entwicklung automatisierter Systemlösungen zur Prüfung und Charakterisierung magnetischer Materialien, Komponenten und Baugruppen"")","Aufbau eines Kompetenzzentrums durch die Friedrich-Alexander-Universität Erlangen-Nürnberg um kleine und mittlere Unternehmen bei der Untersuchung und Entwicklung von Magnetfeldprüfsystemen, sowie der Fertigung von automatisierten inlinefähigen Prüfprozessen zu unterstützen.",01.05.2015,30.04.2018,1091300,50%*,91054,Erlangen,"062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
Gottschaller Biohofbäckerei GmbH & Co. KG und Nikodemus Gottschaller,Erweiterung,"Erweiterung, Gottschaller Biohofbäckerei GmbH & Co. KG und Nikodemus Gottschaller IN Malching , Niederbay",22.10.2015,30.10.2017,500000,25%*,94094,"Malching , Niederbay",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Grünwald GmbH und GbR,Erweiterung,"Erweiterung, Grünwald GmbH und GbR IN Luhe-Wildenau",20.08.2015,31.12.2016,2215928,25%*,92706,Luhe-Wildenau,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
"Hermann Reischl, Reischlhof",Modernisierung,"Modernisierung, Reischlhof Hermann Reischl IN Wegscheid , Niederbay",08.07.2015,31.05.2019,10000000,25%*,84323,Massing im Rottal,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
