Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Gemeinde Namborn, Namborn",Wärmedämmmaßnahmen an der Annen- schule in Furschweiler,2010,,"9.377,71 €","5.749,09 €"
"Gemeinde Nohfelden, Nohfelden",Dämmung der oberen Geschossdecke und Einbau neuer Fenster im Amtshaus Nohfel-,2010,,"28.900,21 €","28.900,21 €"
"Gemeinde Nonnweiler, Nonnweiler",Fenstererneuerung an der Kurhalle Nonnwei- ler und am Aussiedlerhaus Schwarzenbach,2010,,"23.662,13 €","23.662,13 €"
"Gemeinde Nonnweiler, Nonnweiler",Touristische Erschließung des Keltenparks Otzenhausen,2011,,"369.915,00 €",
"Gemeinde Nonnweiler, Nonnweiler",Rekonstruktion eines Keltengehöfts im Kel- tenpark  Otzenhausen (I. BA),2013,,"219.100,00 €","193.706,64 €"
Gemeinde Nonnweiler Trierer Straße 5 66620 Nonnweiler,Rekonstruktion eines Keltengehöfts im Kel- tenpark Otzenhausen (II. BA),2014,,"176.050,00 €",
Gemeinde Nonnweiler Trierer Straße 5 66620 Nonnweiler,Rekonstruktion eines Keltengehöfts im Kel- tenpark Otzenhausen (III. BA),2014,,"230.405,00 €",
Gemeinde Nonnweiler Trierer Straße 5 66620 Nonnweiler,Rekonstruktion eines Keltengehöfts im Kel- tenpark Otzenhausen (IV. BA),2015,,"241.080,00 €","214.761,30 €"
"Gemeinde Oberthal, Oberthal",Einbau einer Holzhackschnitzel-Heizung im Kindergarten Güdesweiler,2013,,"108.991,25 €",
"Gemeinde Quierschied, Quierschied",Einbau eines Pelletkessels mit Solarkollekt- oren zur Trinkwassererwärmung beim Bau- hof der Gemeinde,2013,,"12.305,78 €","12.305,78 €"
"Gemeinde Saarwellin- gen, Saarwellingen",Fenster- und Türerneuerung,2014,,"48.671,73 €","48.671,73 €"
"Gemeinde Saarwellin- gen, Saarwellingen",Fenster- undTürerneuerung,2014,,"60.075,02 €","58.721,59 €"
"Gemeinde Schiffweiler, Schiffweiler",Energetische Sanierung der Löschpfadschu- le in Landsweiler-Reden,2013,,"78.431,12 €","78.431,12 €"
"Gemeinde Schiffweiler, Schiffweiler",Engergetische Sanierung der Fenster der Grundschule Wiesengrund,2013,,"100.290,90 €","100.290,90 €"
"Gemeinde Schiffweiler, Schiffweiler",Dachdämmung,2014,,"12.929,21 €","12.929,21 €"
"Gemeinde Schmelz, Schmelz",Wärmedämmung am Hauptgebäude der Johannesschule in Hüttersdorf,2010,,"56.722,65 €","56.722,65 €"
"Gemeinde Schmelz, Schmelz",Dämmung der obersten Geschossdecke an der Stefanschule Schmelz,2013,,"22.788,19 €","22.788,19 €"
"Gemeinde Schmelz, Schmelz",Energetische Sanierung der Talbach- Grundschule in Schmelz,2013,,"81.656,13 €","81.656,13 €"
"Gemeinde Schmelz, Schmelz",Prims-Theel-Erlebnisweg,2014,,"647.575,60 €",
Gemeinde Spiesen- Elversberg,Fenstererneuerung und Wärmedämmung an der Pestalozzischule,2013,,"244.466,69 €","209.026,71 €"
Gemeinde Spiesen- Elversberg,Dachdämmung,2015,,"131.748,62 €",
"Gemeinde Tholey, Tholey",Um- und Neugestaltung der Eingangszone und der Parkplätze zum Herzweg am Schaumberg,2009,,"342.202,00 €","342.202,00 €"
"Gemeinde Tholey, Tholey",Fenstererneuerung an der Grundschule in Theley,2010,,"24.806,43 €","24.806,43 €"
"Gemeinde Tholey, Tholey",Sanierung und Instandsetzung des Dorfge- meinschaftshauses im Ortsteil Überroth- Niederhofen,2011,,"63.757,49 €","58.834,92 €"
"Gemeinde Tholey, Tholey",Wärmedämmmaßnahme am Feuerwehrgerä- tehaus in Theley,2011,,"7.747,40 €","6.195,24 €"
Gemeinde Überherrn,Dachdämmung,2014,,"6.359,50 €","6.359,50 €"
"Gemeinde Wallerfan- gen, Wallerfangen",Erstellung einer Machbarkeitsstudie für das „Bioenergiedorf Gisingen“,2010,,"7.543,65 €","7.543,65 €"
"Gemeinde Weiskirchen, Weiskirchen",Errichtung eines Blockheizkraftwerkes an der Grundschule Kornfeld,2011,,"10.328,67 €","10.328,67 €"
"Gemeinde Weiskirchen, Weiskirchen","Erschließung des Gewerbegebiets „Auf der Heide“, 3.Erweiterung, Weiskirchen (1.FA)",2012,2015,"1.866.233,00 €",
