Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Stadt Dillingen, Dillingen",Fenster- und Türenerneuerung im Gebäude Saarlouiser Str.3 in Dillingen,2013,,"17.064,84 €","17.064,84 €"
"Stadt Dillingen, Dillingen",Dachsanierung am DRK-Gebäude in Dillin- gen -Diefflen,2013,,"12.480,30 €","12.280,06 €"
"Stadt Dillingen, Dillingen",Fenstersanierung in der Odilienschule in Dillingen,2013,,"22.158,08 €","22.158,08 €"
"Stadt Dillingen, Dillingen",Energetische Sanierung des Gebäudes in der Dr. Prior Str. in Dillingen,2013,,"31.453,91 €","28.508,89 €"
"Stadt Dillingen, Dillingen",Fenstererneuerung,2014,,"119.531,29 €","116.098,93 €"
"Stadt Dillingen, Dillingen",Fenstererneuerung,2014,,"6.953,82 €","5.906,82 €"
"Stadt Dillingen, Dillingen",Fenstererneuerung,2014,,"24.406,53 €","24.406,53 €"
"Stadt Lebach, Lebach",Wärmedämmung an der Großsporthalle in Lebach,2009,,"295.078,77 €","294.670,46 €"
"Stadt Lebach, Lebach",Gewerbegebiet Häpelt,2013,2014,"2.399.088,00€",
"Stadt Lebach, Lebach",Fenstererneuerung,2014,,"6.904,92 €","6.904,92 €"
"Stadt Lebach, Lebach",Fenstererneuerung,2014,,"19.226,46 €","18.876,63 €"
"Stadt Lebach, Lebach",Energetische Sanierung,2015,,"75.639,33 €",
"Stadt Neunkirchen, Neunkirchen",Infrastrukturmaßnahmen im Bereich des Tourismusschwerpunktes „Lakaienschäferei“ in Neunkirchen,2009,,"948.395,00 €","948.395,00 €"
"Stadt Neunkirchen, Neunkirchen",Energetische Sanierung des Rathauses in Neunkirchen,2013,,"1.500.577,00 €",
"Stadt Neunkirchen, Neunkirchen",Energetische Sanierung,2015,,"218.246,77 €",
"Stadt Püttlingen, Eigen- betrieb Technische Dienste, Püttlingen",Wärmedämmung des Daches an der Grund- schule Pater-Eberschweiler in Püttlingen,2011,,"60.981,55 €","60.981,55 €"
"Stadt Püttlingen, Eigen- betrieb Technische Dienste, Püttlingen",Fenstererneuerung und Wärmedämmver- bundsystem an der Grundschule Pater- Eberschweiler in Püttlingen,2011,,"79.642,32 €","79.642,32 €"
"Stadt Püttlingen, Pütt- lingen",Energetische Sanierung des Hausmeister- Wohngebäude-Traktes der Grundschule Pater-Eberschweiler in Püttlingen,2013,,"12.553,17 €","12.553,17 €"
"Stadt Püttlingen, Pütt- lingen",Energetische Sanierung,2014,,"7.671,05 €",
"Stadt Saarlouis, Saarlouis",Wärmedämmmaßnahmen am Rathaus in Saarlouis,2011,,"19.891,62 €","19.236,07 €"
"Stadt Saarlouis, Saarlouis",Energetische Sanierung der Stadtgartenhalle in Saarlouis,2013,,"563.274,12 €","477.169,92"
"Stadt Saarlouis, Saarlouis",Wärmepumpe,2014,,"5.818,15 €",
"Stadt Saarlouis, Saarlouis",Biomassefeuerungsanlage,2014,,"200.000,00 €","200.000,00 €"
"Stadt St. Ingbert, St. Ingbert",Nahwärmenetz von Rathaus bis Baumwoll- spinnerei,2010,,"161.828,52 €","145.207,11 €"
"Stadt St. Ingbert, St. Ingbert",Nahwärmenetz KWK-Anlage „Am Hasen- bühl“ und „In den Schwammwiesen“,2010,,"201.577,81 €","183.477,49 €"
"Stadt Wadern, Wadern",Errichtung eines Blockheizkraftwerkes in der Hochwaldalm bei Wadrill,2010,,"21.535,41 €","21.535,41 €"
"Sulvinja Kürbekleidung, Schwalbach",Errichtung der Betriebsstätte in 66773 Schwalbach,2011,,"25.000,00 €",
"Süppmayer Immobilien GmbH & Co. KG, Adress Control Süpp- meyer GmbH, AC Con- sulting GmbH, Saarbrücken",Verlagerung der Betriebsstätte innerhalb 66271 Kleinblittersdorf,2011,,"110.939,00 €","110.939,00 €"
"SVQ GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2009,,"19.200,00 €","19.200,00 €"
"SVQ GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2010,,"16.500,00 €","16.500,00 €"
"SVQ GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2011,,"18.000,00 €","18.000,00 €"
"SYBCOM GmbH, Saarbrücken",Externe Antragsredaktion für Antragstellung im ZIM-Programm des Bundes,2009,,"10.000,00 €","7.175,32 €"
"Synergetik GmbH, Illingen",Entwicklung einer Schlicksonde,2010,,"93.917,00 €","93.916,99 €"
"tec4U Ingenieurgesell- schaft mbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2008,,"18.999,60 €","18.999,60 €"
"tec4U Ingenieurgesell- schaft mbH, Saarbrücken",Entwicklung eines SVHC-Monitors,2010,,"59.179,00 €","58.828,10 €"
"tec4U Ingenieurgesell- schaft mbH, Saarbrücken",Entwicklung einer wissensintensiven Dienst- leistung auf Basis einer softwaregestützten Personalentwicklung mit der Bezeichnung PE3D,2010,,"77.162,00 €","76.826,86 €"
"Tierarztpraxis Bernhard Lenhof, Tholey-Hasborn",Revalidierung des Umwelt- Managementsystems,2009,,"1.415,05 €",
"Topmedicare GmbH, 66299 Friedrichtsthal",Erweiterung einer Betriebsstätte,2013,2015,"763.200,00 €","763.200,00 €"
"toroma organics LTD, Saarbrücken",Entwicklung eines Verfahrens zur Synthese neuer pharmarelevanter Boronsäuren,2010,,"121.390,00 €","52.344,99 €"
"Tschan GmbH, Neunkirchen",Beschäftigung eines Forschungsmitarbeiters,2010,,"19.200,00 €","19.199,99 €"
"TTEC GmbH, 66450 Bexbach",Erweiterung und Verlagerung der Betriebs- stätte,2013,,"59.803,00 €","59.803,00 €"
"Universität des Saarlan- des, Saarbrücken",Advanced Materials Engineering Labors (AME-Lab),2009,2014,"5.364.695,11 €",
"Universität des Saarlan- des, Kontaktstelle für Wissens- und Techno- logietransfer der Univer- sität des Saarlandes (KWT), Saarbrücken",Förderung junger Unternehmen in der Grün- dungs- sowie in der Festigungs-/ Produktiv- phase,2008,,"182.780,00 €","147.893,82 €"
"Universität des Saarlan- des, Kontaktstelle für Wissens- und Techno- logietransfer der Univer- sität des Saarlandes (KWT), Saarbrücken",Einrichtung von Transferbereichen an der Universität des Saarlandes; Verstärkung der Kooperation Wirtschaft - Wissenschaft (Ko- Wi2),2008,2013,"1.840.166,56 €",
"Universität des Saarlan- des, Kontaktstelle für Wissens- und Techno- logietransfer der Univer- sität des Saarlandes (KWT), Saarbrücken",Route 2020,2014,,550.000 €,
"Universität des Saarlan- des, Kontaktstelle für Wissens- und Techno- logietransfer der Univer- sität des Saarlandes (KWT), Saarbrücken",ZEUS,2012,,"1.011.497,50 €",
"Utopia Velo GmbH, Saarbrücken","Externe technische Dienstleistungen, Prü- fungen und Zulassungen im Zusammenhang mit der Entwicklung eines speziellen Fahr- rad-Elektroantriebs für handicaped persons und Vielfahrer",2009,,"64.143,00 €","64.143,00 €"
Ver- und Entsorgungs- zweckverband Lebach,Energetische Sanierung und Lüftungsanlage mit Wärmerückgewinnung,2014,,"80.545,58 €","80.545,58 €"
Ver- und Entsorgungs- zweckverband Lebach,"Anbringen eines Wärmedämmsystems am Anwesen Dillinger Straße 120 in Lebach, Hallen D und E",2013,,"119.454,42 €","117.721,28 €"
"Vexario sports GmbH & Co. KG, St. Wendel",Beschäftigung eines Forschungsmitarbeiters,2012,,"14.400,00 €","14.372,00 €"
"Villeroy & Boch AG, Mettlach",Einführung eines Umwelt- Managementsystems,2009,,"27.769,15 €","25.435,97 €"
"Villeroy & Boch Fliesen GmbH, Merzig",Einführung eines Umwelt- Managementsystems,2010,,"54.822,04 €","53.444,70 €"
Villeroy & Boch,Einführung EMAS,2013,,"26.308,16 €",
"VSE NET GmbH, Burbach",Einführung eines Umwelt- Managementsystems,2009,,"8.397,03 €","8.397,03 €"
"GünterWagnerals MitunernehmerderLA MAISON hotel GmbH & CoKG,Von-Schütz- Straße3,66740Saar- louis",Umbau eines historischen Gebäudes in ein Hotel mit Anbau in Saarlouis,2014,,"1.875.000,00 €","1.875.000,00 €"
"Weber und Leist GmbH, Sulzbach",Erweiterung der Betriebsstätte in 66386 St. Ingbert,2009,2010,"16.500,00 €","16.500,00 €"
"Wecker LWL Technik GmbH, Wadern",Erweiterung und Verlagerung der Betriebs- stätte innerhalb 66687 Wadern,2012,2014,"100.000,00 €",
"Weide & Co. Sicher- heitssysteme GmbH, St. Ingbert",Verlagerung der Betriebsstätte innerhalb 66386 St. Ingbert,2011,2012,"64.400,00 €","64.400,00 €"
"Weisang GmbH, 66386 St. Ingbert",Erweiterung und Verlagerung der Betriebs- stätte,2013,2015,"131.250,00 €","131.250,00 €"
"Wellgo Gerätetechnik GmbH, Nohfelden",Entwicklung intelligenter vernetzter Hygie- nespendergeräte,2009,,"164.924,00 €","156.187,05 €"
"Weltkulturerbe Völklin- ger Hütte, Europäisches Zentrum für Kunst und Industrie- kultur, Völklingen","Weltkulturerbe Völklinger Hütte, Herrichtung und touristische Erschließung des Hüttenen- sembles",2007,2015,"25.385.000,00 €",
"Wirtschaftsförderungs- verband Untere Saar e. V., Saarlouis",Durchführung des Projektes Sun-Area- Standortanalyse für Photovoltaikanlagen mit Erstellung einer Solardach-Potenzialanalyse für die Städte und Gemeinden des Landkrei- ses Saarlouis und Visualisierung durch eine Internet / Intranet-GIS-Lösung,2011,,"14.210,56 €","14.210,56 €"
"Wir verbinden Medien- consulting GmbH, Dudweiler","Externe Dienstleistungen, Prüfungen und Zulassungen im Zusammenhang mit der Umsetzung des Internetradios befamous.fm",2010,,"31.500,00 €","20.835,00 €"
Woll Maschinenbau GmbH,technische Durchführbarkeitsstudie zur Vorbereitung der experimentellen Entwick- lung eines teilautomatisierten Roboter- schweißplatzes für die Einzelteilfertigung,2014,,"79.882,50 €",
"WPW Ingenieure GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2009,,"18.600,00 €","18.600,00 €"
"YOUPEC AG, Saarwellingen",Beschäftigung einer Forschungsmitarbeiterin,2011,,"15.600,00 €","15.600,00 €"
"ZeMA – Zentrum für Mechatronik und Auto- matisierungstechnik gemeinnützige GmbH, Saarbrücken",Produktivitäts- und Qualitätssteigerung durch Optimierung von Fertigungsprozessen und Entwicklung robuster Mess-Sensorik für den Einsatz in komplexen Fertigungssystemen Quadrat) der produzierenden Industrie (ProQ,2009,2012,"5.726.791,00 €",
"ZeMA – Zentrum für Mechatronik und Auto- matisierungstechnik gemeinnützige GmbH, Saarbrücken",Energieoptimiertes Schalten von Fluiden (in Kooperation mit MHA ZENTGRAF GmbH & Co. KG),2012,,"303.640,00 €",
"ZeMA – Zentrum für Mechatronik und Auto- matisierungstechnik gemeinnützige GmbH, Saarbrücken",FuE-Vorhaben „Digitalhydraulik“ (in Koopera- tion mit Hydac Fluidtechnik GmbH),2012,,"352.820,55 €",
"ZeMA – Zentrum für Mechatronik und Auto- matisierungstechnik gemeinnützige GmbH, Saarbrücken",Effiziente Montage- und innovative Inbetrieb- nahmeprozesse in der Produktion moderner Fahrzeuge (AutoMatik AutoIBN),2013,2014,"1.326.687,72 €","1.326.390,77 €"
"ZeMA – Zentrum für Mechatronik und Auto- matisierungstechnik gemeinnützige GmbH, Saarbrücken",Entwicklung innovativer Produktionstechno- logien für Großbauteile (Automatik IProGro),2013,2014,"877.071,54 €",
"ZeMA – Zentrum für Mechatronik und Auto- matisierungstechnik gemeinnützige GmbH, Saarbrücken",technische Durchführbarkeitsstudie zur Vorbereitung der experimentellen Entwick- lung eines teilautomatisierten Roboter- schweißplatzes für die Einzelteilfertigung,2014,,"193.731,43 €",
"Zentrale für Produktivität und Technologie Saar e.V. (ZPT), Saarbrücken",FuE-Projektbüro für den Mittelstand,2008,,"761.000,00 €",
"Zentrale für Produktivität und Technologie Saar e.V. (ZPT), Saarbrücken",Beratungsprojekt „Familienfreundliche Ar- beitswelt – Arbeiten und Leben im Saarland (ALS)“,2008,2011,"490.082,00 €",
"Zentrale für Produktivität und Technologie Saar e.V. (ZPT) Cluster „automotive.saarland“, Saarbrücken","Fortführung und Weiterentwicklung des Clusters ""automotive.saarland“",2007,,"300.000,00 €","271.523,72 €"
