Cod SMIS,Titlu,Beneficiar, Region , County ,Locality,FEDR,member state amount,own contribution,Ineligible Expenses ,total amount,Priority Axis,Intervention Category
27873,Excelenta in constructii prin utilizarea utilajelor de ultima generatie,SC Simplex SRL,Nord Vest,Maramures,BAIA MARE,331433,39132,0,88935,459500,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27375,Cresterea competitivitatii SC Pop-Up Pack SRL prin achizitie matrite pentru diversificarea ofertei de ambalaje termoformate din material plastic,SC Pop-Up Pack SRL,Nord Vest,Maramures,BAIA MARE,762713,90052,0,204664,1057429,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27226,SC HIPOCRAT SRL - ACHIZITIONARE DE ECHIPAMENTE TEHNOLOGICE PENTRU CRESTEREA CALITATII SERVICIILOR MEDICALE,SC HIPOCRAT SRL,Nord Est,Suceava,SUCEAVA,225777,26657,0,60584,313018,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
24834,Dezvoltare si inovare la SC San SRL,SC San SRL,Centru,Harghita,MIERCUREA CIUC,550648,65014,0,154065,769727,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27724,Dezvoltarea societatii Auto Alex prin construirea unei hale proprii de service si echiparea acesteia cu echipamente si tehnici de calcul performante pentru prestarea serviciilor la nivel european,SC Auto Alex SRL,Nord Vest,Satu Mare,SATU MARE,710428,83879,0,306891,1101198,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27860,Prelucrarea lemnului - intre traditie si modernism,"SC Silva Nobilis SRL (Str. Al. Odobescu nr. 2A, ap. 19, Baia Mare)",Nord Vest,Maramures,BAIA SPRIE,776339,91661,133630,240391,1242021,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27879,"Modernizarea tipografiei ""Color Print""",SC Color Print SRL,Nord Vest,Salaj,ZALAU,776339,91661,35950,216948,1120898,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30802,Completare dotari pentru activitate medicala specializata,SC ANDODENT SRL,Sud ,Prahova,PLOIESTI,562769,66445,87900,184631,901745,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30654,Modernizarea si dezvoltarea activitatii SC HIDROTEC LINE SRL,SC HIDROTEC LINE SRL,Sud ,Prahova,BUSTENI,759176,89634,0,293845,1142656,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27003,"Procent SRL Galati, servicii competitive ",SC PROCENT SRL,Sud Est,Galati,GALATI,734376,86706,0,197060,1018142,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26757,"Modernizare clinica stomatologica, prin achizitia de echipamente specifice, mobilier si echipamente IT",SC IDEEA DENT SRL,Sud Est,Buzau,BUZAU,578013,68245,0,165331,811589,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39816,Dezvoltarea durabila a firmei SC Daxiela Impex SRL,SC Daxiela Impex SRL,Sud Vest,Dolj,CRAIOVA,487715,57584,0,135379,680678,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
28096,CRESTEREA CALITATII SERVICIILOR LA SC GRAFFITI PRINT SRL PRIN ACHIZITIONAREA DE ECHIPAMENTE,SC GRAFFITI PRINT SRL,Nord Est,Suceava,RADAUTI,735382,86825,0,203735,1025942,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
28892,DOTAREA FIRMEI CU ECHIPAMENTE PERFORMANTE,SC GUSU CIBOTARU SNC,Nord Est,Bacau,BACAU,154145,18200,0,41363,213708,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
24511,"Spatii de depozitare marfuri generale, birouri, vestiare, grupuri sanitare, parcare si imprejmuire",SC Magda Logistic SRL,Vest,Timis,LUGOJ,771870,91133,0,300383,1163387,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30607,Dezvoltarea societatii CIER SRL prin achizitia de echipamente performante ,SC CIER SRL,Sud ,Giurgiu,MIHAILESTI,737414,87065,0,332310,1156790,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
38869,Achizitie mijloace fixe pentru dezvoltarea SC Total Market SRL,SC Total Market SRL,Sud Vest,Olt,SLATINA,770790,91006,0,259710,1121505,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30805,Spalatorie chimica,SC OPAL SRL,Sud ,Teleorman,ALEXANDRIA,385059,45463,0,355446,785968,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
39551,Achizitie utilaje pentru colectarea si recuperarea deseurilor din material plastic,SC Mustata Construct SRL,Sud Vest,Valcea,BAILE GOVORA,690932,81577,0,193142,965652,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26953,"DEZVOLTAREA FIRMEI DIGITAL COMPANY SRL PRIN ACHIZITIA DE ECHIPAMENTE SPECIFICE DOMENIULUI DE ACTIVITATE - FABRICAREA DE INSTRUMENTE SI DISPOZITIVE PENTRU MASURA, VERIFICARE SI CONTROL",SC DIGITAL COMPANY SRL,Nord Est,Iasi,PASCANI,245583,28996,0,95253,369832,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
28099,"ACHIZITIONAREA DE UTILAJE PENTRU DIVERSIFICAREA ACTIVITATII SC ""CENTRUL DE AFACERI LOGIS"" SRL",SC CENTRUL DE AFACERI LOGIS SRL,Nord Est,Iasi,IASI,755807,89237,0,28967,874011,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
