Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Landesinnung Hessen-Thüringen Kälte-Klima-Technik KdöR, Maintal",Technologie-Transfer-Stelle der Bundesfachschule Kälte-Klima-Technik 2010,2010,,"12.000,00"
"Landesverband der Campingplatzunternehmer in Hessen e. V., Knüllwald",ECOCAMPING Hessen - Einführung und Stabilisierung von ECOCAMPING auf Campingplätzen in Hessen,2008,,"75.000,00"
"Landkreis Bergstraße, Heppenheim (Bergstraße)",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Bergstraße,2008,,"28.908,00"
"Landkreis Bergstraße, Heppenheim (Bergstraße)","Modernisierung u. Ergänzung der IuK-Ausstattung in der Elisabeth -Selbert-Schule, der K.- Kübel-Schule u. der H.-Metzendorf-Schule",2012,,"28.983,86"
"Landkreis Darmstadt-Dieburg, Darmstadt",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Darmstadt-Dieburg,2008,,"20.000,00"
"Landkreis Darmstadt-Dieburg, Darmstadt",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"10.000,00"
"Landkreis Darmstadt-Dieburg, Darmstadt",Machbarkeitsuntersuchung zur Vorbereitung von Breitbandinfra- strukturmaßn.für ein reg. Hochleistungsnetz (NGA),2012,,"26.600,00"
"Landkreis Gießen, Gießen",Modernisierung und Ergänzung der IuK-Ausstattung in der Willy- Brandt-Schule in Gießen,2012,,"51.453,00"
"Landkreis Groß-Gerau, Groß-Gerau",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Kreises Groß- Gerau,2008,,"16.048,00"
"Landkreis Groß-Gerau, Groß-Gerau",Modernisierung und Ergänzung der IuK-Ausstattung in den Beruflichen Schulen Groß- Gerau,2012,,"41.200,00"
"Landkreis Groß-Gerau, Groß-Gerau",Modernisierung und Ergänzung der IuK-Ausstattung in der Werner- Heisenberg-Schule in Rüsselsheim,2013,,"18.998,00"
"Landkreis Kassel, Kassel",Ausbau Flughafen Kassel-Calden Verlegung der B 7,2009,,"2.750.000,00"
"Landkreis Limburg-Weilburg, Limburg",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Limburg-Weilburg,2008,,"324.914,84"
"Landkreis Limburg-Weilburg, Limburg",Modernisierung und Ergänzung der IuK-Ausstattung in der Adolf-Reichwein-Schule in Limburg a. d. Lahn,2012,,"94.014,54"
"Landkreis Limburg-Weilburg, Limburg",Modernisierung und Ergänzung der IuK-Ausstattung in der Wilhelm- Knapp-Schule in Weilburg,2012,"69.621,00",
"Landkreis Limburg-Weilburg, Limburg","Modernisierung und Ergänzung der IuK-Ausstattung in der Friedrich-Dessauer-Schule, Limburg",2012,,"188.494,00"
"Landkreis Limburg-Weilburg, Limburg",Modernisierung und Ergänzung der IuK-Ausstattung in der Peter-Paul-Cahensly-Schule in Limburg a. d. Lahn,2012,,"33.093,00"
"Landkreis Marburg-Biedenkopf, Marburg",Gründungsinitiative Marburg-Biedenkopf,2009,,"120.782,96"
"Landkreis Marburg-Biedenkopf, Marburg",Gründungsinitiative Marburg-Biedenkopf - 9/2011-11/2014,2011,,"123.900,00"
"Landkreis Marburg-Biedenkopf, Marburg",Umsetzung der Ergebnisse der Machbarkeitsuntersuchung,2012,,"74.261,00"
"Landkreis Offenbach, Dietzenbach",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Offenbachregionales Hochleistungsnetz,2008,,"40.000,00"
"Landkreis Offenbach, Dietzenbach",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Offenbach,2008,,"40.000,00"
"Landkreis Offenbach, Dietzenbach",Modernisierung und Ergänzung der IuK-Ausstattung in der Georg-Kerschensteiner-Schule in Obertshausen,2012,,"12.536,05"
"Landkreis Offenbach, Dietzenbach",Machbarkeitsuntersuchung zur Vorbereitung von Breitbandinfra- strukturmaßnahmen für ein regionales Hochleistungsnetz,2012,,"29.000,00"
"Landkreis Waldeck-Frankenberg Kreiswald Viermünden, Bad Arolsen",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Landkreises Waldeck-Frankenberg,2008,,"75.008,00"
"Landkreis Waldeck-Frankenberg Kreiswald Viermünden, Bad Arolsen",Modernisierung und Ergänzung der IUK-Ausstattung der beruflichen Schulen im Landkreis Waldeck-Frankenberg,2010,,"120.526,69"
"Landkreis Waldeck-Frankenberg Kreiswald Viermünden, Bad Arolsen",Modernisierung und Ergänzung der IuK-Ausstattung in der Hans-Viessmann-Schule in Frankenberg (Eder),2011,,"9.613,33"
"Landkreis Waldeck-Frankenberg Kreiswald Viermünden, Bad Arolsen",Modernisierung und Ergänzung der IuK-Ausstattung in der Hans- Viessmann-Schule in Frankenberg (Eder) und Bad Wildungen,2012,,"112.383,88"
"Landkreis Waldeck-Frankenberg Kreiswald Viermünden, Bad Arolsen",Modernisierung und Ergänzung der IuK-Ausstattung in den Beruflichen Schulen Korbach und Bad Arolsen,2012,,"127.810,05"
"Lars und Ursula Neumann, Künzell","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2014,,"17.012,83"
"Leinweber Landtechnik Inh. Stefan Leinweber e.K., Neuhof",Verlagerung und Erweit. einer Betriebsstätte nach 36119 Neuhof,2012,,"556.300,00"
"LETEC GmbH & Co. KG, Dautphetal",Erweiterung mit Verl. einer Betriebsstätte nach 35232 Dautphetal,2013,,"360.000,00"
"Lexalgo Legal Tech GbR, Darmstadt",Lexalgo,2015,,"25.000,00"
"Lichtspiele Grünberg Ottfried und Edith Weber GbR, Grünberg","Umrüstung von zwei Leinwänden von analoger auf digitale Projekti onstechnik, Lichtspiele Grünberg",2013,,"27.330,00"
"Lichtspiele Höchst Lieselotte Pausar, Höchst","Umrüstung von 2 Kinosälen von analoger auf digitale Projektionst echnik der Lichtspiele Höchst, Höchst + Cinema",2014,,"21.077,80"
"Linden-Theater Geisenheim gGmbH, Geisenheim","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, Linden-Theater Geisenheim, Winkeler Straße 54, Geisenh.",2011,,"40.532,85"
"LLS Vermietungs- und Verwaltungs GmbH HÜRNER Schweißtechnik GmbH, Mücke",Erweiterung einer Betriebsstätte in 35325 Mücke,2014,,"232.400,00"
"M. J. Wunderer Filmtheaterbetriebe Weilburg GmbH, Weilburg","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, DELPHI- Filmtheater Weilburg, DELPHI 1",2012,,"18.345,00"
"Mafex - Marburger Förderzentrum für Existenzgründer aus der Universität, Marburg",Pre-Seed-Beratung und Betreuung von akademischen Spinn-Offs,2008,,"41.166,28"
"Magistrat der Stadt Darmstadt Schulamt, Darmstadt",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen der Stadt Darmstadt,2008,,"71.000,00"
"Magistrat der Stadt Darmstadt Schulamt, Darmstadt",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2009,,"27.224,00"
"Magistrat der Stadt Darmstadt Schulamt, Darmstadt",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"7.541,09"
"Magistrat der Stadt Darmstadt Schulamt, Darmstadt",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"10.000,00"
"Magistrat der Stadt Darmstadt Schulamt, Darmstadt",Schule in Darmstadt,2012,,"10.596,46"
"Magistrat der Stadt Friedberg (Hessen), Friedberg (Hessen)",Errichtung eines Kreisverkehrsplatzes an der B3 in Friedberg als Anbindung des GEWest und der Kasernenfläche,2008,,"235.700,00"
"Magistrat der Stadt Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen der Stadt Fulda,2008,,"235.436,00"
"Magistrat der Stadt Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung der beruflichen Schulen der Stadt FuldaLandkreises Offenbach,2009,,"28.388,00"
"Magistrat der Stadt Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung der beruflichen Schulen der Stadt Fulda,2009,,"28.388,00"
"Magistrat der Stadt Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen der Stadt FuldaLandkreises Offenbach,2010,,"22.586,00"
"Magistrat der Stadt Fulda, Fulda",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen der Stadt Fulda,2010,,"22.586,00"
"Magistrat der Stadt Gießen, Gießen",Modernisierung und Ergänzung der IuK-Ausstattung in der Theodor- Litt-Schule in Gießen,2012,,"32.013,46"
"Magistrat der Stadt Kassel   - Liegenschaftsamt, Kassel","Machbarkeitsstudie für das Interkommunales Gewerbegebiet ""Langes Feld"" in Niederzwehren",2008,,"128.800,00"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen der Stadt Kassel,2008,,"277.671,25"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung der beruflichen Schulen der Stadt Kassel,2009,,"23.400,00"
"Magistrat der Stadt Kassel, Kassel",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"43.312,98"
"Magistrat der Stadt Kassel, Kassel",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"50.840,90"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung in der Martin- Luther-King-Schule Kassel,2012,,"14.636,00"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung in der Elisabeth-Knipping-Schule in Kassel,2012,,"29.513,00"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung in der Oskar- von-Miller-Schule in Kassel,2012,,"54.209,71"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung in der Paul-Julius-von-Reuter-Schule in Kassel,2012,,"25.820,00"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung in der Walter- Hecker-Schule in Kassel,2012,,"20.488,11"
"Magistrat der Stadt Kassel, Kassel",Modernisierung und Ergänzung der IuK-Ausstattung in der Max-Eyth-Schule in Kassel,2012,,"20.281,48"
"Magistrat der Stadt Wetzlar, Wetzlar","Industriecluster Optik, Elektronik, Mechanik Aufbauphase 2010 - 2012",2010,,"151.750,56"
"MAILINGER innovative fiber solutions GmbH (BtG) Berthold Mailinger (BsU), Scheuerfeld",Erweiterung einer Betriebsstätte in 36205 Sontra,2014,,"180.836,28"
"Main-Kinzig-Kreis, Gelnhausen",Machbarkeitsstudie zur Vorbereitung von Breitbandinfrastruktur maßnahmen für ein regionales Hochleistungsnetz (NGA),2011,,"20.000,00"
"Main-Kinzig-Kreis Service-Börse-Spessart, Gelnhausen",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Main-Kinzig- Kreises,2008,,"38.515,00"
Mainova AG,"Demonstrationsvorhaben ""Power-to-Gas mit PEM-Elektrolyseur in Frankfurt am Main""",2015,,"349.931,50"
"Main-Taunus-Kreis, Hofheim am Taunus",Modernisierung und Ergänzung der IuK-Ausstattung beruflicher Schulen des Main-Taunus- Kreises,2008,,"22.800,00"
"Main-Taunus-Kreis, Hofheim am Taunus",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2010,,"34.965,48"
"Main-Taunus-Kreis, Hofheim am Taunus",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2010,,"33.120,14"
"Main-Taunus-Kreis, Hofheim am Taunus",Förderung von ergänzender Ausstattung im Rahmen des Modellprojektes Virtuelles Lernen in Berufsschulen (ViLBe),2011,,"12.232,01"
"Main-Taunus-Kreis, Hofheim am Taunus",Machbarkeitsuntersuchung zur Vorbereitung von Breitbandinfrastrukturmaßnahmen für ein regionales Hochleistungsnetz (NGA),2012,,"23.471,63"
"MAL SEH`N e.V., Frankfurt am Main","Umrüstung von analoger auf digitale Projektionstechnik, MAL SEH ́N Kino",2012,,"20.700,00"
"Marburger Filmkunsttheater GmbH, Marburg",Umrüstung von drei Leinwänden von analoger auf digitale Projekti onstechnik,2012,,"39.708,00"
"Marktflecken Villmar, Villmar",Errichtung eines Lahn-Marmor-Museums in Villmar,2010,,"415.614,35"
"Marlies und Thomas Knauber, Fernwald","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Einfamilienwohnhaus""",2015,,"19.715,00"
"Medienwerkstatt Frankfurt ""MEWI"" e. V., Frankfurt am Main",Erstmalige Ausrüstung einer Leinwand des Filmtheaters Valentin mit digitaler Projektionstechnik in 2k/4K-Qualität entsprechend dem DCI-Standard,2012,,"19.117,50"
"Mellinghoff,Kai, Wolfhagen",Umrüstung einer Leinwand von analoger in digitale Projektionstec hnik,2011,,"20.642,96"
"METAKUS GmbH, Baunatal",METAKUS Anwendungszentrum Metallformgebung 2008-2010,2008,,"394.100,00"
"METAKUS GmbH, Baunatal",Planungskonzept und Geschäftsplan für AWZ Kunstofftechnik,2008,,"12.967,00"
"Metallbearbeitung Becker GmbH, Biedenkopf",Erweiterung einer Betriebsstätte in Marburg-Biedenkopf,2013,,"169.313,30"
"Mikrosystemtechnik-Netzwerk Rhein-Main e. V., Darmstadt",Mikrosystemtechnik-Netzwerk 2012,2012,,"17.196,13"
"Mikrosystemtechnik-Netzwerk Rhein-Main e. V., Darmstadt",Mikrosystemtechnik-Netzwerk Rhein-Main e.V. 2013,2013,,"21.663,22"
"MitteHessen e. V., Gießen",Logistikcluster Mittelhessen - Initiierungsphase,2010,,"23.038,00"
"MitteHessen e. V., Gießen",Breitbandberatungsstelle Mittelhessen,2010,,"87.422,58"
"MitteHessen e. V., Gießen",Online-Kulturwegweiser für Mittelhessen,2011,,"15.500,00"
"MitteHessen e. V., Gießen",Teilnahme an der EXPO REAL 2011,2011,,"110.000,00"
"MitteHessen e. V., Gießen",Teilnahme an der EXPO REAL 2010,2011,,"100.000,00"
"MitteHessen e. V., Gießen",Fortführung der Breitbandberatungsstelle in 2012,2012,,"110.289,38"
"MitteHessen e. V., Gießen",Teilnahme an der EXPO - Real 2012,2012,,"111.191,98"
"MockUp Studio UG, Darmstadt",MockUpStudio,2014,,"25.000,00"
"Moovin UG (haftungsbeschränkt), Darmstadt",Moove-in,2014,,"21.568,35"
"Morton Extrusionstechnik GmbH, Abtsteinach","Errichtung einer Betriebsstätte in der Gemeinde Abtsteinach, Im Steinböhl 5",2008,,"1.878.700,00"
"Mundinger Engineering GmbH (BtG) Dieter, Gert, Holger Mundinger GbR (BsG), Rotenburg",Erweiterung einer Betriebsstätte in 36199 Rotenburg,2013,,"180.000,00"
"MUP Bürohandels GmbH, Fulda",Erweiterung / Verlagerung einer Betriebsstätte in 36039 Fulda,2011,,"510.800,00"
"MyFoodMap UG (haftungsbeschränkt), Darmstadt",myFoodMap,2015,,"25.000,00"
"Netzwerk Wiesbaden Design vertreten durch Scholz & Volkmer, Wiesbaden","Netzwerk Wiesbaden Design, Aufbauphase, 3/2013 - 5/2015",2013,,"35.451,63"
"Neubronner GmbH & Co. KG, Oberursel","Demonstrationsvorhaben ""Mikrogasturbine mit Prozesswärmeauskopplung""",2015,,"169.840,00"
"Node Verein zur Förderung Digitaler Kunst e. V., Frankfurt am Main",NODE 15 Forum for Digital Arts,2014,,"50.000,00"
"Odenwald-Regionalgesellschaft mbH, Erbach","Erschließung ""Park für grüne Technologien"" am ehem. Standort des  Munitionslagers Hainhaus",2009,,"575.472,56"
"Odenwald-Regionalgesellschaft mbH, Erbach",Standortmarketing für den Wirtschaftsstandort Odenwaldkreis,2011,"42.202,66",
"Orfeos Erben  b.h. KG, Frankfurt am Main","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Orfeos Erben Kino, Hamburger Allee 45, Frankfurt am M.",2011,,"20.700,00"
"Park Casino Lichtspiele A. Schneevogl KG, Gelnhausen","Umrüstung von 2 Leinwänden v. analoger auf digitale Projektionst echnik, Kino Gelnhausen, Herzbachweg 1-3 Gelnhausen",2011,,"33.736,03"
"Patentinformationszentrum der Universitäts- und Landesbibliothek, Darmstadt","Verbesserung Technologietransfer im Bereich Patente, Marken und Muster 2012",2012,,"80.000,00"
"PaxAnimi GmbH, Darmstadt",Device Care / Baby Care,2015,,"9.203,40"
"Peter Lather Lather Kommunikation, Lohra",Einstellung eines/r Innovationsassistenten/in in 35102 Lohra- Damm,2011,,"25.600,00"
"Pfau Medizinische-Instrumente GmbH, Wanfried",Erweiterung einer Betriebsstätte in Wanfried,2007,,"535.059,00"
"Pfeiffer GmbH & Co. KG, Aßlar",Erweiterung einer Betriebsstätte in 35614 Aßlar,2013,,"172.046,10"
"Phantastische Bibliothek, Wetzlar","Umwidmung Gebäude Turmstr. 20, Wertzlar, in eine Bibliothek als Kultur-, Bidlungs- u. Wissenschaftszentrum (2. BA)",2007,,"60.200,00"
"Philipps-Universität Marburg, Marburg",Errichtung einer betrieblichen Kinderbetreuungseinrichtung der Philipps-Universität,2009,,"150.000,00"
"Philipps-Universität Marburg, Marburg","Errichtung einer betrieblichen Kinderbetreuungseinrichtung der P hilipps-Universität Marburg, Am Schwanhof 66, Marburg",2013,,"150.000,00"
"Pro Waldhessen gGmbH, Bad Hersfeld",Modernisierung der Ausstattung in der Lehrwerkstatt Metall der Berufsbildungsstätte Pro Waldhessen gGmbH in Bad Hersfeld,2010,,"52.767,83"
"Prof. Klaus Jaeger Filmtheaterbetriebe e.K., Frankfurt am Main","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Eldorado, Frankfurt",2012,,"20.937,00"
"Prognos AG, Berlin",Vorbereitung und Unterstützung der Clusterwettbewerbe in Hessen,2007,,"82.407,50"
"Projektentwicklungs-GmbH & Co. Schule an der Wascherde KG, Kassel","Förderung nach § 6 HEnG für die energ. opt. Modernisierung mit passiv-haustauglichen Komponenten der ""Schule an der Wascherde"", 36341Lauterbach",2015,,"744.673,46"
"Provadis School of International Management and Technology, Frankfurt am Main",Cluster Chemie und Pharma Rhein Main - Initiierungsphase,2009,,"25.000,00"
"Provadis School of International Management and Technology, Frankfurt am Main","Cluster ""Chemie und Pharma in Rhein-Main"" - Aufbauphase 2010 - 2013",2010,,"326.149,86"
"Provadis School of International Management and Technology, Frankfurt am Main","Rhein-Main-Cluster Chemie und Pharma, Verstetigungsphase 05-2013 bis 12-2015",2013,,"326.380,00"
"proVita21 GmbH & Co. KG, Niederaula","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät in der Kinder- und Jugendhilfeeinrichtung""",2015,,"19.724,00"
"Quantitec GmbH, Hofheim",Safty Tracking System / Interkontinentales Tracking,2014,,"25.000,00"
"Rainer und Ute Lomb, Fulda","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"16.529,69"
"Rat für Formgebung Service GmbH, Frankfurt am Main",Konferenz Material Vision am 25.05.2011 in Frankfurt am Main,2011,,"29.896,89"
"Rat für Formgebung Service GmbH, Frankfurt am Main",Design-Dialog-Forum auf der formnext,2015,,"28.500,00"
"Rat für Formgebung Stiftung (BGB) / Foundation (BGB), Frankfurt am Main",Deutscher Marken- und Designkongress 2010,2010,,"49.088,98"
"Rat für Formgebung Stiftung (BGB) / Foundation (BGB), Frankfurt am Main",Deutscher Marken- und Designkongress 2011,2011,,"50.000,00"
"Rat für Formgebung Stiftung (BGB) / Foundation (BGB), Frankfurt am Main","Konferenz ""design e-mobility 2012""",2012,,"50.000,00"
"Rat für Formgebung Stiftung (BGB) / Foundation (BGB), Frankfurt am Main",Deutscher Marken- und Designkongress 2012,2012,,"49.972,45"
"Rat für Formgebung Stiftung (BGB) / Foundation (BGB), Frankfurt am Main",60 Jahre Designkultur in Deutschland,2013,,"50.000,00"
"Rat für Formgebung Stiftung (BGB) / Foundation (BGB), Frankfurt am Main",Design für Hessen 2015,2015,,"25.000,00"
"recop electronic GmbH, Kassel",Einstellung eines Innovationsassistenten in 34123 Kassel,2011,,"28.700,00"
"Region Vogelsberg Touristik GmbH, Schotten","Road-Show Vogelsberg/Hessen, ""Marketingaktion zur Bewerbung des Aktiv-, Gesundheits- und Erholungstourismus""",2010,,"63.900,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Anlaufkosten Regionalmanagement GmbH,2013,,"32.631,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Basisfinanzierung Regionalmanagement,2013,,"379.362,94"
"Regionalmanagement Mittelhessen GmbH, Gießen",Fortführung einer Breitbandberatungsstelle in 2013,2013,,"94.944,06"
"Regionalmanagement Mittelhessen GmbH, Gießen",Teilnahme an der EXPO-REAL 2013,2013,,"115.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Fortführung einer Breitbandberatungsstelle in 2014,2014,,"98.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen","Teilnahme an der EXPO-REAL 2014Marburg, Karl-von-Frisch-Straße 6, Marburg",2014,,"115.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Teilnahme an der EXPO-REAL 2014,2014,,"115.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen","Newcomersday - Willkommen in Mittelhessen 2014/15Marburg, Karl-von-Frisch-Straße 6, Marburg",2014,,"30.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Newcomersday - Willkommen in Mittelhessen 2014/15,2014,,"30.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Fortführung einer Breitbandberatungsstelle in 2015,2015,,"98.000,00"
"Regionalmanagement Mittelhessen GmbH, Gießen",Teilnahme an der EXPO-REAL 2015,2015,,"115.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Cluster Mobilitätswirtschaft - Verstetigungsphase,2007,,"304.353,00"
"Regionalmanagement Nordhessen GmbH, Kassel","Cluster ""Tourismusoffensive Nordhessen"" - Fortsetzungsphase",2008,,"230.071,94"
"Regionalmanagement Nordhessen GmbH, Kassel","Gründungswettbewerb ""promotion Nordhessen"" 2008",2008,,"154.730,00"
"Regionalmanagement Nordhessen GmbH, Kassel","Konzeption und Umsetzung des Themenkomplexes ""Märchenland der Brüder Grimm""",2008,,"270.700,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Marketingmaßnahmen zur Positionierung der Destination NordHessen in internationalen Märkten (Niederlande/Dänemark),2008,,"130.600,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Standortmarketing Nordhessen 2008-2009,2008,,"414.104,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Magazin aus der Mitte Schwerpunkt Wandern,2008,,"37.680,00"
"Regionalmanagement Nordhessen GmbH, Kassel","Cluster ""Gesundheitsregion Nordhessen"" (Verstetigung)",2009,,"300.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Fertigungsprozessoptimierung als Instrument zur Stärkung des Mittelstandes,2009,,"36.552,00"
"Regionalmanagement Nordhessen GmbH, Kassel","GrimmHeimat, Tour. Marketing Märchen-Sagen und Gartenregion",2009,,"607.400,00"
"Regionalmanagement Nordhessen GmbH, Kassel",promotion Nordhessen - Vom Businessplanwettbewerb zur Gründerregion 2009,2009,,"163.483,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Promotion Nordhessen 2010,2010,,"141.333,61"
"Regionalmanagement Nordhessen GmbH, Kassel",Standortmarketing 2010 - 2012,2010,,"737.559,68"
"Regionalmanagement Nordhessen GmbH, Kassel",Personalmarketing Nordhessen,2010,,"150.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Innovative Plattform e-Mobilität,2011,,"41.804,72"
"Regionalmanagement Nordhessen GmbH, Kassel",Promotion Nordhessen 2011,2011,,"150.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Machbarkeitsstudie Gästekarte,2011,,"16.500,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Machbarkeitsuntersuchung zur Vorbereitung von Breitbandinfra- strukturmaßnahmen für ein regionales Hochleistungsnetz,2011,,"96.056,34"
"Regionalmanagement Nordhessen GmbH, Kassel",promotion Nordhessen 2012,2012,,"150.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Promotion Nordhessen 2013,2013,,"150.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Umsetzung der Ergebnisse der Machbarkeitsstudie,2013,,"109.686,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Fortführung einer Breitbandberatungsstelle in 2013,2013,,"57.212,96"
"Regionalmanagement Nordhessen GmbH, Kassel",Standortmarketing 2013 - 2014,2013,,"260.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Fortführung der Breitbandberatungsstelle in 2014,2014,,"75.690,98"
"Regionalmanagement Nordhessen GmbH, Kassel",promotion Nordhessen 2014,2014,,"150.000,00"
"Regionalmanagement Nordhessen GmbH, Kassel",promotion Nordhessen 2015,2015,,"158.526,88"
"Regionalmanagement Nordhessen GmbH, Kassel",Standortprofilierung durch Clustermarketing 2015,2015,,"603.347,49"
"Regionalmanagement Nordhessen GmbH, Kassel",Machbarkeitsstudie  Ferienwohnungen in der GrimmHeimat NordHessen,2015,,"7.425,00"
"Regionalmanagement Nordhessen GmbH, Kassel",Standortmarketing 2015,2015,,"345.750,00"
"Regionalpark Ballungsraum Rhein-Main GmbH, Flörsheim am Main","Erstellung einer touristischen Konzeptstudie ""Erlebniswelt Regionalpark Rhein Main""",2008,,"24.100,00"
"Rex + Viktoria Kino, Dreieich","Umrüstung einer Leinwand von analoger auf digitale Projektions technik, Rex + Viktoria Kino Dreieich",2012,,"17.500,00"
"Rheingau-Taunus-Kreis, Bad Schwalbach",Machbarkeitsuntersuchung zur Vorbereitung des Ausbaus der Breit- bandinfrastruktur im Rheingau-Taunus-Kreis,2015,,"71.000,00"
"Rhein-Main Adaptronik e. V. c/o Fraunhofer-Institut, Darmstadt","Cluster ""Professionalisierung u.Optimierung der Netzwerkstruktu- ren des Rhein-Main Adaptronik - PRO RheMA, Aufbau",2009,,"137.745,53"
"Rhein-Main Kinomanagement GmbH & Co. KG Harald Vogel, Frankfurt am Main","Umrüstung von 3 Leinwänden von analoger auf digitale Projektions technik, Cinema Kinos, Am Roßmarkt 7, 60311 Frankfurt",2011,,"59.281,00"
"RhönEnergie Fulda GmbH, Fulda",Machbarkeitsstudie zur Vorbereitung von Breitbandinfrastruktur maßnahmen für ein regionales Hochleistungsnetz (NGA),2010,,"34.500,00"
"rigo biogas GmbH, Morschen","Demonstrationsvorhaben ""Kältemaschinenkaskade als Möglichkeit zur TGA- und prozessgerechten Kältebereitstellung durch Niedertemperaturwärme in Morschen""",2015,,"72.299,45"
"RKW Hessen GmbH, Eschborn","Vertrag mit der RKW Hessen GmbH zur Vorbereitung und Durchführung des Hess. Mittelsandstages 2008 (im Auftrag des HMWVL, Ref. IV 2)",2008,,"24.349,00"
"RKW Hessen GmbH, Eschborn","Vertrag mit der RKW GmbH zur Vorbereitung und Durchführung des 7. Unternehmerinnentages 2008 (im Auftrag des HMWVL, Ref. IV 2)",2008,,"37.366,00"
