Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"ECOWIN GmbH, Wettenberg",KompetenzNetz UmweltTechnologie - KNUT - Aufbauphase 2009 - 2011,2009,,"221.449,12"
"Eheleute Alfred und Irene Bücking, Seligenstadt","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 330- P""",2015,,"18.531,00"
"Eheleute Claudia und Wolfram Klass, Bensheim","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät Ceramic Fuel Cells BlueGen""",2015,,"19.175,00"
"Eheleute Dagmar und Eckard Ott, Rüsselsheim","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 330- P""",2015,,"13.147,95"
"Eheleute Dr. Michael Streubel und Marianne Streubel-Glatthaar, Schlangenbad","Pilot- und Demonstrationsvorhaben ""Mikro-KWK-Brennstoffzelle Solid Power GmbH BlueGEN""",2015,,"17.195,00"
"Eheleute Maren und Tobias Schrader, Großkrotzenburg","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"13.266,00"
"Eheleute Uwe und Silke Loth, Vellmar","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"17.986,00"
"Eigenbetrieb Bildung und Kultur der Stadt Rüsselsheim, Rüsselsheim",Brandschutzmaßnahmen und Beschaffungen für die vhs- Bildungszentren in der Kürbisstraße und Albrecht-Dürer-Schule,2013,,"22.217,00"
"Eigentümergemeinschaft Gonzalez Severino und Näther, Hattersheim","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 330- P""",2015,,"13.216,00"
"Eigentümergemeinschaft Ingo Weiß und Frederike Watz, Vellmar","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"17.249,00"
