Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Semsch, Carsten Weiterbildungsanbieter",Bildungsscheck,2011,,"453,99"
"Semsch, Carsten Weiterbildungsanbieter",Bildungsscheck,2012,,"500,00"
"Semsch, Carsten Weiterbildungsanbieter",Bildungsscheck,2011,,"500,00"
"Semsch, Carsten Weiterbildungsanbieter",Bildungsscheck,2012,,"500,00"
"Semsch, Carsten Weiterbildungsanbieter",Bildungsscheck,2012,,"500,00"
Shen Men Institut Christoph Stumpe,Bildungsscheck,2012,,"500,00"
ShenDo Shiatsu Institut Nord-Ost Wolfgang Loh,Bildungsscheck,2010,,"306,00"
"Shiatsupraktikerin/Kulturunterricht Rheinschmitt,
Olivia Potsdam","Qualifizierung in kleinen und mittleren Unternehmen -Ausbildung zur BabyShiatsu-
Praktikerin",2014,"1.400,00",
"SHK Service GmbH - Sanitär, Heizung, Klimatechnik
Strausberg",Qualifizierung in kleinen und mittleren Unternehmen - Sachkunde Kältetechnik,2010,,"720,00"
SHK System Plan GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Updatekurs AutoCAD 2010 und
AutoCAD Vertiefungsschulung",2011,,"2.232,00"
Shperling & Tkachenko GbR,"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung/ Interkultureller
Trainer",2011,,"2.400,00"
Sibo Construct GmbH Oranienburg Kunststofffabrik,"Qualifizierung in kleinen und mittleren Unternehmen -
Datenschutz/Computersicherheit in Netz",2010,,"1.456,00"
Sibo Construct GmbH Oranienburg Kunststofffabrik,Qualifizierung in kleinen und mittleren Unternehmen - Firmenpräsentation im Internet,2010,,"1.488,00"
"Sicherheitsakademie Berlin SAB
Bildungsgesellschaft mbH",Bildungsscheck,2012,,"401,52"
"Sicherheitsakademie Berlin SAB
Bildungsgesellschaft mbH",Bildungsscheck,2011,,"477,00"
Sicherheitsdienst Christian Engel GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - MS Word 2010 Grundlagen, MS
Word 2010 Aufbaukurs, MS Excel 2010 Grundkurs, MS Excel 2010 Aufbaukurs u. a.",2013,,"3.000,00"
Sicherheitsdienst Zarnikow,Qualifizierung in kleinen und mittleren Unternehmen - Schutz- und Sicherheitskraft,2012,,"8.960,00"
Sicherheitsdienst Zarnikow,"Qualifizierung in kleinen und mittleren Unternehmen - Geprüfte Schutz- und
Sicherheitskraft",2010,,"16.800,00"
"Sickert, Steffen Karriereberatung",Bildungsscheck,2011,,"335,00"
"Sickert, Steffen Karriereberatung",Bildungsscheck,2011,,"336,00"
"Sickert, Steffen Karriereberatung",Bildungsscheck,2012,,"540,00"
"Sickert, Steffen Karriereberatung",Bildungsscheck,2012,,"672,00"
"Sickert, Steffen Karriereberatung",Bildungsscheck,2011,,"864,00"
"Sickert, Steffen Karriereberatung",Bildungsscheck,2012,,"1.104,00"
Siebenstein e. V. Kinderläden,Teilprojekt Regionalbudget Oberhavel,2011,"9.828,00",
Sielower Agrarbetrieb GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - PC-Schulung in Word, Excel,
Outlook und Internetnutzung",2012,,"3.917,55"
Siemens AG Berlin,Verbundausbildung - Grundlagenausbildung Zerspanungsmechaniker,2012,,"15.440,00"
Siemens AG Berlin,Verbundausbildung - Ausbildung zum Elektroniker,2009,,"16.620,00"
Siemens AG Berlin,"Verbundausbildung - Grundlagen Präzisionstechnik, Werkstoffbearbeitung, CAD,
Projektmanagement, Drehen, Fräsen, Fachqualifikation Drehen, Fräsen",2012,,"19.900,00"
Siemens AG Berlin,Verbundausbildung - Ausbildung Zerspanungsmechaniker,2010,,"22.800,00"
Siemens AG Berlin,"Allgemeine Verbundausbildung - Kommunikations- u. Gruppentraining, Grundlagen
Präsentationstechnik, Qualitätssicherung (CBT) u. a.",2014,"4.920,00",
"SIGNAL IDUNA Versicherungen Behm, Kirsten","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"8.812,80",
Signalconcept Hornig GmbH,Qualifizierung in kleinen und mittleren Unternehmen - ERP-Software AVERP,2010,,"7.000,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungscoaching zur IHK-Abschlussprüfung,2009,,"180,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungscoaching zur IHK-Abschlussprüfung,2009,,"200,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungsvorbereitung Abschlußprüfung,2011,,"200,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungsvorbereitung,2011,,"200,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Elektropneumatik und Hydraulik als Verfahrensmechaniker für Kunststoff- und
Kautschuktechnik, 3. Lehrjahr und Vorbereitung zur IHK-Abschlussprüfung",2010,,"240,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten im Bereich
Pneumatik als Verfahrensmechaniker für Kunststoff- und Kautschuktechnik im 2.
Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2010,,"340,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Fachbildung Steuerungstechnik und CNC-Werkzeugmaschinen,2010,,"400,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Pneumatik und Hydraulik als Konstruktionsmechaniker",2009,,"420,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Elektropneumatik, Hydraulik, Prüfungsvorbereitung",2010,,"420,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Fachbildung Pneumatik und Hydraulik,2012,,"560,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungsvorbereitung zur IHK-Abschlussprüfung,2009,,"580,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Pneumatik und Elektropneumatik als Mechatroniker im 1. Lehrjahr",2010,,"600,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungsvorbereitung,2010,,"600,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Allgemeine Verbundausbildung - Prüfungsvorbereitung IHK Abschlußprüfung
Mechatroniker und Zerspanungsmechaniker",2012,,"600,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Leistungselektronik und mechatronische Systeme als Mechatroniker, 3. Lehrjahr",2010,,"680,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Fertigungs- und Steuerungstechnik, (E-)Hydraulik,
Instandhaltung",2010,,"680,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten im Bereich
Steuerungstechnik als Industriemechaniker, 3. Lehrjahr",2010,,"700,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Montagetechnik, Leistungselektronik und komplexe
mechatronische Systeme",2010,,"700,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Leistungselektronik und mechatronische Systeme als Mechatroniker, 3. Lehrjahr",2010,,"720,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Pneumatik und Hydraulik als Konstruktionsmechaniker im 3. Lehrjahr",2010,,"780,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Leistungselektronik, komplexe mechatronische
Systeme",2010,,"800,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Fachbildung Steuerungstechnik und CNC-Werkzeugmaschinen,2010,,"940,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Montagetechnik, CNC-Technik, SPS-Technik",2010,,"1.000,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung CNC-Fertigung, Komplexe mechatronische
Systeme, Antriebstechnik, Leistungselektronik",2012,,"1.000,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Allgemeine Verbundausbildung - Elektropneumatik, Hydraulik Prüfungsvorbereitung
IHK",2012,,"1.020,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Montagetechnik, Elektronik, CNC- und SPS-Technik als Mechatroniker, 2. Lehrjahr
und Vorbereitung zur IHK-Zwischenprüfung",2010,,"1.120,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
CNC-Techniken und Planung von Fertigungsprozessen als Zerspanungsmechaniker,
2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2010,,"1.120,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
SPS-Technik und Steuerungstechnik als Elektroniker für Betriebstechnik im 2. Lehrjahr",2010,,"1.120,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Montagetechnik, Elektronik-Schaltungen, CNC- und SPS-Technik als Mechatroniker,
2. Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2010,,"1.160,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Elektropneumatik, Hydraulik, Prüfungsvorbereitung",2010,,"1.200,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Maschinen- und Anlagenführer,2012,,"1.280,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung CNC-Werkzeugtechnik, Fertigungsprozesse,
Prüfungsvorbereitung",2010,,"1.340,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Prüfungscoaching zur IHK-Abschlussprüfung,2009,,"1.440,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Grundbildung Metalltechnik, Schweißen, Drehen und Fräsen,
Prüfungsvorbereitung",2010,,"1.500,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
SPS-Technik und Sicherheitsvorschriften als Elektroniker für Betriebstechnik und
Prüfungsvorbereitung",2009,,"1.560,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Pneumatik, Messen, Steuern und Regeln,
Prüfungsvorbereitung",2010,,"1.740,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Allgemeine Verbundausbildung - Pneumatik, Messen, Steuern, Regeln
Prüfungvorbereitung IHK",2012,,"1.800,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Fachbildung Pneumatik, Prüfungsvorbereitung Messen,
Steuern, Regeln",2012,,"2.000,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Allgemeine Verbundausbildung - Manuelles Spanen, Fügen, Montieren, Maschinelles
Spanen: Drehen, Fräsen u. a.",2013,,"2.100,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Metalltechnik und Blechbearbeitung, Bearbeitung von
Kunststoffhalbzeugen, Steuerungstechnik",2012,,"2.120,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten im Bereich
Pneumatik als Verfahrensmechaniker für Kunststoff- und Kautschuktechnik, 2.
Lehrjahr und Vorbereitung zur IHK-Zwischenprüfung",2010,,"2.360,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
CNC-Techniken und Planung von Fertigungsprozessen als Zerspanungsmechaniker,
2. Lehrjahr",2009,,"2.460,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Grundbildung Metall- und Elektrotechnik für Mechatroniker,2010,,"2.460,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Grundbildung Metall- und Elektrotechnik für Mechatroniker,2010,,"2.680,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Grundbildung Metall- und Elektrotechnik,2012,,"2.740,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Grundbildung Metalltechnik für Zerspanungsmechaniker,2010,,"2.760,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Grundbildung Metall- und Elektrotechnik,2012,,"3.220,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Grundbildung Metalltechnik für Verfahrensmechaniker für
Kunststoff- und Kautschuktechnik",2009,,"4.560,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Grundbildung Metalltechnik, Bearbeitung von
Kunststoffhalbzeugen",2010,,"4.780,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten im Bereich
Steuerungstechnik als Industriemechaniker im 3. Lehrjahr",2010,,"4.800,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Grundbildung Metalltechnik, Bearbeitung von
Kunststoffhalbzeugen",2012,,"7.200,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin","Verbundausbildung - Vermittlung von Kenntnissen und Fertigkeiten in den Bereichen
Steuerungstechnik und Pneumatik als Industriemechaniker im 2. Lehrjahr und
Vorbereitung zur IHK-Zwischenprüfung",2010,,"10.600,00"
"SIGNUM Gesellschaft für Berufsbildung Training und
Beratung mbH Berlin",Verbundausbildung - Grundbildung Metalltechnik für Industriemechaniker,2010,,"21.960,00"
"Sigrid Gottmann Bildungswerk für ganzheitliche
Therapien",Bildungsscheck,2012,,"500,00"
SIK-Holz Gestaltungs GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Lohn/Gehaltsabrechnung,
Meisterausbildung Teil III und IV/AEVO",2014,"1.949,50",
Silicon Radar GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Prozessorientiertes
Qualitätsmanagement",2013,,"1.575,00"
Silicon Radar GmbH,"Beschäftigung von 1 Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2013,"7.470,00",
"Sill, Maurice, Bezirksschornsteinfegermeister","Qualifizierung in kleinen und mittleren Unternehmen -Qualifizierungsmaßnahme
Maurer und Betonbauer zur Erlangung einer Ausübungsberechtigung für die Tätigkeit
Abgasanlagen aus Fertigeilen herstellen und installieren, Schornsteine planen,
herstellen und instand setzen",2014,,"1.204,00"
"Sill, Maurice, Bezirksschornsteinfegermeister","Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierungsmaßnahme
Brandschutztechniker",2011,,"1.331,96"
SIM4u Aviation Service GmbH,Qualifizierung in kleinen und mittleren Unternehmen -Qualitätsmanagement,2013,,"5.250,00"
"Simon & Stuckart Partnerschaft Beratender
Ingenieure","Qualifizierung in kleinen und mittleren Unternehmen - Schulungen für Planungen im
Ingenieurbau ALLPLAN BIM 2008",2009,,"2.498,57"
"Simon & Stuckart Partnerschaft Beratender
Ingenieure","Qualifizierung in kleinen und mittleren Unternehmen -Energieeffizienz von Gebäuden,
Microsoft SharePoint 2013 für Anwender, Kommunikation und Gesprächsführung",2014,"4.630,50",
"Simon, Manuel Gründer- & Unternehmerwerkstatt",Qualifizierung in kleinen und mittleren Unternehmen - Gründungsberater,2012,,"2.625,00"
Simpex Hydraulik GmbH,"Allgemeine Verbundausbildung - Manuelles Spanen, Maschinelles Spanen, Trennen,
Umformen, Fügen, Aufbauen und Prüfen von Pneumatikschaltungen",2014,"4.040,00",
SinAlkol e.V. Therapeutisches Zentrum Kieck,"Qualifizierung in kleinen und mittleren Unternehmen - Ganzheitliches
Gedächtnistraining",2009,,"301,00"
SinAlkol e.V. Therapeutisches Zentrum Kieck,"Qualifizierung in kleinen und mittleren Unternehmen - Fachkundelehrgang
Belastungserprobung",2010,,"1.925,00"
SINALKOL e.V. Therapeutisches Zentrum Kieck,"Qualifizierung in kleinen und mittleren Unternehmen -Führung und Management in
sozialen Organisati",2014,"698,60",
"SINEC-CONSULTING Hans-Joachim von Schroedel-
Siemau",Qualifizierung in kleinen und mittleren Unternehmen - Projektmanagement Aufbaukurs,2012,,"749,00"
sinumX GmbH Potsdam,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich:  Produktentwicklung, Produktvorbereitung, Design",2013,"17.808,00",
Sinus - Büro für Kommunikation GmbH,"""komm auf Tour - meine Stärken, meine Zukunft"" Plus, Modul II Elternworkshop",2012,"128.453,92",
Sinus - Büro für Kommunikation GmbH,"""komm auf Tour - meine Stärken, meine Zukunft"" Plus, Modul II Elternworkshop",2012,"128.453,92",
SIWA - Büchsenmacherei und Schlüsseldienst GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"8.640,00",
SK Umweltingenieur UG,"Qualifizierung in kleinen und mittleren Unternehmen - Energieberatung Mittelstand;
Workshop DIN V 18599",2014,,"262,50"
skai mobile solutions GmbH,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"21.416,67",
skalli networks GmbH Neuruppin,"Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung Vertriebs-,
Personal- und Sekretariatsorganisation",2010,,"1.184,00"
skalli networks GmbH Neuruppin,"Qualifizierung in kleinen und mittleren Unternehmen - Lohnabrechnung; Office2007;
Kommunik. u.Konfliktman.; TSA, Server 2007; VM Ware; Data Protektor, SQL
Datenbanken",2011,,"16.372,00"
"Skalttex e.K - Ebay Versandhandel mit
Fußbodenbelägen","Qualifizierung in kleinen und mittleren Unternehmen - Ketteln, Einfassen, Befransen",2010,,"5.929,00"
"Skripec, Mario Hausmeisterservice","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"8.970,00",
Sky Deutschland Customer Center GmbH Teltow,Qualifizierung in kleinen und mittleren Unternehmen -Teamleiter Service Center,2014,"7.956,00",
sleepz GmbH Muchasa Ludwigsfelde,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Produktentwicklung, Produktvorbereitung, Design",2013,"30.000,00",
"SLV Schweißtechnische Lehr- u. Versuchsanstalt
Berlin-Brandenburg , NL der GSI mbH GSI-
Gesellschaft für Schweißtechnik International mbH",Bildungsscheck,2011,,"500,00"
SM LAN Softwaretraining,Bildungsscheck,2011,,"500,00"
SM Werbung Michaela Schulze,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"13.500,00",
SMB Rohrleitungsbau Wildau GmbH & Co.KG,Verbundausbildung - Technische Zeichnerin Fachrichtung Maschinen/Anlagen,2010,,"260,00"
SMB Rohrleitungsbau Wildau GmbH & Co.KG,"Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung
Finanzbuchhaltung",2011,,"416,00"
SMB Rohrleitungsbau Wildau GmbH & Co.KG,Qualifizierung in kleinen und mittleren Unternehmen - Auto - CAD,2012,,"542,36"
SMB Rohrleitungsbau Wildau GmbH & Co.KG,"Verbundausbildung - Technische Zeichnerin, 1. Ausbildungsjahr",2010,,"1.080,00"
SMB Rohrleitungsbau Wildau GmbH & Co.KG,"Verbundausbildung - Darstellen von Ansichten, Bemaßungen, Darstellen von
Schnitten",2011,,"1.200,00"
SMB Rohrleitungsbau Wildau GmbH & Co.KG,Qualifizierung in kleinen und mittleren Unternehmen - Schweißtechnik,2012,,"2.212,00"
SMB Seilspielgeräte GmbH Berlin in Hoppegarten,"Qualifizierung in kleinen und mittleren Unternehmen - Führungskompetenz, Erfolg im
Verkauf, Unternehmensstruktur/Strategisches Management, Management Assistentin",2009,,"13.645,60"
SMC Stahlbau- und Montagegesellschaft Ca lau mbH,Qualifizierung in kleinen und mittleren Unternehmen - Schweißfachmann,2012,,"2.086,00"
SMP Neubeeren Nutzfahrzeug Service GmbH,Qualifizierung in kleinen und mittleren Unternehmen - Schweißerausbildung,2011,,"945,60"
SMW Sand und Mörtelwerk GmbH & Co. KG,Verbundausbildung - Verfahrensmechaniker der Steine und Erden,2013,,"1.360,00"
so.tec gmbh Computerservice Potsdam,"Verbundausbildung - Fachinformatiker, Fachrichtung Systemintegration, 2.
Ausbildungsjahr",2009,,"2.000,00"
"Sobania, Michael Hochbau, Fassadensanierung und -
dämmung","Qualifizierung in kleinen und mittleren Unternehmen - Ausführung von
Abdichtungsmaßnahmen",2012,,"260,40"
"Sobania, Michael Hochbau, Fassadensanierung und -
dämmung","Qualifizierung in kleinen und mittleren Unternehmen - SIVV- Lehrgang mit Vorkurs,
KMB-Kurs",2011,,"1.264,00"
Sobczak & Partner Rechtsanwaltskanzlei,"Qualifizierung in kleinen und mittleren Unternehmen - AnNoText /DictaPlus Upgrade,
MS Word 2010 Aufbau, MS Excel 2010 Grundkurs u. a.",2013,,"19.362,00"
social impact GmbH Potsdam,"Begleitung und Beratung gründungswilliger Migranten/innen in der
Vorgründungsphase",2010,"569.527,39","0,00"
social impact GmbH Potsdam,"Kulturgewinn Potsdam - Akteure aus Kunst und Kultur erhalten Qualifizierung,
Beratung und Coaching zur Verbesserung ihrer Wettbewerbsfähigkeit und zur
Verbesserung ihrer betriebswirtschaftlichen Kompetenzen.",2012,,"53.410,03"
social impact GmbH Potsdam,"Kulturgewinn Oranienburg - Unterstützungsangebot zur regionalen
Kompetenzentwicklung in Kunst und Kultur",2012,,"83.195,10"
social impact GmbH Potsdam,"entersocial-Good Practice Tranfer - Strategien und Maßnahmen zur Förderung von
sozialen Innovativen und sozialunternehmerischen Engagements entwickeln",2013,,"129.166,72"
social impact GmbH Potsdam,"Begleitung und Beratung gründungswilliger Migranten/innen in der
Vorgründungsphase",2010,"657.255,53",
social impact GmbH Potsdam,Social Entrepreneurship - Neues Unternehmertum in Brandenburg,2010,"762.807,10",
social impact GmbH Potsdam,Junge Leute machen sich selbstständig - enterprise 2013 Südwest,2010,"835.226,19",
social impact GmbH Potsdam,Junge Leute machen sich selbstständig - enterprise 2013 Nordost,2010,"577.681,50",
social impact GmbH Potsdam,"Social Impact Region - Kompetenzstärkung regionaler Akteure durch
Erfahrungsaustausch mit europäischen Experten im Themenfeld Regionalentwicklung",2012,"237.765,22",
"Soft & Sound, Inh. Jacqueline Hintze","Qualifizierung in kleinen und mittleren Unternehmen - Sachkundiger für
Veranstaltungs-Rigging",2010,,"1.560,00"
Solarinstitut Rose GmbH,Qualifizierung in kleinen und mittleren Unternehmen - Englisch-Intensivkurs,2013,"0,00","1.086,40"
"SOLID Information Management UG
haftungsbeschränkt)",Stipendium zur Erstellung einer Abschlussarbeit,2014,,"2.250,00"
Somatex Medical Technologies GmbH,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts- und Umweltmanagement",2013,"39.944,44",
Sommer & Herzog Dachbau Frankfurt (Oder) GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Sachkunde gemäß TRGS 519,
für ASI-Arbeiten an Asbestzementprodukten",2010,,"832,00"
"Sommerfeld, Barbara, ""Kräuterfee vom Dossegrund""","Qualifizierung in kleinen und mittleren Unternehmen - EDV-Rationalisierung:
Grafikdesign, Webdesign, Excel, Word, Outlook",2011,,"2.970,00"
"Sondermaschinenbau-Fördertechnik-
Industriemontagen","Qualifizierung in kleinen und mittleren Unternehmen - Ausbildungsprogramm Metall-
und Konstruktionstechnik",2009,,"19.908,00"
Sonnenkonzept GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -TÜV geprüfter Servicetechniker
für Photovoltaikanlagen - Sachkunde für Servicetechniker u. a.",2014,,"1.680,00"
"Sonnensegel e.V. - Kinder- und Jugend-Kunst-
Galerie Brandenburg an der Havel",Kompetenzentwicklung in Kunst und Kultur: Konzept DRUCK-LADEN 2010,2011,,"29.849,00"
Sonoxo GmbH Potsdam,"Qualifizierung in kleinen und mittleren Unternehmen -SAP Berechtigungskonzept
Kompakt",2013,,"963,38"
Sonoxo GmbH Potsdam,"Qualifizierung in kleinen und mittleren Unternehmen -Vorbereitung zum Project
Management Professional (PMP®), ITIL Foundation Schulung, Erstellung von
Arbeitszeugnissen, Führen von Einstellungsgesprächen",2014,,"4.445,00"
Sonoxo GmbH Potsdam,"Qualifizierung in kleinen und mittleren Unternehmen -BPMN (Business Process Model
and Notation) 2.0 u. a.",2014,"3.889,20",
"SORAT Hotel Verwaltungs GmbH & Co SKP Quartier
KG",Qualifizierung in kleinen und mittleren Unternehmen -Ausbildung der Ausbilder,2014,,"504,00"
"Sorat Hotel Verwaltungs GmbH&Co. Altstädtischer
Markt KG","Qualifizierung in kleinen und mittleren Unternehmen -Ausbildung der Ausbilder nach
AEVO (Ausbilder-Eignungsverordnung)",2014,,"550,90"
SOS-Kinderdorf e. V.,"""Stellwerk Zukunft"" - Bessere Chancen für den Bildungserfolg der Kinder und
Jugendlichen",2012,"115.883,17",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"26.072,83",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"18.301,03",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"27.073,11",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2011,"31.976,48",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"8.495,95",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"5.000,00",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"5.640,57",
SOS-Kinderdorf e. V.,Teilprojekt Regionalbudget Spree-Neiße,2010,"38.629,65",
Southern Cross GmbH,Qualifizierung in kleinen und mittleren Unternehmen - Babyenglisch,2009,,"2.874,20"
