Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"258,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"258,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"314,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2011,,"314,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"323,10"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"323,10"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"332,10"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"378,00"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"384,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"397,60"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"419,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"454,30"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2010,,"460,60"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"500,00"
"AHAB Akademie GmbH, Angewandte Human-,
Arbeits- und Bildungswissenschaften Berlin",Bildungsscheck,2013,,"500,00"
"AHB - Agrarservice-, Handels- und
Beratungsgesellschaft mbH","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"30.240,00",
ai-ibiomics GmbH Bestensee,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich:  Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2014,"15.840,00",
AIP Projektentwicklung GmbH,"Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"35.300,00",
Aircraft Maintenance & Consulting GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Vorbereitung auf die Prüfung
zum Erwerb der Aircraft Maintenance Lizenz CAT B2",2014,"3.000,00",
airkom Anlagenbau & Service GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Technische Regeln der
Gasinstallation",2013,,"588,00"
airkom Anlagenbau & Service GmbH,Verbundausbildung - Praktische Prüfungsvorbereitung,2011,,"600,00"
airkom Anlagenbau & Service GmbH,"Qualifizierung in kleinen und mittleren Unternehmen -Hygieneschulung Trinkwasser
Typ B nach VDI/DVGW 6023",2014,,"753,90"
