Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Messeteilnahme: ""SEMICON EUROPA 2011"" in Dresden",2011,2012,"2.640,00 €","2.640,00 €"
"Allresist Gesellschaft für chemische Produkte und
Mikrostrukturierung mbH","Messeteilnahme: ""SEMICON Europa 2012"" in Dresden",2012,2013,"2.640,00 €","2.640,00 €"
allton Beteiligungs- und Verwaltungs GmbH,"Umstellung einer Betriebsstätte zur Herstellung von Fertigteilen aus
Beton",2008,2010,"633.100,00 €","633.100,00 €"
"allton Fertigteile GmbH und allton Beteiligungs- und
Verwaltungs GmbH","Erweiterung einer Betriebsstätte zur Herstellung von Fertigteilen aus
Beton",2008,2010,"265.000,00 €","265.000,00 €"
alpha blech gmbh,Erweiterung einer Betriebsstätte zur Herstellung von Metallwaren,2007,2008,"134.000,00 €","134.000,00 €"
alpha europe gmbh,"Messeteilnahme ""electronica 2010"" in München",2010,2011,"3.990,00 €","3.990,00 €"
alpha luft & service GmbH,"Messeteilnahme ""ELMIA SUBCONTRACTOR 2013"" in Jönköping
(Schweden",2013,2015,"1.900,00 €","1.900,00 €"
alpha microelectronics GmbH,"Beratung zur internen Betriebsorganisation und der Geschäftsabläufe
zur Einführung eines ERP-Systems",2009,2011,"9.110,00 €","9.110,00 €"
alpha microelectronics GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2012,2013,"15.833,00 €","15.833,00 €"
alpha microelectronics GmbH,"Diversifizierung einer Betriebsstätte zur Herstellung und Vertrieb von
Halbleiterbauelementen",2008,2009,"101.535,00 €","101.535,00 €"
alpha microelectronics GmbH,"Entwicklung eines Einchip-Controllers für Kleinstleistungs-BLDC-
Motoren und Herstellung eines Demonstrators",2007,2009,"374.946,00 €","374.946,00 €"
alpha microelectronics GmbH,"Messeteilnahme ""elektronica 2014"" in München",2014,2015,"2.730,00 €","2.730,00 €"
alpha microelectronics GmbH,"Messeteilnahme ""SPS IPC Drives 2013"" in Nürnberg",2014,2014,"2.580,00 €","2.580,00 €"
alpha microelectronics GmbH,"Messeteilnahme: ""electronica 2012"" in München",2012,2013,"4.230,00 €","4.230,00 €"
AlphaContec Consulting & Service GmbH,"Entwicklung einer Controllerbaugruppe für transkutane
Stromversorgungen medizintechnischer Anwendungen (TET-Control)",2007,2009,"160.700,00 €","160.700,00 €"
ALSTED Metallbearbeitung GmbH,Diversifizierung einer Betriebsstätte zur Metallbearbeitung,2008,,"0,00 €",
"Altkuckatz, Torsten",Errichtung einer Betriebsstätte zum Betreiben eines Gasthofes,2007,2010,"158.879,00 €","158.879,00 €"
Alusen Aluminium Profiltechnik GmbH,"Messeteilnahme ""ZOW 2014"" in Bad Salzuflen",2014,2014,"7.710,00 €","7.710,00 €"
Alusen Solartechnik GmbH,"Messeteilnahme: ""Intersolar Europe 2012"" in München",2012,2013,"5.820,00 €","5.820,00 €"
alvalis GmbH,"Beschäftigung von 2 Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2007,2009,"24.066,00 €","24.066,00 €"
"AMH Aluminium-Systembau Montage- und Handels-
GmbH",Erweiterung einer Betriebsstätte,2008,,"0,00 €",
amigo media Filmproduktionen GbR,"Erweiterung und Modernisierung einer Betriebsstätte zur Herstellung
von Film- und Fernsehnproduktionen",2009,2011,"6.188,00 €","6.188,00 €"
Amocol Bioprocedures Limited,"Verfahrensentwicklung zur Herstellung neuer Metallchelatsorbente zur
Aufreinigung rekombinanter Proteine",2007,2011,"161.469,00 €","161.469,00 €"
"Amon, Raoul","Messeteilnahme ""AERO 2014"" in Friedrichshafen",2014,2014,"3.390,00 €","3.390,00 €"
Amt Altdöbern,"Bereitstellung der gemeindlichen Bauleitplanungen bzw.
entsprechende Satzungen über Geodatendienste im Internet",2013,2014,"16.169,87 €","16.169,87 €"
Amt Bad Wilsnack/Weisen,Einbau einer Klassenraumlüftung für einzelne Räume,2014,,"171.587,30 €",
Amt Bad Wilsnack/Weisen,Sicherung und Rekultivierung der Deponie Bad Wilsnack,2013,,"410.365,48 €",
Amt Barnim-Oderbruch,"XPlanungskonforme Geodatenaufbereitung des Amtes Barnim-
Oderbruch",2013,2015,"16.493,40 €","16.493,40 €"
Amt Beetzsee,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2013,2014,"35.057,40 €","35.057,40 €"
Amt Biesenthal-Barnim,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2012,2014,"31.820,60 €","31.820,60 €"
Amt Brück,"Einrichtung eines Geoportals und XPlanungskonforme Erfassung von
Bauleitplänen im Bereich des Amtes Brück",2011,,"28.942,33 €",
Amt Burg (Spreewald),"XPlanungskonforme Geodatenaufbereitung des Amtes Burg
(Spreewald)",2013,2014,"8.491,07 €","8.491,07 €"
Amt Dahme (Mark),"Aufbau eines Geoportals und ISK sowie XPlanungskonforme
Erfassung von Bauleitplänen des Amtes Dahme/Mark",2010,2011,"20.961,85 €","20.961,85 €"
Amt Falkenberg-Höhe,"XPlanung-konforme Erfassung von analog vorliegenden Bauleit-
plänen und Aufbau eines Geodatenportalservers",2009,2010,"48.639,60 €","48.639,60 €"
Amt Gartz (Oder),"Ergänzung eines bestehenden Infrastrukturknotens und eines
Geoportals einschl. ergänzender Geodatenaufbereitung",2013,2014,"17.326,40 €","17.326,40 €"
Amt Gartz (Oder),"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2011,2013,"39.734,10 €","39.734,10 €"
Amt Gransee und Gemeinden,"Erschließung einer Gewerbefläche als Erweiterung des bestehenden
Gewerbegebietes Gransee Nord-Ost",2011,2013,"578.593,83 €","578.593,83 €"
Amt Gransee und Gemeinden,"Erweiterung und Ausstattung des Schulstandortes der Werner-von-
Siemens-Oberschule in Gransee",2011,2013,"1.899.000,00 €","1.899.000,00 €"
Amt Kleine Elster,Errichtung eines Biomasseheizwerkes,2013,,"857.180,80 €",
