Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Stadt Fürstenberg/Havel,"Gebäuderückbau auf der ehemaligen WGT-Liegenschaft Kaserne
Neuthymen (PM 037), 2. Baufeld",2010,2011,"621.182,62 €","621.182,62 €"
Stadt Fürstenberg/Havel,"Gebäuderückbau auf der ehemaligen WGT-Liegenschaft Kaserne
Neuthymen (PM 037), 3. Baufeld",2011,2012,"654.361,96 €","654.361,96 €"
Stadt Fürstenberg/Havel,"Gebäuderückbau ehemalige WGT-Liegenschaft Kaserne
Neuthymen(PM 037), 1. Baufeld",2008,2010,"514.672,42 €","514.672,42 €"
Stadt Fürstenberg/Havel,"Neubau Bahnhofsvorplatz mit Park+Ride-Anlage und Bushaltestelle
am Bahnhof Fürstenberg/Havel",2012,,"646.420,47 €",
Stadt Fürstenberg/Havel,"Rückbau und Flächenberäumung im Umfeld der Gedenkstätte
Ravensbrück (Lager Uckermark, Siemenslager und Waldfläche)",2012,2015,"513.393,17 €","513.393,17 €"
Stadt Fürstenberg/Havel,"Rückbau und Flächenentsiegelung auf dem Objekt Faserstoffwerk
Fürstenberg",2009,2012,"714.712,50 €","714.712,50 €"
Stadt Fürstenwalde,"Abbruch und Rekultivierung ""Technik- und Raketenlager Fürstenwalde""",2008,2012,"255.991,73 €","255.991,73 €"
Stadt Fürstenwalde,Club im Park,2010,,"519.701,10 €",
Stadt Fürstenwalde,"Datenaufbereitung und Bereitstellung über ein Geoportal derStadt
Fürstenwalde/Spree",2013,,"56.974,21 €",
Stadt Fürstenwalde,Erweiterung P&R Anlage am Bahnhof  Stadt Fürstenwalde,2008,2013,"577.721,58 €","577.721,58 €"
Stadt Fürstenwalde,Gestaltung  des Martinigartens (1. und 2. BA),2011,2014,"374.976,91 €","374.976,91 €"
Stadt Fürstenwalde,Innenstadt- und Gewerbemanagement,2009,2012,"199.199,92 €","199.199,92 €"
Stadt Fürstenwalde,Innenstadtmanagement und Stadtteilbüro (2012 bis 2013),2012,,"150.113,87 €",
Stadt Fürstenwalde,Interkommunale Kooperation / EFRE-Netzwerk,2009,2012,"131.461,27 €","131.461,27 €"
Stadt Fürstenwalde,Konversionssommer 2012 im Land Brandenburg,2012,2013,"84.403,85 €","84.403,85 €"
Stadt Fürstenwalde,Konversionssommer 2014,2014,,"86.458,48 €",
Stadt Fürstenwalde,"Neugestaltung der Grünfläche (""Park der vier Jahreszeiten"")im Bereich
des östlichen Stadtzentrums (2. BA)",2009,2013,"391.517,34 €","391.517,34 €"
Stadt Fürstenwalde,"Rückbau und Entsiegelung auf einer Teilfläche der ehem. WGT-
Liegenschaft ""Reiterkaserne"" Fürstenwalde, Baufeld 02",2012,,"454.017,21 €",
Stadt Fürstenwalde,"Rückbau und Entsiegelung auf Teilfläche ehem. WGT-Liegensch.
Reiterkaserne Fürstenwalde Baufeld 01",2012,,"512.417,11 €",
Stadt Fürstenwalde,Rückbau und Flächenentsiegelung Pionierpark Fürstenwalde/ Spree,2009,2010,"141.656,00 €","141.656,00 €"
Stadt Fürstenwalde,"Rückbau, Sanierung und Umnutzung eines Plattenbaues zum
Jugendgästehaus",2013,,"5.261.928,18 €",
Stadt Fürstenwalde,"Sanierung und Umnutzung ""Altes Rathaus""",2010,,"2.436.683,74 €",
Stadt Fürstenwalde,Stadtteilbüro und Öffentlichkeitsarbeit,2009,2013,"36.856,92 €","36.856,92 €"
Stadt Fürstenwalde,"Umbau und Sanierung der Sonnengrundschule  als  ""Inklusive
Grundschule"" (Pilotvorhaben)",2013,,"1.339.070,30 €",
Stadt Fürstenwalde,Umweltorientierte Verkehrssteuerung,2013,,"0,00 €",
Stadt Großräschen,"Aufbau eines Infrastrukturknotens und eines Geoportals einschl.
XPlankonformer Erfassung von Bauleitplänen",2011,2013,"27.920,14 €","27.920,14 €"
Stadt Großräschen,"Digitalisierung v. analogen Daten (Regenwassernetz, Straßenbeleu
chtg.) u. d. Metadatenerfassg. sowie Bereitstellung imGeoportal",2013,2014,"14.250,96 €","14.250,96 €"
Stadt Guben,"Datenerhebung und -aufbereitung und XPlanungskonforme Erfassung
von Daten der Bauleitplanung incl. Aufbau eines Geodatenportals",2010,,"154.000,28 €",
Stadt Guben,"Erschließung von fünf Industrieflächen innerhalb des Industriegebietes
Guben",2007,2010,"302.676,77 €","302.676,77 €"
Stadt Hennigsdorf,"Erschließung Erweiterungsfläche Branchenschwerpunkt Metall - Nord 2
b und 5",2007,2015,"17.353.014,84 €","17.353.014,84 €"
Stadt Hohen Neuendorf,"Datenaufbereitung und Aufbau eines Geoportals für die StadtHohen
Neuendorf",2010,2014,"72.656,05 €","72.656,05 €"
Stadt Hohen Neuendorf,S-Bahnhof Bergfelde - Neubau einer behindertengerechten Zuwegung,2012,2014,"434.855,25 €","434.855,25 €"
Stadt Jüterbog,"Rückbau u. Entsiegelung einer Teilfläche der ehemaligen WGT-
Liegenschaft Kaserne Altes Lager 5.BA und Sicherung von Gebäuden",2009,2010,"538.953,00 €","538.953,00 €"
Stadt Jüterbog,"Rückbau und Entsiegelung auf einer Teilfläche der ehemaligen WGT-
Kaserne Bauregiment Forst Zinna Baufeld 4",2009,2011,"872.714,72 €","872.714,72 €"
Stadt Jüterbog,"Rückbau und Entsiegelung auf einer Teilfläche der ehemaligen WGT-
Liegenschaft Bleidornkaserne, 2. Baufeld",2009,2011,"661.856,10 €","661.856,10 €"
Stadt Jüterbog,"Rückbau und Entsiegelung einer Teilfläche der ehemaligen WGT-
Liegenschaft PM 090 Kaserne Neues Lager Baufeld 4",2010,2012,"403.827,86 €","403.827,86 €"
Stadt Jüterbog,Sicherung der Deponie Grüna,2012,2013,"81.545,68 €","81.545,68 €"
Stadt Jüterbog,XPlanungskonforme Erfassung von Bauleitplänen der Stadt Jüterbog,2013,2014,"4.583,17 €","4.583,17 €"
Stadt Königs Wusterhausen,Anschaffung eines Mobilbaggers,2008,2009,"337.543,65 €","337.543,65 €"
Stadt Königs Wusterhausen,City- und Geschäftsstraßenmanagement,2009,2012,"112.126,77 €","112.126,77 €"
Stadt Königs Wusterhausen,City- und Geschäftsstraßenmanagement (Folgeantrag),2012,2014,"89.247,91 €","89.247,91 €"
Stadt Königs Wusterhausen,Errichtung der Fuß- und Radwegbrücke an der Mühleninsel,2010,2014,"763.839,54 €","763.839,54 €"
Stadt Königs Wusterhausen,"Neubau Bürgertreff  ""Fontaneplatz""",2012,,"1.365.341,05 €",
Stadt Königs Wusterhausen,"Neugestaltung des Bahnhofsumfeldes in Königs Wusterhausen,
Bauteile B2 und B3",2012,,"2.444.000,00 €",
Stadt Königs Wusterhausen,Stadt- und Quartiersmanagement,2011,,"62.890,55 €",
Stadt Königs Wusterhausen,"XPlanungskonforme Erfassung von Bauleitplänen und Aufbau eines
Geoportals",2013,,"20.658,90 €",
Stadt Liebenwalde,"Errichtung eines Wasserwanderliegeplatzes mit Servicegebäude sowie
Stellplätzen",2012,,"1.571.818,20 €",
Stadt Lübben/Spreewald,"Reduzierung der Lärmbelästigung und Schadstoffbelastung Ausbau
Bahnhofstraße Lübben 1. BA (Luckauer Straße/Logenstraße)",2010,2015,"561.322,73 €","561.322,73 €"
Stadt Lübben/Spreewald,"Sanierung der Bahnhofstraße 2. BA  Teilabschnitt 1 - bis Anschluss
Hainmühlenweg",2013,,"140.389,44 €",
Stadt Lübben/Spreewald,Wasserwanderstützpunkt Lübben,2009,2014,"1.194.724,00 €","1.194.724,00 €"
Stadt Luckau,Aufbau eines Geodatenportals der Stadt Luckau,2009,2011,"53.193,00 €","53.193,00 €"
Stadt Luckau,"Umnutzung der ehemaligen Klosterkirche zu einem Museums- und
Kulturhaus (ehem. JVA Luckau), 2. BA",2009,2012,"2.225.029,10 €","2.225.029,10 €"
Stadt Luckenwalde,"Erschließung ""Industriegebiet Industriestraße"" 2. und 3. BA",2008,,"4.567.238,98 €",
Stadt Luckenwalde,"Sanierung TW-Hochbehälter Luckenwalde, Große Kammer",2014,,"406.969,16 €",
Stadt Ludwigsfelde,"Aufbau und Entwicklung eines Geoportals und Infrastrukturknotens für
die Stadt Ludwigsfelde",2011,2013,"99.960,00 €","99.960,00 €"
Stadt Ludwigsfelde,"Konzeption zum Aufbau und zur Entwicklung eines Geoportals für die
Stadt Ludwigsfelde",2009,2011,"19.724,25 €","19.724,25 €"
Stadt Ludwigsfelde,"Stadt- und Technikmuseum - Anbau einer Ausstellungshalle mit
Tourismusbüro",2009,2013,"747.677,00 €","747.677,00 €"
Stadt Ludwigsfelde,"XPlanungskonforme Erfassung von Bauleitplänen der Stadt
Ludwigsfelde",2011,2013,"36.663,90 €","36.663,90 €"
Stadt Lychen,"Altlastensanierung auf der ehem. WGT-Liegenschaft
""HospitalHohenlychen""",2010,,"1.279.416,60 €",
Stadt Lychen,"Detail- und Sanierungsuntersuchung des LCKW-Schadens der
ehemaligen chemischen Reinigung/ Abwasserpumpstation",2008,2009,"148.311,67 €","148.311,67 €"
Stadt Mittenwalde,"Aufbau eines Geodateninfrastrukturknotens und eines Geoportals der
Stadt Mittenwalde",2009,2010,"8.211,00 €","8.211,00 €"
Stadt Mittenwalde,"XPlanungskonforme Erfassung von Bauleitplänen der Stadt
Mittenwalde",2010,2014,"39.257,02 €","39.257,02 €"
Stadt Mühlberg/Elbe,"Änderung Flächennutzungsplan und Aufstellung eines sachlichen
Teilflächennutzungsplanes",2008,2010,"42.005,69 €","42.005,69 €"
Stadt Mühlberg/Elbe,"Sanierung und Umgestaltung der Neuen Propstei -
StadtmuseumMühlberg",2011,,"913.927,87 €",
Stadt Mühlberg/Elbe,XPlanungskonforme Erfassung von Bauleitplänen,2011,2014,"30.779,35 €","30.779,35 €"
Stadt Nauen,"Erfassung von Straßendaten zur Verbesserung der
verwaltungsinternen Abläufe und Veröffentlichung über das Geoportal",2013,,"43.600,00 €",
Stadt Nauen,Ergänzung der IT-Ausstattung am Goethe-Gymnasium Nauen,2011,2015,"127.218,15 €","127.218,15 €"
Stadt Nauen,"Konzeption und Aufbau eines Infrastrukturknotens und Datenauf-
bereitung für Grünflächen- und Friedhofskataster der Stadt Nauen",2009,2013,"32.210,03 €","32.210,03 €"
Stadt Nauen,XPlanungskonforme Aufbereitung des Flächennutzungsplanes,2013,2014,"12.032,68 €","12.032,68 €"
Stadt Neuruppin,Datenaufbereitung und Bereitstellung über ein Geoportal,2013,,"41.366,78 €",
Stadt Neuruppin,"Ergänzung d. IT-Ausstattung am Karl-Friedrich-Schinkel-Gymnasium
Neuruppin - 2. Ausbaustufe",2014,,"30.000,00 €",
Stadt Neuruppin,"Ergänzung der IT-Ausstattung am Karl-Friedrich-Schinkel-Gymnasium
Neuruppin",2011,2012,"20.000,00 €","20.000,00 €"
Stadt Neuruppin,"Errichtung einer Kanalspülgutannahme und-aufbereitung auf der
Kläranlage Neuruppin",2010,2012,"438.060,63 €","438.060,63 €"
Stadt Neuruppin,Ersatzneubau TWL Binenwalde und Anschluss nach Gühlen- Glienicke,2013,,"0,00 €",
Stadt Neuruppin,Ersatzneubau TWL Buskow und Anschluss nach Neuruppin,2013,,"136.168,47 €",
Stadt Neuruppin,Ersatzwasserfassung Neuruppin Stendenitz,2014,,"2.117.694,59 €",
Stadt Neuruppin,"Etablierung Stadtmarketing - Erarbeitung konzeptioneller und
organisatorischer Grundlagen",2009,2010,"42.114,10 €","42.114,10 €"
Stadt Neuruppin,Etablierung Stadtmarketing Bausteine 2 und 3,2010,,"140.770,31 €",
Stadt Neuruppin,"Kapazitätserweiterung Museum Neuruppin und 6. BA Kommunikation
2. TA zwischen Schäfer- und Präsidentenstraße",2011,,"5.800.094,02 €",
Stadt Neuruppin,"Neugestaltung einer barrierefreien Stadt (Kommunikation 4. BA, 1. TA
und 5. BA)",2012,,"495.089,86 €",
Stadt Neuruppin,Neukonzeption und Ausstattung des Museum Neuruppin,2011,,"800.000,00 €",
Stadt Neuruppin,"Orientierende Untersuchung Müllkippe Neuruppin, Gentzstraße",2013,,"49.300,00 €",
Stadt Neuruppin,"Orientierende Untersuchung Müllkippe Neuruppin, Musikersiedlung",2013,,"42.602,00 €",
Stadt Neuruppin,Partizipation und EFRE-Programm-Management inkl. Stadtforum,2009,2011,"112.179,68 €","112.179,68 €"
Stadt Neuruppin,"Rekonstruktion Schmutzwasseranlage Neuruppin,
Junckerstraße(Abschnitt Fontaneplatz - Anschluss WK I)",2013,,"127.870,51 €",
Stadt Neuruppin,"Rekonstruktion Schmutzwasseranlage Neuruppin,
Schinkelstr.,Braschstr., F.-Engels-Str.",2013,,"242.114,18 €",
Stadt Neuruppin,"Rekonstruktion Schmutzwasserkanal Neuruppin, Zur Mesche,
Mittelländer Weg",2012,2014,"216.595,08 €","216.595,08 €"
Stadt Neuruppin,"Rekonstruktion Trinkwasseranlage Neuruppin, Junckerstraße
(Abschnitt Fontaneplatz - Anschluss WK I)",2013,,"0,00 €",
Stadt Neuruppin,"Rekonstruktion Trinkwasseranlage Neuruppin, Schinkelstr., Braschstr.,
F.-Engels-Str.",2013,,"90.782,87 €",
Stadt Neuruppin,"Rekonstruktion Trinkwasserleitung Neuruppin, Zur Mesche,
Mittelländer Weg",2012,2014,"103.588,24 €","103.588,24 €"
Stadt Neuruppin,Rückbau und Flächenentsiegelung auf dem ehemaligen Gut Wulkow,2008,2011,"229.498,00 €","229.498,00 €"
Stadt Neuruppin,"Sanierung der Grundschule ""Wilhelm Gentz"" zur Inklusiven
Grundschule (Pilotprojekt)",2013,,"1.551.697,53 €",
Stadt Neuruppin,"Sanierung Reinwasserbehälter Neuruppin, Puschkinstraße",2010,2012,"250.202,45 €","250.202,45 €"
Stadt Neuruppin,"Sanierung SWK Neuruppin, OT Gildenhall, 3. BA",2012,2014,"172.085,08 €","172.085,08 €"
Stadt Neuruppin,"Sanierung TWL Neuruppin, Nauener Str., L  16",2011,2013,"121.819,17 €","121.819,17 €"
Stadt Neuruppin,"Umbau des ""Alten Gymnasium""",2009,2014,"6.013.408,34 €","6.013.408,34 €"
Stadt Neuruppin,"XPlanungskonforme Aufbereitung von Daten der Bauleitplanungund
Bereitstellung über WMS und WFS",2012,,"49.611,93 €",
Stadt Oranienburg,"Durchführung von Gefahrenabwehrmaßnahmen im Grundwasser
derehemaligen WGT-Liegenschaft ""Tanklager Nord"" in Oranienburg",2008,2011,"477.130,50 €","477.130,50 €"
Stadt Oranienburg,"Eltern-Kind-Treffpunkt ""Friedrich Fröbel"" Oranienburg",2010,2013,"1.987.029,46 €","1.987.029,46 €"
Stadt Oranienburg,"Emissionssicherung im Tanklager Nord auf ehem. WGT-Liegenschaft
Flugplatz Oranienburg (Probebetrieb hydr. Grundwasserreinigung)",2012,2014,"252.769,62 €","252.769,62 €"
Stadt Oranienburg,Ergänzung der IT-Ausstattung der Torhorst-Gesamtschule mit GOST,2011,2011,"64.892,64 €","64.892,64 €"
Stadt Oranienburg,"GDI-Oranienburg - Aufbereitung der Geodaten des Leitungsnetzes d.
Entwässerungsbetriebes Oranienburg (EBO) - Eigenbetrieb Stadt",2013,2014,"19.095,34 €","19.095,34 €"
Stadt Oranienburg,Grünfläche Altstadtsiedlung / Bötzower Platz,2014,,"826.404,35 €",
Stadt Oranienburg,Jugendfreizeittreff TolOra,2010,2014,"336.087,68 €","336.087,68 €"
Stadt Oranienburg,"Neubau einer Stadtbibliothek mit Stadt- und Tourismusinformation am
Schlossplatz",2012,2014,"4.577.000,00 €","4.577.000,00 €"
Stadt Oranienburg,"Neugestaltung eines ehemaligen Schulhofes der Havelgrundschule
zum Kinderspielplatz",2009,2010,"307.248,08 €","307.248,08 €"
Stadt Oranienburg,Stadtmanagement,2009,2014,"199.667,38 €","199.667,38 €"
Stadt Oranienburg,Stadtmanagement Oranienburg 2020 (Folgeantrag),2012,,"0,00 €",
Stadt Oranienburg,"Straßenumbau Oranienburg, Dr.-Kurt-Schumacher- Straße",2013,,"567.000,00 €",
Stadt Oranienburg,"Straßenumbau Oranienburg, Haller Str., Kitzbüheler Str., Innsbrucker
Str., Villacher Str.",2012,,"1.008.131,35 €",
Stadt Oranienburg,"Straßenumbau Oranienburg, Heidelberger Straße",2013,,"397.000,00 €",
Stadt Oranienburg,"Straßenumbau Oranienburg, Saarlandstraße, 1. BA",2012,2015,"590.027,71 €","590.027,71 €"
Stadt Perleberg,Erschließung im Gewerbegebiet Quitzow 3. BA/3. Teil,2009,2014,"491.946,92 €","491.946,92 €"
Stadt Prenzlau,Aufbau eines Infrastrukturknotens und Geoportals der Stadt Prenzlau,2009,2010,"10.614,80 €","10.614,80 €"
Stadt Prenzlau,"Ausbau der Straße Uckerpromenade im Bereich
Kreisverkehr/Lewetzowweg",2008,2010,"248.882,38 €","248.882,38 €"
Stadt Prenzlau,Ausbau des Waschhauses zum Kunst- und Kulturzentrum,2009,2012,"1.100.104,17 €","1.100.104,17 €"
Stadt Prenzlau,"Ausbau eines Gebäudes für die Begabtenförderung (Musik und Kunst)
am Christa- und Peter-Scherpf-Gymnasium Prenzlau",2011,,"822.609,81 €",
Stadt Prenzlau,"Digitalisierung der analog vorliegenden Flächennutzungspläne und
Überführung nach XPlanGML 3.0",2009,2012,"14.442,89 €","14.442,89 €"
Stadt Prenzlau,"Ergänzung der IT-Ausstattung am Christa-und-Peter-Scherpf-
Gymnasium in Prenzlau",2010,2011,"104.400,00 €","104.400,00 €"
Stadt Prenzlau,"Ergänzung der IT-Ausstattung am Christa-und-Peter-Scherpf-
Gymnasium Prenzlau, 2. Ausbaustufe",2013,2014,"82.045,80 €","82.045,80 €"
Stadt Prenzlau,"Errichtung eines Wasserwanderrastplatzes und Anbindung der
Radwegeverbindungen an den Fernradweg Berlin-Usedom",2011,,"1.475.101,55 €",
Stadt Prenzlau,"Geschäftsstraßenmanagement, Fortführung Innenstadtmanagement
und Bürgerbüro",2012,2014,"109.497,70 €","109.497,70 €"
Stadt Prenzlau,Gestaltung der Freianlagen Marktberg,2011,2014,"1.329.094,88 €","1.329.094,88 €"
Stadt Prenzlau,Innenstadtmanagement und Bürgerbüro,2009,2012,"53.705,90 €","53.705,90 €"
Stadt Prenzlau,Konversionssommer 2008,2008,2009,"84.160,00 €","84.160,00 €"
Stadt Prenzlau,Neubau Personentunnel und B+R/P+R-Anlage am Bahnhof Prenzlau,2011,,"3.822.744,10 €",
Stadt Prenzlau,"Neugestaltung des Rathausvorplatzes einschließlich Anbindung
Steinstraße an Baustraße",2011,2014,"1.285.853,97 €","1.285.853,97 €"
Stadt Prenzlau,"Programmbegleitung durch das Innenstadtmanagement und Betrieb
eines Bürgerbüros",2009,2012,"87.481,39 €","87.481,39 €"
Stadt Prenzlau,"Sanierung der Stadtmauer inkl. Gebäude (Weichhäuser), Hexenturm
und Heiliggeistkapelle sowie Stadtmauerrundweg",2010,2014,"2.514.799,64 €","2.514.799,64 €"
Stadt Prenzlau,Tor zum Uckersee (Paket 1): Inwertsetzung naturräumlicher Potenziale,2011,,"1.300.439,13 €",
Stadt Prenzlau,"Tor zum Uckersee (Paket 2): Aufwertung Brauereigarten, Bürgergarten
und Außenanlagen um vorh. Bebauung",2011,2014,"549.726,42 €","549.726,42 €"
Stadt Pritzwalk,"Rückbau und Renaturierung der ehemaligen WGT-Liegenschaft
Radarstation Hasenwinkel",2010,2012,"129.383,17 €","129.383,17 €"
Stadt Rathenow,"Aufbau eines Geoportals zur Veröffentlichung lokaler Geodaten im
Internet",2009,2011,"24.860,43 €","24.860,43 €"
Stadt Rathenow,"Ergänzung der IT-Ausstattung GOST der Gesamtschule  ""Bruno H.
Bürgel""",2010,2012,"72.000,00 €","72.000,00 €"
Stadt Rathenow,Havel-Radweg zwischen Rathenow und Böhne/Bützer,2011,,"963.388,67 €",
Stadt Rathenow,"MEP-GOST, Gymnasium ""Friedrich-Ludwig-Jahn""",2010,2012,"119.985,60 €","119.985,60 €"
Stadt Rathenow,"Rückbau und Entsiegelung der ehemaligen WGT-Liegenschaft
Kraftfahrerkaserne PM 058-01 zur Renaturierung, Baufeld 1",2010,2011,"644.486,90 €","644.486,90 €"
Stadt Rathenow,"Rückbau und Entsiegelung der ehemaligen WGT-Liegenschaft
Kraftfahrerkaserne PM 058-01 zur Renaturierung, Baufeld 2",2010,2011,"236.072,36 €","236.072,36 €"
Stadt Rathenow,"Umbau und Ausstattung eines Chemielabors für die Begabtenförderu
ng am Friedrich-Ludwig-Jahn-Gymnasium",2013,,"112.286,38 €",
Stadt Rheinsberg,"Nachhaltige Steigerung des kulturtouristischen
Veranstaltungsangebotes im Literaturmuseum Kurt Tucholsky",2014,,"5.650,00 €",
Stadt Rheinsberg,"Orientierende Untersuchung Altlastfläche ""Müllkippe Am
WaldRheinsberg""",2014,,"36.900,00 €",
Stadt Rheinsberg,"Rekonstruktion Wasserwerk Rheinsberg, OT Zechow",2012,2014,"204.783,32 €","204.783,32 €"
Stadt Rheinsberg,"Verkehrliche Erschließung des Erholungsgebietes ""Hohe Heide""/
Beckersmühle",2009,2013,"599.146,82 €","599.146,82 €"
Stadt Rhinow vertreten durch das Amt Rhinow,Tour Brandenburg - Lückenschluss zwischen Rhinow und Strodehne,2012,,"0,00 €",
Stadt Schwedt /Oder,"Bühnenüberdachung für Parkbühne der Uckermärkischen Bühnen
Schwedt/Oder im Europäischen Hugenottenpark",2012,2013,"160.000,00 €","160.000,00 €"
Stadt Schwedt /Oder,Festwiese am Europäischen Hugenottenpark,2010,2012,"372.783,84 €","372.783,84 €"
Stadt Schwedt /Oder,"Freiraumgestaltung Kultur- und Bildungsschwerpunkt, Berliner Straße",2011,2014,"922.453,40 €","922.453,40 €"
Stadt Schwedt /Oder,Neugestaltung der Fußgängerachse Vierradener Straße inkl. Kirchplatz,2012,2014,"976.676,39 €","976.676,39 €"
Stadt Schwedt /Oder,Platzgestaltung der Multifunktionsfläche V in der Kernstadt,2008,2009,"307.889,56 €","307.889,56 €"
Stadt Schwedt /Oder,Sanierung Jugendclub Karthaus,2011,2014,"769.419,17 €","769.419,17 €"
Stadt Schwedt /Oder,"Sanierung und Umbau der ehemaligen Betriebsberufsschule zumHaus
der Bildung und Technologie",2010,2013,"2.498.065,04 €","2.498.065,04 €"
Stadt Schwedt /Oder,Stadtparkgestaltung 3. und 4. Bauabschnitt,2009,2012,"427.659,95 €","427.659,95 €"
Stadt Schwedt /Oder,Stadtteilmanagement,2009,2012,"136.619,30 €","136.619,30 €"
Stadt Schwedt /Oder,Stadtteilmanagement - Folgeantrag -,2012,2014,"74.956,81 €","74.956,81 €"
Stadt Seelow,Ausbau Bahnhofsumfeld,2012,2014,"249.250,72 €","249.250,72 €"
Stadt Senftenberg,"Errichtung eines Innovationszentrums auf dem Campus der
Brandenburgischen Techn. Universität (BTU) Cottbus - Senftenberg",2013,,"5.007.095,57 €",
Stadt Senftenberg,Innenstadtmanagement 2010,2009,2014,"49.643,55 €","49.643,55 €"
Stadt Senftenberg,Innenstadtmanagement Folgeantrag 2011 - 2013,2010,2014,"125.400,03 €","125.400,03 €"
Stadt Senftenberg,Neubau Kindertagesstätte in Senftenberg als Passivhaus,2010,2012,"179.253,86 €","179.253,86 €"
Stadt Senftenberg,"Neugestaltung des Tierparkeingangsbereiches zum
Umweltbildungszentrum",2009,2012,"1.250.770,00 €","1.250.770,00 €"
Stadt Senftenberg,"Qualifizierung des Kultur- und Bildungsstandortes ""Neue Bühne""",2011,,"2.451.122,42 €",
Stadt Senftenberg,Sicherung und Sanierung der Deponie Laugkfeld,2013,,"1.817.416,27 €",
Stadt Sonnewalde,XPlanungskonforme Erfassung von Bauleitplänen,2013,2014,"19.754,00 €","19.754,00 €"
Stadt Spremberg,"Aufbau einer Geodateninfrastruktur für das Stadtgebiet Spremberg
gemäß INSPIRE-Richtlinie",2009,2014,"207.470,28 €","207.470,28 €"
Stadt Spremberg,"Ausbau ""Bregenzer Straße""",2010,2014,"401.587,82 €","401.587,82 €"
Stadt Spremberg,Fortschreibung Einzelhandelskonzept,2008,2008,"23.562,00 €","23.562,00 €"
Stadt Spremberg,Gestaltung des Bahnhofsvorplatzes in Spremberg,2012,,"1.376.160,37 €",
Stadt Spremberg,"Rück- und Neubau von Gebäuden auf dem Areal des Kinder-
undFreizeitzentrums ""Bergschlösschen""",2010,,"841.893,93 €",
Stadt Spremberg,"Um- und Ausbau des Vereingebäudes ""Anglerheim Hammerlache""zum
Quartierszentrum ""Hammerlache""",2014,,"506.133,60 €",
Stadt Spremberg,Umbau und Sanierung der Freilichtbühne,2009,2010,"1.278.401,80 €","1.278.401,80 €"
Stadt Storkow (Mark),"Rückbau und Entsiegelung des ehemaligen Truppenübungsplatzes
Kehrigk - Beseitigung eines Gefahrenpotentials",2011,2012,"170.000,00 €","170.000,00 €"
Stadt Strausberg,Konversionssommer 2009,2009,2010,"90.110,00 €","90.110,00 €"
Stadt Strausberg,"Rückbau, Entsiegelung, Altlasten- und Kampfmittelbeseitigung auf der
ehemaligen Kaserne Hegermühlenstraße zur Renaturierung, BF 4",2009,2010,"215.783,48 €","215.783,48 €"
Stadt Teltow,"Installation von 8 Pedelec-Einstellanlagen mit integrierterElektroeinheit,
S-Bahnhof Stadt Teltow",2013,,"32.630,00 €",
Stadt Templin,"Ausbau der Dargersdorfer Straße in Templin zur Verminderungder
Lärmbelästigung",2011,2015,"227.731,25 €","227.731,25 €"
Stadt Templin,Erstellung eines kommunalen Energiekonzeptes,2011,2013,"80.850,64 €","80.850,64 €"
Stadt Templin,"Realisierung einer Dauerausstellung im Museum für Stadt- geschichte
in Templin",2010,2013,"184.720,55 €","184.720,55 €"
Stadt Templin,"Rückbau und Flächenentsiegelung auf einer Teilfläche der ehemaligen
WGT-Liegenschaft Tangersdorfer Heide",2008,2010,"525.393,53 €","525.393,53 €"
Stadt Trebbin,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2013,,"46.901,87 €",
Stadt Treuenbrietzen,"Ergänzung der IT-Ausstattung des Gymnasiums ""Am Burgwall""
Treuenbrietzen",2013,2014,"32.889,50 €","32.889,50 €"
Stadt Treuenbrietzen,"Konzeption u. Aufbau eines Geoportals als ISK zur Bereitstellung von
Daten der Bereiche Umwelt, Planung, Verkehrsinfrastruktur",2010,2013,"18.135,60 €","18.135,60 €"
Stadt Velten,Bahnhof Velten - Ostseite - 2. BA - Neubau Bahnhofsvorplatz,2011,2013,"1.432.000,00 €","1.432.000,00 €"
Stadt Velten,"Bahnhofsumfeld, westliche Seite - Gleispark",2008,2011,"483.041,38 €","483.041,38 €"
Stadt Velten,Errichtung und Gestaltung des Hedwig-Bollhagen-Museums,2013,,"1.388.060,00 €",
Stadt Velten,Neugestaltung Bahnhofsvorplatz - Ostseite 1. BA,2009,2011,"456.881,47 €","456.881,47 €"
Stadt Velten,XPlanungskonforme Erfassung von Bauleitplänen,2012,2014,"376,28 €","376,28 €"
Stadt Vetschau/Spreewald,"Ausstattung für die Ausstellung ""Geschichte vom Heiraten"" im
Stadthaus Vetschau/Spreewald",2014,,"91.982,53 €",
Stadt Vetschau/Spreewald,Erneuerung der Kraftwerkstraße,2010,2014,"398.389,84 €","398.389,84 €"
Stadt Welzow,Archäotechnisches Zentrum Welzow (ATZ),2009,2011,"268.491,01 €","268.491,01 €"
Stadt Werder (Havel),Ausbau eines Promenadenweges in den Havelauen als Rad-/Gehweg,2012,,"683.130,64 €",
Stadt Werder (Havel),Ergänzung der IT-Ausstattung am Ernst-Haeckel-Gymnasium Werder,2014,,"43.000,00 €",
Stadt Werder (Havel),"Installation wassertouristischer landseitiger Informationstafeln im
Revier der Potsdamer und Brandenburger Havelseen",2010,2013,"72.488,18 €","72.488,18 €"
