Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
supracon Aktiengesellschaft;2016 AWF 0105;Teilnahme an der internationalen Messe PDAC International Convention, Trade Show & Investors Exchange in Toronto/ Kanada vom 05.03.2017-08.03.2017 sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;01.06.2016;08.03.2017;13.000,00 €;80%;7751;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Sven Arnold und Kay Zimmermann GbR Betriebsstätte Comma;2016 TIZ 0068;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.04.2016;31.12.2016;42.500,00 €;80%;7545;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
SWM Werkzeugfabrik GmbH & Co. KG;2015 EEB 0116;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen SWM Werkzeugfabrik GmbH & Co. KG;25.04.2016;31.10.2016;12.110,00 €;80%;98587;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
SZM Spannwerkzeuge GmbH;2015 EEB 0096;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen SZM Spannwerkzeuge GmbH;16.12.2015;30.04.2016;11.925,00 €;80%;98544;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
T W K Filmtheater GmbH;2016 TIZ 0093;Anschaffung von neuer Heizungs-, Kühl- und Raumlufttechnik zur Verbesserung  der Ressourcen - und Energieeffizienz für das Unternehmen;01.04.2016;31.12.2016;70.330,00 €;80%;98693;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Tanyas Restaurant Inh. Tanya Harding;2015 TIZ 0008;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;19.01.2015;31.05.2016;19.558,85 €;80%;99310;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Team - Fischer Saalfeld Friseur GmbH & Co. KG;2015 TIZ 0113;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;01.05.2015;30.04.2017;105.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
TecArt GmbH;2015 FE 0038;Entwicklung eines workflowgestützten Empfehlungs- und Aktionmanagementsystems;06.04.2016;31.03.2019;312.448,88 €;80%;99084;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
Technische Universität Ilmenau;2015 FE 9003;Grundlagen zur Entwicklung und Herstellung sowie zu Eigenschaftsprofilen von FVK-Kunststoffschaum-Hybridstrukturen unter Einbeziehung von Anbindungsteilen für dynamisch belastete Maschinenkomponenten;01.07.2016;30.06.2018;218.252,46 €;80%;98693;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Technische Universität Ilmenau;2015 FE 9033;Konzeptionsentwicklung und Evaluierung;01.07.2016;30.06.2019;230.970,15 €;80%;98693;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Technische Universität Ilmenau;2015 FE 9042;Entwicklung und meßtechnische Bewertung planarer Antennenstrukturen für die Integration in KFZ-Kunststoffoberflächen und -blenden;01.07.2016;30.06.2019;243.750,00 €;80%;98693;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Technische Universität Ilmenau;2015 FE 9044;Untersuchungen zur spanenden Bearbeitung von hochlegierten Stählen durch Fräsen mit überlagerter niederfrequenter Bewegung;01.07.2016;30.06.2018;140.000,00 €;80%;98693;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
Technische Universität Ilmenau;2015 FGI 0025;Beschaffung eines modernen Röntgendiffraktometers (XRD)- FastµXRD mit Mikrofokus und Flächendedektor;01.04.2016;31.10.2017;495.000,00 €;80%;98693;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Universität Ilmenau;2015 FGI 0026;Entwicklung eines adaptiven und interaktiven multimedialen Systems als Werkzeug zur Rehabilitation von Hörerkrankungen;01.05.2016;30.04.2019;310.090,00 €;80%;98693;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Universität Ilmenau;2015 FGI 0027;Modulare Test- und Simulationsplattform für multimodale Energiesysteme;01.09.2016;30.06.2019;685.000,00 €;80%;98693;Deutschland;058 - Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Universität Ilmenau;2016 IVN 0054;"Vorbereitung des Verbundvorhabens ""VNB-DC""";01.07.2016;31.03.2017;47.900,00 €;80%;98693;Deutschland;065 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel
Technologie- und Gründerzentrum Ilmenau GmbH;2015 TZ 0013;Kaltmietfreistellungen in der Technologie- und Gründerzentrum Ilmenau GmbH;01.01.2016;31.10.2016;28.473,65 €;80%;98693;Deutschland;059 - Forschungs- und Innovationsinfrastruktur (privat, einschließlich Wissenschaftsparks)
Technologie- und Innovationspark Jena GmbH (TIP);2015 TZ 0011;Kaltmietfreistellungen in der Technologie- und Innovationspark Jena GmbH;01.01.2016;31.10.2016;91.692,00 €;80%;7745;Deutschland;058 -  Forschungs- und Innovationsinfrastruktur (öffentlich)
Teichhotel Inh. Daniel Elsmann;2015 TIZ 0005;Anschaffung neuer Einrichtung für das Teichhotel;02.01.2015;31.08.2016;20.000,00 €;80%;98574;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
TEX - SOL GmbH;2015 TIZ 0018;Bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;29.01.2015;28.01.2017;136.331,06 €;80%;99768;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Textilreinigung und Wäscherei Blab Inh. Elke Heckel;2016 EEB 0063;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Wäschrei Blab;01.05.2016;31.07.2016;9.290,00 €;80%;4626;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
TGF - Technologie und Gründer- Förderungsgesellschaft Schmalkalden/Dermbach GmbH;2015 TZ 0016;Kaltmietfreistellungen in der Technologie- und Gründer- Förderungsgesellschaft Schmalkalden/  Dermbach GmbH;01.01.2016;31.10.2016;71.773,00 €;80%;98574;Deutschland;059 - Forschungs- und Innovationsinfrastruktur (privat, einschließlich Wissenschaftsparks)
Thomas Brinkhoff & Sabine Reinicke GbR;2016 TIZ 0070;Durchführung von baulichen Investitionen gemäß Energieeffizienzberatungsbericht für das Unternehmen;10.03.2016;31.12.2017;54.000,00 €;80%;99817;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Thomas Wand & Horst Reichwein GbR Automobiltest und Fahrzeugservice;2015 TIZ 0240;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;10.06.2015;31.05.2016;233.350,00 €;80%;99837;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Thorwarth & Grebe GmbH;2015 EEB 0100;Durchführung einer Energieeffizienzmaßnahme (Situationsanalyse) fas Unternehmen Thorwarth & Grebe GmbH;30.11.2015;31.03.2016;12.110,00 €;80%;98574;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Thüringen Recycling GmbH;2015 TIZ 0400;Durchführung baulicher Maßnahmen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.11.2015;31.12.2016;128.000,00 €;80%;99091;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"Thüringen-
Dynamik-
Darlehensfonds";2015 TDD 0001;Darlehen an KMU;01.04.2015;31.12.2023;120.000.000,00 €;80%;99084;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"Thüringen-
Invest-
Darlehensfonds";2015 TID 0001;Darlehen an KMU;01.01.2015;31.12.2023;27.500.000,00 €;80%;99084;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Thüringer Energie- und GreenTech-Agentur (ThEGA);2015 THE 0001;Thüringer Energie- und GreenTech-Agentur (ThEGA);01.01.2014;31.12.2023;18.750.000,00 €;80%;99084;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0002;Erfurt, Hochwasserschutz Papierwehr - vorhabenbezogenes Konzept;01.01.2015;30.11.2017;165.915,59 €;80%;99094;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0003;Sömmerda, Schöpfwerk - Gesamtmaßnahme -;17.10.2014;30.11.2018;382.353,28 €;80%;99610;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0005;Eisenach, Hochwasserschutz Eisenach, MK I, FP 2014 - 2020;01.01.2015;31.12.2018;3.145.557,26 €;80%;99817;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0006;Pleiße, Windischleuba, Deichsanierung;17.11.2014;31.12.2016;104.163,63 €;80%;4603;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0007;Neubau Hochwasserschutz, Bauraum 1 (Untermh. Br. bis Heinrichsbr).;16.02.2015;31.12.2017;4.610.058,18 €;80%;7545;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0013;Eisfeld, Hochwasserschutz Bau;01.01.2015;31.12.2020;3.770.250,55 €;80%;98673;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0014;Schleuse OL Rappelsdorf, Hochwasserschutz;01.01.2015;31.12.2020;353.511,20 €;80%;98553;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0015;Hochwasserschutz Sachsenbrunn - Umgriff Brücke B281;09.01.2015;31.12.2020;32.200,08 €;80%;98678;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 HWS 0016;Ulster, Hochwasserschutzkonzept;01.01.2015;31.12.2017;104.434,40 €;80%;36414;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2014 VGS 0001;Hasel Durchgängigkeit BA IV HA27-33 Gesamtprojekt;01.01.2015;31.12.2017;49.328,55 €;80%;98530;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2014 VGS 0002;Hasel Durchgängigkeit BA V - HA 39-48 - Konzept;30.11.2014;31.12.2016;121.519,79 €;80%;98530;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 ENL 0005;Managementplanung für 62 Natura-2000-Gebiete in Thüringen;01.03.2016;28.02.2020;2.400.000,00 €;80%;7745;Deutschland;086 - Schutz, Wiederherstellung und nachhaltige Nutzung von Natura-2000-Gebieten
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0003;Pleiße, Wilchwitz, Neubau Hochwasserschutz;01.01.2015;31.12.2019;114.161,93 €;80%;4603;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0004;Pleiße, Treben, Hochwasserschutz Ortslage;01.01.2015;31.12.2019;169.377,44 €;80%;4617;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0006;Zorge, Bielen, Hochwasserschutz und Naturnahe Gewässerentwicklung;01.07.2015;31.12.2019;11.644,15 €;80%;99734;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0007;"Helme Görsbach; Hochwasserschutz und Naturnahe Gewässerentwicklung; KONZEPT";01.07.2015;31.12.2019;11.644,15 €;80%;99765;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0008;Schleuse OL Ratscher Hochwasserschutz;01.07.2015;31.12.2019;25.551,09 €;80%;98553;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0009;Schaffung von Retentionsraum und Durchgängigkeit am Flutgrabenwehr Görmar;01.07.2015;31.12.2019;36.090,00 €;80%;99974;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0011;Weiße Elster, Gera-Liebschwitz bis Wünschendorf-Meilitz, Reaktivierung Retentionsraum, Erweiterung Hochwasserschutzanlage;01.07.2015;31.12.2019;202.975,41 €;80%;7551;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0013;"Weiße Elster, Gera, Zwötzen bis Gera-Liebschwitz; Reaktivierung Retentionsraum, Erweiterung Hochwasserschutzanlage";01.07.2015;31.12.2019;11.495,40 €;80%;7551;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0014;Niederschlags-Abfluss-Modell Schleuse;01.07.2015;31.12.2019;26.605,43 €;80%;98660;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0015;Hochwasserschutz Sachsenbrunn: Umverlegung Großenbach;01.07.2015;31.12.2019;35.632,78 €;80%;98678;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 HWS 0016;"Zorge, Windehausen, Hochwasserschutz und Naturnahe Gewässerentwicklung; Konzept";01.07.2015;31.12.2019;11.644,15 €;80%;99765;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0001;Lauter Durchgängigkeit BA I, Teil 1 - Konzept;01.07.2015;31.12.2019;50.714,76 €;80%;98527;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0002;"Wipper; Kz:5646; Ord:1 Gernrode; Herstellen der Durchgängigkeit Wehr und 3 Sohlenabstürze";01.09.2015;31.12.2017;488.445,06 €;80%;37339;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0003;Merkers, Werra, Umbau Sohlenrampe Merkers;01.07.2015;31.12.2019;335.216,74 €;80%;36460;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0004;"Helme von Aumühle bis Landesgrenze; naturnahe Gewässerentwicklung; Strukturverbessernde Maßnahmen 7,8 - MK1";01.07.2015;31.12.2019;926.674,24 €;80%;99765;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0005;Hörsel Wehr Rothenhof;01.07.2015;31.12.2019;61.445,19 €;80%;99817;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0007;Werra Durchgängigkeit - Wehr Schackendorf;01.07.2015;31.12.2019;13.366,48 €;80%;98669;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0008;Rudolstadt S32, Saalfeld S36, Saalfeld S37, Herstellen der Durchgängigkeit;01.07.2015;31.12.2019;176.216,29 €;80%;7407;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2015 VGS 0010;Ersatz eine Sohlabsturzes, Probstzella I, Bahndamm (LO21);01.10.2015;31.12.2019;453,83 €;80%;7330;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2016 VGS 0008;Rückbau Wehr Gispersleben und Bau Flussschlinge Kraftwerk Gispersleben - Bau;04.01.2016;30.11.2017;3.123.000,00 €;80%;99091;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landesanstalt für Umwelt und Geologie;2016 VGS 0009;"Nesse Ettenhausen; Herstellen der Durchgängigkeit";01.09.2015;31.12.2017;204.153,42 €;80%;99819;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Thüringer Landfleischerei Kölleda GmbH;2015 TIZ 0015;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.01.2015;31.01.2016;194.949,22 €;80%;99625;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Thüringer Landgesellschaft mbH;2014 HWS 0008;Weiße Elster, von Gera, Bahnbrücke bis Gera, Cubabrücke;01.01.2015;31.12.2018;1.120.500,00 €;80%;7548;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0011;Hörsel, Hochwasserschutz Eisenach, Rothenhof, MK IV;18.12.2014;31.12.2018;223.000,00 €;80%;99817;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0017;Greiz, Hochwasserschutz- Komplexmaßnahme Dölau - vorhabensbezogenes Konzept;01.01.2015;31.12.2018;295.426,34 €;80%;7973;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0018;Greiz, Hochwasserschutz - Komplexmaßnahme Elstersteig - vorhabensbezogenes Konzept;01.01.2015;31.12.2021;43.468,26 €;80%;7973;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0019;Greiz, Hochwasserschutz - Rothenthal - vorhabenbezogenes Konzept;01.01.2015;31.12.2019;20.000,00 €;80%;7973;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0020;Weiße Elster, Hochwasserschutz, Landesgrenze Thüringen/Sachsen-Anhalt bis Gera-Langenberg BAB A4 - Abschnittsübergreifende Leistungen;18.12.2014;31.12.2023;364.724,75 €;80%;7552;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0021;Weiße Elster, Crossen-Ahlendorf, Hochwasserschutz - vorhabenbezogenes Konzept;18.12.2014;31.12.2018;222.130,91 €;80%;7613;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0022;Weiße Elster, Silbitz-Tauchlitz, Hochwasserschutz - Vorhabensbezogenes Konzept;18.12.2014;31.12.2018;233.663,89 €;80%;7613;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0023;Weiße Elster, Caaschwitz, Hochwasserschutz - vorhabenbezogenes Konzept;18.12.2014;31.12.2021;293.869,01 €;80%;7586;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Thüringer Landgesellschaft mbH;2014 HWS 0024;Weiße Elster, Bad Köstritz-Gera A4, Hochwasserschutz - vorhabenbezogenes Konzept;18.12.2014;31.12.2021;640.823,53 €;80%;7586;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
