Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
Glas- und Gebäudereinigung Inh. Nico Franz;2015 TIZ 0026;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.02.2015;31.12.2015;3.858,71 €;80%;98704;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Glastechnik Kirste KG;2016 EEB 0020;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Glastechnik Kirste KG;01.03.2016;30.04.2016;8.000,00 €;80%;7407;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Global Solutions GmbH;2015 EEB 0091;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Global Solutions GmbH;16.11.2015;31.03.2016;11.575,00 €;80%;7552;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
GMG GussTec GmbH;2016 EEB 0114;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen GMG GussTec GmbH;15.06.2016;30.09.2016;11.575,00 €;80%;7548;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Goepfert Werkzeug & Formenbau GmbH & Co.Teilefertigung KG;2015 AWF 0041;"Teilnahme an der internationalen Messe ""Euroguss 2016"" vom 12.01.2016 bis 14.01.2016 in Nürnberg (Deutschland)";24.11.2015;14.01.2016;6.000,00 €;80%;99428;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Goethe Schokoladentaler Manufaktur GmbH;2015 TIZ 0206;Anschaffung von neuen Maschinen und Einrichtungen für das Unternehmen;27.05.2015;30.06.2016;60.000,00 €;80%;6578;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Gönnataler Putenspezialitäten GmbH;2015 TIZ 0220;Durchführung baulicher Investitionen und Anschaffung neuer Geräte und Einrichtungen für das Unternehmen;27.05.2015;31.12.2015;119.099,22 €;80%;7778;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Gönnataler Putenspezialitäten GmbH;2016 EEB 0084;Durchführung einer Situationsanalyse bei der Gönnertaler Putenspezialitäten GmbH;01.05.2016;30.08.2016;11.575,00 €;80%;7778;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Gönnataler Putenspezialitäten GmbH;2016 TIZ 0024;Anschaffung neuer Geräte und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;10.02.2016;31.12.2016;250.000,00 €;80%;99867;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
GÖPEL electronic GmbH;2016 IPO 0020;Einführung eines Produktdatenmanagement-Systems (PDM) zur Optimierung kritischer Prozesse im Produktlebenszyklus.;01.05.2016;30.09.2016;40.000,00 €;80%;7745;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
