NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
"Bremerhavener Institut für Biologische
Informationssysteme (BIBIS)","Förderprogramm Angewandte Umweltforschung (AUF):
Immunonachweis toxikologisch wirksamer Chemikalien in
Wasserproben (TOXsense)",2009,2014,,"43.895,01"
"Bremischer Deichverband am linken
Weserufer",Renaturierung Weserufer Rablinghausen,2008,2012,,"499.839,61"
"Bremischer Deichverband am rechten
Weserufer","Renaturierung des Weserufers im Bereich Fuldahafen /
Hemelinger See",2011,,"727.237,00",
BREWA WTE GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Aufbau einer grünen Algen-Industrie im Pilotmaßstab
neben einer Industriekraftwerksanlage in Bremen-Blumenthal",2009,,"49.450,00",
Brokop Stahlbau GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"55.358,00"
Bruker Daltonik GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Gezielte Bewertung der mikrobiellen Belastung von
wassergemischten Kühlschmierstoffen für eine
ressourcenschonende und kostensparende Metallverarbeitung",2009,2010,,"53.370,45"
Bruker Daltonik GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Schnelle Direktanalyse von mikrobiellen
Kontaminationen in wassergemischten Kühlschmierstoffen
durch MALDI-TOF-MS",2010,2011,,"97.416,00"
"BVT Brenn- und Verformtechnik Bremen
GmbH","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2008,2012,,"350.000,00"
Carl Polzin GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"4.646,05"
cat sale GmbH & Co,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"4.233,00"
cbprocess GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"4.083,00"
cbprocess GmbH & Co. KG,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2012,2013,,"63.826,00"
cbprocess GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"5.722,00"
Ceratec Audio Design GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"3.662,00"
Chatorange,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"655,00"
ChemTaurus GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2011,,"20.000,00",
Chipro GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"3.212,00"
Chipro GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Ressourcenschonende Ein-Schritt-Aufreinigung von
Biopharmazeutika",2007,2010,,"19.984,25"
ci-base Software GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"2.261,00"
ci-base Software GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"4.299,00"
CI-Gate Development & Consulting GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"2.613,00"
CI-Gate Development & Consulting GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Offshore-Engineering Management System",2013,2014,,"93.000,00"
CI-Gate Development & Consulting GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"2.750,00"
CI-Gate Development & Consulting GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"3.093,00"
CityInitiative Bremen Werbung e. V.,Bremen Maritim 2008,2008,2010,,"52.973,20"
CityInitiative Bremen Werbung e. V.,Bremen Maritim 2009,2009,2010,,"83.477,53"
CityInitiative Bremen Werbung e. V.,Maritime Woche 2010,2010,2011,,"97.626,62"
CityInitiative Bremen Werbung e. V.,Maritime Woche 2013,2013,,"100.000,00",
CityInitiative Bremen Werbung e. V.,Maritime Woche 2014,2014,,"100.000,00",
CityInitiative Bremen Werbung e. V.,EMD 2014 public day,2014,,"125.000,00",
CityInitiative Bremen Werbung e. V.,Maritime Woche 2012,2012,2013,,"98.987,91"
CityInitiative Bremen Werbung e. V.,Maritime Woche 2011,2011,2012,,"99.618,91"
Classic Cars GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"125.000,00"
ClipVilla GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"4.242,00"
ClipVilla GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"3.084,00"
COMET Feuerwerk GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2008,2010,,"1.236.000,00"
"Components und Development
Ingenieurgesellschaft mbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"6.000,00"
"Components und Development
Ingenieurgesellschaft mbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"4.907,00"
"Components und Development
Ingenieurgesellschaft mbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"5.695,00"
control.IT Unternehmensberatung GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"6.000,00"
"Conventus Congressmanagement &
Marketing GmbH","Fonds Wissenschaftliche Kongresse: Jahrestagung der
Vereinigung für allgemeine und angewandte Mikrobiologie
2013 (VAAM)",2012,,"80.000,00",
Creative Computer Consulting GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"4.750,00"
"CTB Gesellschaft für Verkehrsplanung und
Bau mbH","Umgestaltung des Platzes ""Fangturm""",2014,,"510.000,00",
CTQ GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"5.400,00"
Cube-Tec International GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"1.638,00"
Cube-Tec International GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"3.081,00"
CVS Ingenieurgesellschaft mbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"230.000,00"
Daniel Georgus OHG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"5.763,00"
DATALOG GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"4.575,00"
datenschutz cert GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"3.222,00"
datenschutz cert GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"2.596,00"
