NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
"Universität Bremen, Keramische Werkstoffe
und Bauteile","Förderprogramm Angewandte Umweltforschung (AUF):
Effiziente Elektrokatalysatorsysteme für Brennstoffzellen",2007,2012,,"147.125,00"
"Universität Bremen, MARUM und FB
Geowissenschaften, AG Organische Chemie","Förderprogramm Angewandte Umweltforschung (AUF):
Biologische Flüssiggaserzeugung im Labor",2007,2011,,"64.710,52"
"Universität Bremen, Mobile Research Center
TZI","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
IT-gestütztes Assistenzsystem für ältere Menschen",2009,2011,,"56.500,00"
"Universität Bremen, Technologiezentrum
Informatik TZI","Workshop ""Informatik in der Wirtschaft: Das Potenzial von
Frauen gewinnen""",2008,2009,,"14.229,63"
"Universität Bremen, UniTransfer","Förderung des Hochschulverbundes Bremen-Niedersachsen
(Verwertungsoffensive Bund 2008)",2008,2010,,"169.932,00"
"Universität Bremen, Zentrum für Sozialpolitik","Landesinitiative Arbeits- und Gesundheitsschutz: Integrierte
Sicherheits- und Gesundheitsmanagementstrategien
(LernBauNet)",2009,2013,,"372.591,10"
"Universität Bremen, Zentrum für
Umweltforschung und nachhaltige
Technologien (UFT)","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Optimierung von Wärmepumpensystemen",2009,2011,,"76.802,23"
"Universität Bremen, Zentrum für
Umweltforschung und nachhaltige
Technologien (UFT)","Förderprogramm Angewandte Umweltforschung (AUF):
Energieeffiziente Elektro-Membranen für
Membranbelebungsverfahren bei der biologischen
Abwasserbehandlung (Elektro-Membran)",2009,,"113.766,00",
"Universität Bremen, Zentrum für
Umweltforschung und nachhaltige
Technologien (UFT)","Förderprogramm Angewandte Umweltforschung (AUF):
Gebäude-Kerndämmung aus erneuerbaren /
wiederverwerteten Rohstoffen",2007,2012,,"79.840,95"
"Universität Bremen, Zentrum für
Umweltforschung und nachhaltige
Technologien (UFT)","Förderprogramm Angewandte Umweltforschung (AUF):
Biologische Reststoffbehandlung bei der Autoverwertung
(Shredderabfallbehandlung)",2008,2014,,"7.210,00"
"Universität Bremen, Zentrum für
Umweltforschung und nachhaltige
Technologien (UFT)","Förderprogramm Angewandte Umweltforschung (AUF):
Energieeffiziente Produktion von Ammoniakwasser aus
Gärreststoffen",2007,2012,,"124.058,77"
"Universität Bremen, Zentrum für
Umweltforschung und nachhaltige
Technologien (UFT),  Abt. Ökologie","Förderprogramm Angewandte Umweltforschung (AUF):
Kompetenz in der Entwicklung und
Umweltgefährdungsbeurteilung von Nanopartikeln",2008,,"599.421,00",
V. Alexander International Logistics GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"6.000,00"
V. Alexander International Logistics GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"2.500,00"
"vacances Mobiler Sozial- und Pflegedienst
GmbH","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Zuhause im Quartier",2009,2011,,"42.199,00"
"vacances Mobiler Sozial- und Pflegedienst
GmbH","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Spiel dich fit und gesund",2011,2013,,"60.000,00"
"VACUTEC Hochvakkum- & Präzisionstechnik
GmbH","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2009,2012,,"400.000,00"
"VdA Verband deutscher Archivarinnen und
Archivare","Fonds Wissenschaftliche Kongresse: 81. Deutscher Archivtag
2011 in Bremen",2011,2012,,"30.000,00"
Vector Folitec GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Effizienzgesteigerte, solarthermische Kollektormodule
(EffSoKo)",2008,2013,,"7.080,52"
VENIOX GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"4.340,00"
VENIOX GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"6.000,00"
Ventimola GmbH & Co. Dämmtechnik KG,"Förderprogramm Angewandte Umweltforschung (AUF):
Gebäude-Kerndämmung aus erneuerbaren /
wiederverwerteten Rohstoffen",2007,2012,,"69.000,00"
"Vereinigte Elektronikwerkstätten GmbH
(VEW)","QS-CFK: Zerstörungsfreie Qualitätsprüfungsmethoden für die
vollständige Wertschöpfungskette von Faserverbundbauteilen
und Schweißverbindungen",2013,,"25.000,00",
"Vereinigte Elektronikwerkstätten GmbH
(VEW)","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Bauteilgenerierung mit integrierten Fasern",2014,,"70.000,00",
Vetail-x UG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"2.590,00"
Voith Engineering Services GmbH,"go!CART - Initiierung und Aufbau des Bremer Kompetenz- und
Forschungsverbundes FLUGROBOTIK CART (Competitive
Aerial Robot Technologies)",2007,,"487.687,00",
"W. Unbescheiden Metall- und Apparatebau
GmbH","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2009,2010,,"22.000,00"
WaBeQ,"Bauliche Aktivitäten: Sanierung Schlauchturm Stiftungsdorf
Gröpelingen",2013,,"68.500,00",
Wagenbrett GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"3.191,00"
Wagenbrett GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"3.011,00"
Walter Struppe Metallbau GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"120.000,00"
Wäscherei Max Stich GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2012,2012,,"30.000,00"
Wein Werke Bremen GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"3.284,00"
Wein Werke Bremen GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"3.501,34"
Werner Bollwinkel GbmH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2012,,"100.000,00",
Weser UmweltTechnik,"Förderprogramm Angewandte Umweltforschung (AUF):
Energieeffiziente Elektro-Membranen für
Membranbelebungsverfahren bei der biologischen
Abwasserbehandlung (Elektro-Membran)",2009,,"24.000,00",
WeserWind GmbH Offshore Contruction,"Förderprogramm Angewandte Umweltforschung (AUF): Studie
""mikrobielle Sedimentbatterien für den Korrosionsschutz""
(Sedimentbatterie)",2008,2011,,"7.900,00"
WeserWind GmbH Offshore Contruction,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Installationsrahmen für Jacket-Gründungsstrukturen (I
Jack)",2009,,"119.680,00",
We4IT GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"2.267,00"
We4IT GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"6.000,00"
We4IT GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"4.012,00"
We4IT GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"6.880,00"
We4IT GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"2.574,00"
WFB - Wirtschaftsförderung Bremen GmbH,Technologiepark Uni Südost - Ringschluss,2007,,"1.473.000,00",
WFB - Wirtschaftsförderung Bremen GmbH,Campus-Park im Technologiepark,2008,,"1.378.887,00",
WFB - Wirtschaftsförderung Bremen GmbH,"Innovationspolitik 2014 - Begleitmaßnahmen des i2b
Netzwerks (WFB)",2014,,"147.560,00",
WFB - Wirtschaftsförderung Bremen GmbH,"Innovationspolitik 2014 - Öffentlichkeitsarbeit und
Netzwerkarbeit  für die Innovationscluster (WFB)",2014,,"135.570,00",
WFB - Wirtschaftsförderung Bremen GmbH,"Innovationspolitik 2014 - Rahmenprojekt Veranstaltungen für
die Innovationscluster (WFB)",2014,,"136.500,00",
WFB - Wirtschaftsförderung Bremen GmbH,"Technologiepark Uni Süd - Kultivierung und Steigerung der
Attraktivität",2007,,"1.570.000,00",
WFB - Wirtschaftsförderung Bremen GmbH,"Innovationspolitik 2014 - Rahmenprojekt Clustermanagement
Maritime Wirtschaft/Logistik (WFB)",2014,,"229.475,40",
WFB - Wirtschaftsförderung Bremen GmbH,"Innovationspolitik 2014 - Rahmenprojekt Clustermanagement
Luft- und Raumfahrt (WFB)",2014,,"189.475,40",
WFB - Wirtschaftsförderung Bremen GmbH,"Beratung von Frauen in der Kultur- und Kreativwirtschaft 2014
(WFB)",2014,,"50.828,52",
WFB - Wirtschaftsförderung Bremen GmbH,"Orientierungsberatung in der Kultur- und Kreativwirtschaft
2014 (BIS)",2014,,"129.428,52",
WFB - Wirtschaftsförderung Bremen GmbH,Netzwerkförderung Kreativwirtschaft 2014 - Klubdialog  (WFB),2014,,"158.866,90",
WFB - Wirtschaftsförderung Bremen GmbH,"EcoMaT Maßnahmenpaket: Rahmenprojekt ""Betrieb der
Koordinationsstelle EcoMaT""",2013,,"240.000,00",
WFB - Wirtschaftsförderung Bremen GmbH,"EcoMaT Maßnahmenpaket: Rahmenprojekt
""Entwicklungsmaßnahmen EcoMaT""",2013,,"510.000,00",
WFB - Wirtschaftsförderung Bremen GmbH,Lesum Park - Äußere Erschließung,2007,,"515.300,00",
WFB - Wirtschaftsförderung Bremen GmbH,"Neuordnung der Überseestadt - Erschließung der Flächen
südlich des Hilde-Adolf-Parks",2009,,"1.197.000,00",
WFB - Wirtschaftsförderung Bremen GmbH,Identitäts- und Imageanalyse für Bremen 2012,2012,2014,,"68.442,37"
WFB - Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Brennerei Next Generation
Lab - Stipendiatenmodell 2013",2013,,"48.000,00",
WFB - Wirtschaftsförderung Bremen GmbH,Erschließung des 2. Bauabschnitts des Überseeparks,2009,,"5.217.200,00",
WFB Wirtschaftsförderung Bremen GmbH,"Präsentation der Wissenswelten auf der EXPO 2015 in
Mailand",2013,,"37.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Förderung des Fahrradtourismus,2013,,"300.000,00",
WFB Wirtschaftsförderung Bremen GmbH,BRETEC - Projektsteuerung,2009,,"256.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Fortführung des Projekts Fahrradtourismus,2014,,"80.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Förderung des
verbesserten Zugangs zu Fördermitteln des Bundes und der
EU in 2009 - 2010",2009,,"363.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Förderung von Netzwerken
und Clustern in 2009 - 2010",2009,,"1.319.500,00",
WFB Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Förderung von Wissens-
und Technologietransfer sowie Studien in 2009 - 2010",2009,,"582.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"Entwicklungskonzept Blumenthal / Masterplan Bremer
Wollkämmerei (BWK)",2011,,"295.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"Gewerbegebiet Bremer Wollkämmerei, Baumaßnahmen im
Zuge des Verkaufs der Speicher 100 und 101",2011,,"137.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Betrieb des Designlabors Bremerhaven 2009 - 2010,2009,,"440.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"CFKI - Entwicklung einer Prozesskette zur Fertigung
hochintegraler Bauteile aus faserverstärkten Kunststoffen
(CFK) am Beispiel einer Landeklappe; Teilprojekt:
Projektträgerschaft zur Umsetzung des Vorhabens durch die
WFB",2008,,"164.705,00",
WFB Wirtschaftsförderung Bremen GmbH,"go!CART - Initiierung und Aufbau des Bremer Kompetenz- und
Forschungsverbundes FLUGROBOTIK CART (Competitive
Aerial Robot Technologies); Teilprojekt: Projektträgerschaft zur
Umsetzung des Vorhabens durch die WFB",2008,,"109.999,00",
WFB Wirtschaftsförderung Bremen GmbH,"Begleitmaßnahmen Netzwerkmanagement
Gesundheitswirtschaft",2012,,"344.656,00",
WFB Wirtschaftsförderung Bremen GmbH,"Neuordnung der Überseestadt - Erschließung der Flächen
nördlich der Konsul-Smidt-Straße",2008,,"2.249.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Förderung von Netzwerken
und Clustern in 2011",2011,,"553.500,00",
WFB Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Förderung des
verbesserten Zugangs zu Fördermitteln des Bundes und der
EU in 2011",2011,,"60.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"Innovationsförderung 2007 - 2013: Förderung von Wissens-
und Technologietransfer sowie Studien in 2011",2011,,"265.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"""Wissenswerte"" Bremer Forum für Wissenschaftsjournalismus
2011 und 2012",2011,,"80.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Betrieb des Wilhelm-Wagenfeld-Hauses 2009 - 2010,2009,,"409.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Wissenswelten 2009,2009,2009,,"140.000,00"
WFB Wirtschaftsförderung Bremen GmbH,Stipendiatenmodell im Designlabor Bremerhaven 2009 / 2010,2009,2010,,"42.000,00"
WFB Wirtschaftsförderung Bremen GmbH,Stipendiatenmodell im Designlabor Bremerhaven 2011,2011,2012,,"36.000,00"
WFB Wirtschaftsförderung Bremen GmbH,"Entwicklungsprogramm Technologiestadtteil -
Unternehmensbefragung und Profilierung von
Innovationsschwerpunkten",2009,2012,,"41.544,84"
WFB Wirtschaftsförderung Bremen GmbH,"Entwicklungsprogramm Technologiestadtteil - Marketing und
Vermarktungsaktivitäten",2009,2013,,"43.632,00"
WFB Wirtschaftsförderung Bremen GmbH,"Fonds Wissenschaftliche Kongresse: International Conference
for Thermoplastic Composites & Exhibition 2012 (ITHEC)",2011,2013,,"48.000,00"
WFB Wirtschaftsförderung Bremen GmbH,"Fonds Wissenschaftliche Kongresse: European Maritime Day
2014 (EMD)",2014,,"200.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Botanika Marketingmaßnahmen 2014,2014,,"30.000,00",
WFB Wirtschaftsförderung Bremen GmbH,"QS-CFK: Zerstörungsfreie Qualitätsprüfungsmethoden für die
vollständige Wertschöpfungskette von Faserverbundbauteilen
und Schweißverbindungen; hier: Projektsteuerung",2013,,"66.764,00",
WFB Wirtschaftsförderung Bremen GmbH,"Fonds Wissenschaftliche Kongresse: NEURO 2014
Bremerhaven",2014,,"21.980,00",
WFB Wirtschaftsförderung Bremen GmbH,"Neuordnung der Überseestadt - Erschließung der Nordseite
Europahafen",2008,,"9.570.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Anleger Europahafen - Landmark Tower,2014,,"606.000,00",
WFB Wirtschaftsförderung Bremen GmbH,Bremer Wollkämmerei - Erschließung 2. Bauabschnitt,2012,,"10.873.260,00",
WFB Wirtschaftsförderung Bremen GmbH,"Neuordnung der Überseestadt - Erschließung 1. Bauabschnitt
Überseepark",2008,,"7.466.000,00",
"Wieters & Gerdes Industrial Automation
GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"6.000,00"
"Wieters & Gerdes Industrial Automation
GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2015,,"6.000,00"
"Wieters & Gerdes Industrial Automation
GmbH","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"5.627,00"
Wihm GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2012,2013,,"50.250,00"
Wilhelm G. Janssen - Boots- & Yachthandel,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"2.692,00"
Wilhelm G. Janssen - Boots- & Yachthandel,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"3.394,00"
Wilhelm G. Janssen - Boots- & Yachthandel,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"2.820,00"
Wilhelm Sander Handel GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2015,,"2.153,00"
Wilhelm Sander Handel GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"6.000,00"
Wilhelm Sander Handel GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"4.905,00"
Wir Hemelinger e. V.,Stadtteilmarketing Hemelingen 2012,2012,2013,,"78.866,00"
Wir Hemelinger e. V.,Stadtteilmarketing Hemelingen 2010,2009,2011,,"84.000,00"
Wir Hemelinger e. V.,Stadtteilmarketing Hemelingen 2011,2011,2012,,"81.000,00"
Wir Hemelinger e. V.,Stadtteilmarketing Hemelingen 2009,2009,2010,,"70.448,26"
WIR-Neustadt-Bremen e. V.,Stadtteilmarketing Neustadt 2009,2009,2010,,"79.998,98"
WIR-Neustadt-Bremen e. V.,"Stadtteilmarketing 2013 - 2014: Stadtteilmarketing Neustadt
2013",2012,2014,,"79.922,51"
WIR-Neustadt-Bremen e. V.,Stadtteilmarketing Neustadt 2010,2009,2011,,"79.951,45"
WIR-Neustadt-Bremen e. V.,"Stadtteilmarketing 2013 - 2014: Stadtteilmarketing Neustadt
2014",2014,,"80.000,00",
WIR-Neustadt-Bremen e. V.,Stadtteilmarketing Neustadt 2011,2011,2012,,"79.996,15"
wisoak,"Arbeitspolitische Maßnahmen: Zwei kaufmännische
Trainingszentren",2013,,"13.685,08",
wisoak,"Arbeitspolitische Maßnahmen: i-pen für ""QuaFiMa""",2013,,"7.074,50",
wisoak,"Arbeitspolitische Maßnahmen: Kaufmännische
Trainingszentren",2013,,"30.909,99",
WLP Weser Logistic & Packing GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2008,2009,,"45.000,00"
xax managing data & information GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"5.268,00"
xax managing data & information GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"2.372,00"
xax managing data & information GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"2.610,00"
Yachtcharter Sweden-Germany GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"6.000,00"
Yachtcharter Sweden-Germany GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"6.000,00"
Yachtcharter Sweden-Germany GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"6.000,00"
Yachtcharter Sweden-Germany GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"6.000,00"
ZARM Fallturm-Betriebsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"6.119,44"
ZARM Fallturm-Betriebsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"3.737,00"
ZARM Fallturm-Betriebsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"3.152,00"
ZARM Fallturm-Betriebsgesellschaft mbH,Fonds Wissenschaftliche Kongresse: COSPAR 2010,2009,2011,,"400.000,00"
ZARM Fallturm-Betriebsgesellschaft mbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2012,,"10.000,00",
ZARM Fallturm-Betriebsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"5.538,00"
ZARM Fallturm-Betriebsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"6.000,00"
ZARM Fallturm-Betriebsgesellschaft mbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Untersuchung der Selbstzündung von Bio-Kerosin für Stickoxid
arme Verbrennung (BTL-Kerosin)",2009,,"232.000,00",
ZARM Fallturm-Betriebsgesellschaft mbH,"Fonds Wissenschaftliche Kongresse: Bewerbung um die
Ausrichtung des IAC Kongresses 2017",2014,,"96.685,00",
42 life sciences GmbH & Co KG,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): WT-Unterdrückung",2011,,"98.300,00",
42 life sciences GmbH & Co KG,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Tumor-Material",2011,,"52.200,00",
