A70367,EAKR,Linjahankinta,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,2.9.2014,30.5.2015,FEELIA OY,32960,26545,32960,26545,,;
A70368,EAKR,Koxmatic Oy:n ja sen tuotteiden kehitys sekä kaupallistaminen.,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,6.6.2014,30.11.2016,KOXMATIC OY,45620,4580,45620,4580,,;
A70369,EAKR,Ruostumattoman kokonaisuuden tuotannollistaminen,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,17.10.2014,31.7.2016,PYHÄJOEN TERÄSPINTA OY,42700,0,42700,0,,;
A70370,EAKR,Lapin Kullan alueen kehittäminen matkailu- ja elämyskeskukseksi,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,20.10.2014,29.2.2016,ARCTIC PROPERTY OY,50050,48685,50050,48685,,;
A70371,EAKR,CADS-ohjelmisto,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,18.10.2014,31.12.2015,SAVON AUTOMAATIO OY,4280,3515,4280,3515,,;
A70372,EAKR,Proxocon Oy Kannonkosken tehtaan tuotantokoneiston modernisointi ja koko toiminnan kansainvälistäminen,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,4.7.2014,30.11.2015,PROXOCON OYPROXOCON OY,51950,41914,51950,41914,,;
A70373,EAKR,Paalumedia Oy:n koneinvestoinnit,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,21.10.2014,31.8.2015,PAALUMEDIA OY,20440,9696,20440,9696,,;
A70374,EAKR,3D laserskannaus ja mallintaminen. ISO9001,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,25.2.2014,30.6.2016,OY ESARI AB,88450,66701,88450,66701,,;
A70375,EAKR,Viiramikko Oy:n tuotannon laajennusinvestoinnit,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,22.10.2014,31.12.2015,VIIRAMIKKO OY,19250,19250,19250,19250,,;
A70376,EAKR,Kammi-investointi ja yrityksen sähköisen liiketoiminnan kehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,10.6.2014,30.8.2015,POLAR LIGHTS TOURS OY ROI,25290,24020,60290,24020,,;
A70377,EAKR,Aikaerotteisen Raman spektrometrin kansainvälistäminen ja kehitys,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,28.4.2014,31.1.2017,TIMEGATE INSTRUMENTS OY,86300,41973,86300,41973,,;
A70378,EAKR,Hotel Auroran liiketoiminnan ja tuotteiden kehittäminen |Hotel Auroran maisemahuoneet,1, Pohjois-Pohjanmaan elinkeino- liikenne- ja ympäristökeskus,Toiminnassa,292990,22.6.2016,HOTEL AURORA OY, ,292990,246104,292990, ,;
A70379,EAKR,Turbo Boost,2,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,25.4.2014,24.4.2016,RAKENNUS- JA METSÄPALVELUT PETÄJÄJÄRVI OYKOTAMOTOR,12760,12641,12760,12641,,;
A70380,EAKR,Laajarunkoinen painepesudesinfiointikone suurille astioille ja pestäville tuotteille,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,23.10.2014,31.12.2016,FINLEAD OY,104050,27039,104050,27039,,;
A70381,EAKR,Internet on-line myynnin kehittäminen,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,14.7.2014,30.9.2015,NAPAPIIRIN LAHJA OY,6750,2896,6750,2896,,;
A70382,EAKR,Vauhti Speed Oy:n tuotteiden ja kansainvälistymisvalmiuksien kehittäminen,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,24.10.2014,31.12.2016,VAUHTI SPEED OY,345620,135702,345620,135702,,;
A70383,EAKR,Voimakkaan kasvun mahdollistaminen,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,2.4.2014,31.12.2015,M-LEVY OY,52570,29060,52570,29060,,;
A70384,EAKR,Uuden liiketoiminta-alueen käyntiinajo,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,27.10.2014,31.12.2015,KANTOJÄRVEN METALLI OY,43500,14402,43500,14402,,;
