Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
Roto Frank Austria GmbH,Innovationsdienstleistung für Unternehmen,"23.672,40",A
ROTOWASH Reinigungsmaschinenfabrik GmbH,Innovationsdienstleistung für Unternehmen,"2.940,00",A
ROW Regionalmanagement Obersteiermark West GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"38.892,33",A
ROW Regionalmanagement Obersteiermark West GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"80.000,00",G
ROW Regionalmanagement Obersteiermark West GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"100.000,00",G
ROW Regionalmanagement Obersteiermark West GmbH.,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"81.494,31",A
RPD Rapid Product Development GmbH,Unternehmensinvestition mit Innovationsbezug,"269.854,52",G
Rubikon Werbeagentur GmbH,ESF cross-financing,"3.144,00",A
Rubikon Werbeagentur GmbH,ESF cross-financing,"5.040,00",A
Rubikon Werbeagentur GmbH,Innovationsdienstleistung für Unternehmen,"8.200,00",A
Rubikon Werbeagentur GmbH,Innovationsdienstleistung für Unternehmen,"6.160,00",A
Rubikon Werbeagentur GmbH,Innovationsdienstleistung für Unternehmen,"4.593,76",A
RUBNER HOLZINDUSTRIE Gesellschaft m. b. H.,Unternehmensinvestition mit Innovationsbezug,"337.228,54",A
Rudolf Gutmann u. Sohn GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.240,00",A
Rudolf Gutmann u. Sohn GmbH & Co KG,ESF cross-financing,"18.480,00",A
Rudolf Gutmann u. Sohn GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"5.760,00",A
RUKU GmbH Schraubengroßhandel & Befestigungstechnik,ESF cross-financing,"8.190,00",A
RUKU GmbH Schraubengroßhandel & Befestigungstechnik,ESF cross-financing,"3.600,00",A
RUKU GmbH Schraubengroßhandel & Befestigungstechnik,Innovationsdienstleistung für Unternehmen,"5.390,00",A
RUPO Fenstersysteme GmbH,Innovationsdienstleistung für Unternehmen,"13.500,00",A
RUPO Fenstersysteme GmbH,Innovationsdienstleistung für Unternehmen,"5.040,00",A
S.O.L.I.D. Gesellschaft für Solarinstallation und Design GmbH,Innovationsdienstleistung für Unternehmen,"9.000,00",A
Sackl Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"11.421,90",A
Saint-Gobain Rigips Austria GesmbH,Innovationsdienstleistung für Unternehmen,"8.000,00",A
Saint-Gobain Rigips Austria GesmbH,Innovationsdienstleistung für Unternehmen,"4.000,00",A
SAKO-STAHL Handels-Schneide-Biege- und Verlegungsgesellschaft mbH,Unternehmensinvestition mit Innovationsbezug,"75.000,00",A
Salex GmbH,Innovationsdienstleistung für Unternehmen,"5.292,30",A
Salex GmbH,Innovationsdienstleistung für Unternehmen,"5.345,24",A
Salex GmbH,Innovationsdienstleistung für Unternehmen,"5.345,24",A
Salex GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"21.382,86",A
Salomon Automation Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.985,00",A
Sandor Winterstein Consulting & Technology e.U.,Innovationsdienstleistung für Unternehmen,"1.150,00",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"16.320,00",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"40.443,00",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"14.256,20",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"44.324,84",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"33.698,61",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"44.316,81",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"22.655,47",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"1.435,00",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"4.480,00",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"3.465,17",A
Sandvik Mining and Construction GmbH,Investition - Erneuerbare Energien,"71.208,00",A
Sandvik Mining and Construction Materials Handling GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"4.491,00",A
Sackl Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"11.421,90",A
Saint-Gobain Rigips Austria GesmbH,Innovationsdienstleistung für Unternehmen,"8.000,00",A
Saint-Gobain Rigips Austria GesmbH,Innovationsdienstleistung für Unternehmen,"4.000,00",A
SAKO-STAHL Handels-Schneide-Biege- und Verlegungsgesellschaft mbH,Unternehmensinvestition mit Innovationsbezug,"75.000,00",A
Salex GmbH,Innovationsdienstleistung für Unternehmen,"5.292,30",A
Salex GmbH,Innovationsdienstleistung für Unternehmen,"5.345,24",A
Salex GmbH,Innovationsdienstleistung für Unternehmen,"5.345,24",A
Salex GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"21.382,86",A
Salomon Automation Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.985,00",A
Sandor Winterstein Consulting & Technology e.U.,Innovationsdienstleistung für Unternehmen,"1.150,00",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"16.320,00",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"40.443,00",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"14.256,20",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"44.324,84",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"33.698,61",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"44.316,81",A
Sandvik Mining and Construction G.m.b.H.,ESF cross-financing,"22.655,47",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"1.435,00",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"4.480,00",A
Sandvik Mining and Construction G.m.b.H.,Innovationsdienstleistung für Unternehmen,"3.465,17",A
Sandvik Mining and Construction GmbH,Investition - Erneuerbare Energien,"71.208,00",A
Sandvik Mining and Construction Materials Handling GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"4.491,00",A
SanoCon Software GmbH,Innovationsdienstleistung für Unternehmen,"3.600,00",A
Sappi Austria Produktions-GmbH & Co. KG,Innovationsdienstleistung für Unternehmen,"16.000,00",A
Sappi Austria Produktions-GmbH & Co. KG,Innovationsdienstleistung für Unternehmen,"16.960,00",A
Sappi Austria Produktions-GmbH & Co. KG,Investition zur Verbesserung der Energieeffizienz,"898.499,00",G
Sappi Austria Produktions-GmbH & Co. KG,Investition zur Verbesserung der Energieeffizienz,"2.741.413,00",A
Sappi Austria Produktions-GmbH & Co. KG,Investition zur Verbesserung der Energieeffizienz,"133.500,00",A
Saubermacher Dienstleistungs-Aktiengesellschaft,Unternehmensinvestition mit Innovationsbezug,"340.775,26",G
Saubermacher Dienstleistungs-Aktiengesellschaft,ESF cross-financing,"11.564,40",A
Saubermacher Dientsleitungs- Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"190.657,00",A
Saubermacher Dientsleitungs- Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"27.462,86",A
Saubermacher Dientsleitungs- Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"171.703,00",A
SBO Consulting GmbH,ESF cross-financing,"4.500,00",A
SBO Consulting GmbH,Innovationsdienstleistung für Unternehmen,"300,00",A
sbüll engineering GmbH,Innovationsdienstleistung für Unternehmen,"10.000,00",A
SC & C Software Communication & Consulting GmbH & Co KG,ESF cross-financing,"492,00",A
Schabauer GmbH,Innovationsdienstleistung für Unternehmen,"8.400,00",A
Schachnerhaus GmbH,Innovationsdienstleistung für Unternehmen,"6.790,00",A
Schachnerhaus GmbH,Innovationsdienstleistung für Unternehmen,"15.600,00",A
Schaden Lebensräume GmbH,Innovationsdienstleistung für Unternehmen,"18.000,00",A
Schaffer Sägewerk-Holzexport GmbH,ESF cross-financing,"4.800,00",A
Schanes Montagen GesmbH,Innovationsdienstleistung für Unternehmen,"3.976,64",A
Schaufler GmbH,Unternehmensinvestition mit Innovationsbezug,"242.117,98",A
Scheibelhofer GmbH & Co. KG,Betriebliches Forschungs- und Entwicklungsprojekt,"111.105,00",A
Sappi Austria Produktions-GmbH & Co. KG,Innovationsdienstleistung für Unternehmen,"16.000,00",A
Sappi Austria Produktions-GmbH & Co. KG,Innovationsdienstleistung für Unternehmen,"16.960,00",A
Sappi Austria Produktions-GmbH & Co. KG,Investition zur Verbesserung der Energieeffizienz,"898.499,00",G
Sappi Austria Produktions-GmbH & Co. KG,Investition zur Verbesserung der Energieeffizienz,"2.741.413,00",A
Sappi Austria Produktions-GmbH & Co. KG,Investition zur Verbesserung der Energieeffizienz,"133.500,00",A
Saubermacher Dienstleistungs-Aktiengesellschaft,Unternehmensinvestition mit Innovationsbezug,"340.775,26",G
Saubermacher Dienstleistungs-Aktiengesellschaft,ESF cross-financing,"11.564,40",A
Saubermacher Dientsleitungs- Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"190.657,00",A
Saubermacher Dientsleitungs- Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"27.462,86",A
Saubermacher Dientsleitungs- Aktiengesellschaft,Betriebliches Forschungs- und Entwicklungsprojekt,"171.703,00",A
SBO Consulting GmbH,ESF cross-financing,"4.500,00",A
SBO Consulting GmbH,Innovationsdienstleistung für Unternehmen,"300,00",A
sbüll engineering GmbH,Innovationsdienstleistung für Unternehmen,"10.000,00",A
SC & C Software Communication & Consulting GmbH & Co KG,ESF cross-financing,"492,00",A
Schabauer GmbH,Innovationsdienstleistung für Unternehmen,"8.400,00",A
Schachnerhaus GmbH,Innovationsdienstleistung für Unternehmen,"6.790,00",A
Schachnerhaus GmbH,Innovationsdienstleistung für Unternehmen,"15.600,00",A
Schaden Lebensräume GmbH,Innovationsdienstleistung für Unternehmen,"18.000,00",A
Schaffer Sägewerk-Holzexport GmbH,ESF cross-financing,"4.800,00",A
Schanes Montagen GesmbH,Innovationsdienstleistung für Unternehmen,"3.976,64",A
Schaufler GmbH,Unternehmensinvestition mit Innovationsbezug,"242.117,98",A
Scheibelhofer GmbH & Co. KG,Betriebliches Forschungs- und Entwicklungsprojekt,"111.105,00",A
Scherf GmbH & Co KG,Unternehmensinvestition mit Innovationsbezug,"244.541,86",A
Scheucher Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"51.800,00",A
Scheucher Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"9.999,66",A
Scheucher Holzindustrie GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"801.443,06",A
Scheucher Holzindustrie GmbH,Unternehmensinvestition mit Innovationsbezug,"876.480,00",A
Schirie Kundendienst und VertriebsgesmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
Schirnhofer Gesellschaft m.b.H.,ESF cross-financing,"84.036,94",A
Schirnhofer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"10.003,50",A
Schmidbauer - Druck Gesellschaft m. b. H.,Innovationsdienstleistung für Unternehmen,"11.592,00",A
Schmidbauer - Druck Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"118.340,22",A
Schmiedhofer Metallbau GmbH,ESF cross-financing,"4.926,02",A
Schmiedhofer Metallbau GmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
Schranger Gesellschaft m.b.H.,ESF cross-financing,"2.970,00",A
Schranger Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"12.528,00",A
"Schwesterngemeinschaft des Deutschen Ordens- Gesundheitstherme und
Kuranstalt Wildbad Einöd",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"10.000,00",A
SCOTTY Group Austria GmbH,Innovationsdienstleistung für Unternehmen,"38.340,00",A
Sebring Technology GmbH,ESF cross-financing,"5.164,96",A
Sebring Technology GmbH,ESF cross-financing,"10.816,40",A
SEC Sustainable Energy Concepts GmbH,Innovationsdienstleistung für Unternehmen,"100.000,00",A
SECAR Technologie GmbH,Innovationsdienstleistung für Unternehmen,"20.250,00",A
SECAR Technologie GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"319.989,78",A
Secar Technologie GmbH,ESF cross-financing,"14.594,30",A
SECAR Technologie GmbH,ESF cross-financing,"9.540,50",A
Scheucher Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"51.800,00",A
Scheucher Holzindustrie GmbH,Innovationsdienstleistung für Unternehmen,"9.999,66",A
Scheucher Holzindustrie GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"801.443,06",A
Scheucher Holzindustrie GmbH,Unternehmensinvestition mit Innovationsbezug,"876.480,00",A
Schirie Kundendienst und VertriebsgesmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
Schirnhofer Gesellschaft m.b.H.,ESF cross-financing,"84.036,94",A
Schirnhofer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"10.003,50",A
Schmidbauer - Druck Gesellschaft m. b. H.,Innovationsdienstleistung für Unternehmen,"11.592,00",A
Schmidbauer - Druck Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,"118.340,22",A
Schmiedhofer Metallbau GmbH,ESF cross-financing,"4.926,02",A
Schmiedhofer Metallbau GmbH,Innovationsdienstleistung für Unternehmen,"825,04",A
Schranger Gesellschaft m.b.H.,ESF cross-financing,"2.970,00",A
Schranger Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"12.528,00",A
"Schwesterngemeinschaft des Deutschen Ordens- Gesundheitstherme und
Kuranstalt Wildbad Einöd",Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"10.000,00",A
SCOTTY Group Austria GmbH,Innovationsdienstleistung für Unternehmen,"38.340,00",A
Sebring Technology GmbH,ESF cross-financing,"5.164,96",A
Sebring Technology GmbH,ESF cross-financing,"10.816,40",A
SEC Sustainable Energy Concepts GmbH,Innovationsdienstleistung für Unternehmen,"100.000,00",A
SECAR Technologie GmbH,Innovationsdienstleistung für Unternehmen,"20.250,00",A
SECAR Technologie GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"319.989,78",A
Secar Technologie GmbH,ESF cross-financing,"14.594,30",A
SECAR Technologie GmbH,ESF cross-financing,"9.540,50",A
SECAR Technologie GmbH,ESF cross-financing,"5.070,56",A
Secar Technologie GmbH,Innovationsdienstleistung für Unternehmen,"1.400,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"11.456,88",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"15.520,00",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"12.694,78",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"2.700,00",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"14.577,22",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"15.677,89",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"7.556,09",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"5.541,49",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"1.120,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"14.850,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"37.575,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"1.155,06",A
Semmernegg Möbelwerkstätten GmbH,Innovationsdienstleistung für Unternehmen,"18.360,00",A
SEPERO Korrosionsschutz GmbH,ESF cross-financing,"2.370,00",A
SEPERO Korrosionsschutz GmbH,Innovationsdienstleistung für Unternehmen,"6.440,00",A
Siblik Elektrik Gesellschaft m.b.H. & Co.KG,ESF cross-financing,"1.200,00",A
Siemens Aktiengesellschaft Österreich,Unternehmensinvestition mit Forschungs-/Technologiebezug,"600.000,00",A
Siemens Aktiengesellschaft Österreich,Unternehmensinvestition mit Innovationsbezug,"1.477.605,64",A
Siemens Aktiengesellschaft Österreich,Unternehmensinvestition mit Forschungs-/Technologiebezug,"293.164,72",A
Silgan Metal Packaging Mitterdorf GmbH,ESF cross-financing,"12.514,09",A
SECAR Technologie GmbH,ESF cross-financing,"5.070,56",A
Secar Technologie GmbH,Innovationsdienstleistung für Unternehmen,"1.400,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"11.456,88",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"15.520,00",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"12.694,78",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"2.700,00",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"14.577,22",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"15.677,89",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"7.556,09",A
Seidel Elektronik GmbH Nfg. KG,ESF cross-financing,"5.541,49",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"1.120,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"14.850,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"37.575,00",A
Seidel Elektronik GmbH Nfg. KG,Innovationsdienstleistung für Unternehmen,"1.155,06",A
Semmernegg Möbelwerkstätten GmbH,Innovationsdienstleistung für Unternehmen,"18.360,00",A
SEPERO Korrosionsschutz GmbH,ESF cross-financing,"2.370,00",A
SEPERO Korrosionsschutz GmbH,Innovationsdienstleistung für Unternehmen,"6.440,00",A
Siblik Elektrik Gesellschaft m.b.H. & Co.KG,ESF cross-financing,"1.200,00",A
Siemens Aktiengesellschaft Österreich,Unternehmensinvestition mit Forschungs-/Technologiebezug,"600.000,00",A
Siemens Aktiengesellschaft Österreich,Unternehmensinvestition mit Innovationsbezug,"1.477.605,64",A
Siemens Aktiengesellschaft Österreich,Unternehmensinvestition mit Forschungs-/Technologiebezug,"293.164,72",A
Silgan Metal Packaging Mitterdorf GmbH,ESF cross-financing,"12.514,09",A
Silgan Metal Packaging Mitterdorf GmbH,Innovationsdienstleistung für Unternehmen,"560,00",A
singleCELLdimensions Genetics for Life GmbH,Innovationsdienstleistung für Unternehmen,"58.238,12",A
SinusPro GmbH,Innovationsdienstleistung für Unternehmen,"1.875,00",A
SinusPro GmbH,Innovationsdienstleistung für Unternehmen,"8.100,00",A
SinusPro GmbH,Innovationsdienstleistung für Unternehmen,"3.152,00",A
SIS Security Gebäudetechnik GmbH,Innovationsdienstleistung für Unternehmen,"2.937,50",A
SKF Sealing Solutions Austria GmbH,Unternehmensinvestition mit Innovationsbezug,"379.252,37",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"26.236,57",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"28.260,61",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"6.738,14",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"11.498,02",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"10.053,89",A
SKF Sealing Solutions Austria GmbH,Innovationsdienstleistung für Unternehmen,"2.240,00",A
SKF Sealing Solutions Austria GmbH,Innovationsdienstleistung für Unternehmen,"1.155,06",A
SLR Engineering GmbH,Innovationsdienstleistung für Unternehmen,"5.000,00",A
SLR Engineering GmbH,Innovationsdienstleistung für Unternehmen,"2.520,00",A
smaXtec animal care sales GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"21.525,00",A
SMB Industrieanlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"4.500,00",A
softwert e.U.,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.046,96",A
Solvion information management GmbH,ESF cross-financing,"13.092,78",A
Solvion information management GmbH,ESF cross-financing,"9.178,70",A
Solvion information management GmbH & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"59.232,33",A
Sound & Vision Elektrohandels GmbH,Innovationsdienstleistung für Unternehmen,"7.125,00",A
singleCELLdimensions Genetics for Life GmbH,Innovationsdienstleistung für Unternehmen,"58.238,12",A
SinusPro GmbH,Innovationsdienstleistung für Unternehmen,"1.875,00",A
SinusPro GmbH,Innovationsdienstleistung für Unternehmen,"8.100,00",A
SinusPro GmbH,Innovationsdienstleistung für Unternehmen,"3.152,00",A
SIS Security Gebäudetechnik GmbH,Innovationsdienstleistung für Unternehmen,"2.937,50",A
SKF Sealing Solutions Austria GmbH,Unternehmensinvestition mit Innovationsbezug,"379.252,37",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"26.236,57",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"28.260,61",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"6.738,14",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"11.498,02",A
SKF Sealing Solutions Austria GmbH,ESF cross-financing,"10.053,89",A
SKF Sealing Solutions Austria GmbH,Innovationsdienstleistung für Unternehmen,"2.240,00",A
SKF Sealing Solutions Austria GmbH,Innovationsdienstleistung für Unternehmen,"1.155,06",A
SLR Engineering GmbH,Innovationsdienstleistung für Unternehmen,"5.000,00",A
SLR Engineering GmbH,Innovationsdienstleistung für Unternehmen,"2.520,00",A
smaXtec animal care sales GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"21.525,00",A
SMB Industrieanlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"4.500,00",A
softwert e.U.,Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.046,96",A
Solvion information management GmbH,ESF cross-financing,"13.092,78",A
Solvion information management GmbH,ESF cross-financing,"9.178,70",A
Solvion information management GmbH & Co KG,Betriebliches Forschungs- und Entwicklungsprojekt,"59.232,33",A
Sound & Vision Elektrohandels GmbH,Innovationsdienstleistung für Unternehmen,"7.125,00",A
Spari Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"3.600,00",A
Spätauf Gesellschaft m.b.H.,ESF cross-financing,"5.760,00",A
Spätauf Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.887,50",A
Spath Micro Electronic Design GmbH,Innovationsdienstleistung für Unternehmen,"16.025,20",A
Spes Kraftfahrzeugtechnik GmbH,Innovationsdienstleistung für Unternehmen,"8.000,00",A
"Spezialwerkstätte, Niederlage u. Vertrieb, Waagen, Gewichte, Josef
Frühwirth Gesellschaft m.b.H.",Innovationsdienstleistung für Unternehmen,"4.000,00",A
Spielo International Austria GmbH,Projekt im Bereich Informations- und Kommunikationstechnologien,"282.500,00",A
Spitzer GesmbH,ESF cross-financing,"33.774,00",A
Spitzer GesmbH,Innovationsdienstleistung für Unternehmen,"9.062,50",A
Spitzer GesmbH,Innovationsdienstleistung für Unternehmen,"6.480,00",A
Spörk & Strauß GmbH,Innovationsdienstleistung für Unternehmen,"3.300,00",A
Spörk & Strauß GmbH,ESF cross-financing,"1.680,00",A
Spörk & Strauß GmbH,Innovationsdienstleistung für Unternehmen,"4.387,50",A
Spraylight GmbH,Innovationsdienstleistung für Unternehmen,"5.000,00",A
SSC Anlagenbau GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"98.944,00",A
SSC Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
SSC Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"3.735,00",A
Stadgemeinde Leoben,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"44.000,00",G
Stadgemeinde Leoben,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"35.200,00",A
Stadt Graz - Abteilung für Verkehrsplanung,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"23.472,00",A
Stadt Graz - Abteilung für Verkehrsplanung,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"219.905,93",A
Stadt Graz - Abteilung für Verkehrsplanung,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"107.389,61",A
Stadt Graz - Abteilung für Wirtschafts- und Tourismusentwicklung,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"214.537,73",A
Spätauf Gesellschaft m.b.H.,ESF cross-financing,"5.760,00",A
Spätauf Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"2.887,50",A
Spath Micro Electronic Design GmbH,Innovationsdienstleistung für Unternehmen,"16.025,20",A
Spes Kraftfahrzeugtechnik GmbH,Innovationsdienstleistung für Unternehmen,"8.000,00",A
"Spezialwerkstätte, Niederlage u. Vertrieb, Waagen, Gewichte, Josef
Frühwirth Gesellschaft m.b.H.",Innovationsdienstleistung für Unternehmen,"4.000,00",A
Spielo International Austria GmbH,Projekt im Bereich Informations- und Kommunikationstechnologien,"282.500,00",A
Spitzer GesmbH,ESF cross-financing,"33.774,00",A
Spitzer GesmbH,Innovationsdienstleistung für Unternehmen,"9.062,50",A
Spitzer GesmbH,Innovationsdienstleistung für Unternehmen,"6.480,00",A
Spörk & Strauß GmbH,Innovationsdienstleistung für Unternehmen,"3.300,00",A
Spörk & Strauß GmbH,ESF cross-financing,"1.680,00",A
Spörk & Strauß GmbH,Innovationsdienstleistung für Unternehmen,"4.387,50",A
Spraylight GmbH,Innovationsdienstleistung für Unternehmen,"5.000,00",A
SSC Anlagenbau GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"98.944,00",A
SSC Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
SSC Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"3.735,00",A
Stadgemeinde Leoben,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"44.000,00",G
Stadgemeinde Leoben,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"35.200,00",A
Stadt Graz - Abteilung für Verkehrsplanung,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"23.472,00",A
Stadt Graz - Abteilung für Verkehrsplanung,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"219.905,93",A
Stadt Graz - Abteilung für Verkehrsplanung,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"107.389,61",A
Stadt Graz - Abteilung für Wirtschafts- und Tourismusentwicklung,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"214.537,73",A
Stadt Graz - Amt für Wirtschafts- und Tourismusentwicklung,Projekt im Bereich Standortentwicklung,"220.969,38",A
Stadt Graz - Straßenamt,Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"642.913,42",G
"Stadt Graz, A10 Stadtbaudirektion",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"417.489,31",A
"Stadt Graz, A10 Stadtbaudirektion",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"543.000,00",A
"Stadt Graz, A10/5 Abteilung für Grünraum und Gewässer",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"417.002,08",A
"Stadt Graz, A13 Sportamt",Investition zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"387.721,99",A
"Stadt Graz, A14  Stadtplanungsamt",Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"94.908,00",A
"Stadt Graz, A23 Umweltamt",Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"35.373,70",A
"Stadt Graz, Stadtbaudirektion, Ref. Für EU-Programme u. internationale
Kooperation","Projekt zur Vorbereitung, Durchführung, Begleitung und Kontrolle des
Programms","280.000,00",G
