Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
Annikki GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"1.060.601,91",A
ANTEMO Anlagen & Teilefertigung GmbH,Innovationsdienstleistung für Unternehmen,"2.000,00",A
Anton Mayer GmbH,Innovationsdienstleistung für Unternehmen,"2.520,00",A
Anton Paar GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"1.432.560,00",G
ANTS  e.U.,Innovationsdienstleistung für Unternehmen,"1.418,29",A
ANTS  e.U.,Innovationsdienstleistung für Unternehmen,"5.555,00",A
AP - Technics - Treml OEG,Innovationsdienstleistung für Unternehmen,"3.591,00",A
apb Apparatebau Schweißtechnik GmbH,ESF cross-financing,"7.521,15",A
apb Apparatebau Schweißtechnik GmbH,Innovationsdienstleistung für Unternehmen,"577,53",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.350,00",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,ESF cross-financing,"2.310,00",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,ESF cross-financing,"7.936,00",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"12.000,00",A
ANDRITZ HYDRO GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"533.024,77",G
Andy Wolf Fashion GmbH,Innovationsdienstleistung für Unternehmen,"77.798,90",A
Andy Wolf Fashion GmbH,Innovationsdienstleistung für Unternehmen,"37.920,00",A
Andy Wolf Fashion GmbH,Innovationsdienstleistung für Unternehmen,"3.840,00",A
Anker-Datentechnik Gesellschaft m.b.H.,ESF cross-financing,"22.320,00",A
Anker-Datentechnik Gesellschaft m.b.H.,ESF cross-financing,"8.672,40",A
Anker-Datentechnik Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Anker-Datentechnik Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"11.943,00",A
Annikki GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"741.779,00",A
Annikki GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"1.060.601,91",A
ANTEMO Anlagen & Teilefertigung GmbH,Innovationsdienstleistung für Unternehmen,"2.000,00",A
Anton Mayer GmbH,Innovationsdienstleistung für Unternehmen,"2.520,00",A
Anton Paar GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"1.432.560,00",G
ANTS  e.U.,Innovationsdienstleistung für Unternehmen,"1.418,29",A
ANTS  e.U.,Innovationsdienstleistung für Unternehmen,"5.555,00",A
AP - Technics - Treml OEG,Innovationsdienstleistung für Unternehmen,"3.591,00",A
apb Apparatebau Schweißtechnik GmbH,ESF cross-financing,"7.521,15",A
apb Apparatebau Schweißtechnik GmbH,Innovationsdienstleistung für Unternehmen,"577,53",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"4.350,00",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,ESF cross-financing,"2.310,00",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,ESF cross-financing,"7.936,00",A
Apomedica pharmazeutische Produkte Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Apparatebau-Schweißtechnik GmbH,ESF cross-financing,"14.314,88",A
Apparatebau-Schweißtechnik GmbH,Innovationsdienstleistung für Unternehmen,"2.336,28",A
APUS Software Gesellschaft m.b.H.,ESF cross-financing,"4.000,00",A
Aquatec Produktions- und Vertriebs GmbH,Innovationsdienstleistung für Unternehmen,"34.344,00",A
"Arbeitsgemeinschaft Erneuerbarer Energie Institut für Nachhaltige
Technologie (kurz AEE INTEC)",ESF cross-financing,"14.037,42",A
Arch. Dipl.-Ing. Paul Michael Pilz,ESF cross-financing,"989,40",A
Arch. Dipl.-Ing. Paul Michael Pilz,Innovationsdienstleistung für Unternehmen,"505,00",A
Ardealuh OG,Innovationsdienstleistung für Unternehmen,"2.933,60",A
AREA m styria GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"52.000,00",G
ARGE Elektromobilität Steiermark,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"40.600,00",A
ARGE Erdwärme GmbH,Innovationsdienstleistung für Unternehmen,"24.241,50",A
ARGE Erdwärme GmbH,Innovationsdienstleistung für Unternehmen,"23.400,00",A
ARGE Leibnitzer Feld West,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"29.880,00",A
ARGE RegionalCard Murtal,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"106.515,34",A
ARGE Rosenanbau und Verwertung,Projekt zur (integrierten) Entwicklung städtischer (und ländlicher) Gebiete,"21.168,00",A
"ARGE Science Fit vertreten durch TU Graz, Organisationseinheit
Forschungs- & Technologie (F&T)-Haus",Projekt im Bereich Technologietransfer / KMU-Kooperation,"736.130,00",G
"ARIAN Gesellschaft m.b.H., A REAL Liegenschaftsverwaltungs GmbH",Innovationsdienstleistung für Unternehmen,"40.320,00",A
"ARIAN Gesellschaft m.b.H., A REAL Liegenschaftsverwaltungs GmbH",Unternehmensinvestition mit Forschungs-/Technologiebezug,"1.215.191,95",A
Arian Gesellschaft m.b.H.; A REAL Liegenschaftsverwaltungs GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"451.563,25",A
Arland Gesellschaft f. Informationstechnologie mbH,Innovationsdienstleistung für Unternehmen,"5.492,32",A
Arnold Consulting e.U.,Innovationsdienstleistung für Unternehmen,"2.080,00",A
Arnold Consulting e.U.,Innovationsdienstleistung für Unternehmen,"1.560,00",A
Apparatebau-Schweißtechnik GmbH,Innovationsdienstleistung für Unternehmen,"2.336,28",A
APUS Software Gesellschaft m.b.H.,ESF cross-financing,"4.000,00",A
Aquatec Produktions- und Vertriebs GmbH,Innovationsdienstleistung für Unternehmen,"34.344,00",A
"Arbeitsgemeinschaft Erneuerbarer Energie Institut für Nachhaltige
Technologie (kurz AEE INTEC)",ESF cross-financing,"14.037,42",A
Arch. Dipl.-Ing. Paul Michael Pilz,ESF cross-financing,"989,40",A
Arch. Dipl.-Ing. Paul Michael Pilz,Innovationsdienstleistung für Unternehmen,"505,00",A
Ardealuh OG,Innovationsdienstleistung für Unternehmen,"2.933,60",A
AREA m styria GmbH,Maßnahme / Projekt zur Mobilisierung der regionalen Poteniale,"52.000,00",G
