Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Brzina puža,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Udruga roditelja djece s posebnim potrebama ""Put u život"" (75502271466)",Cilj projekta je pridonijeti ukupnim obrazovnim postignućima učenika s teškoćama u razvoju srednje obrazovne razine u skladu s njihovim potrebama i potrebama tržišta rada. Specifični ciljevi su povećanje kvalitete obrazovanja učenika s teškoćama u razvoju u COO Dubrava; stvaranje potrebnih preduvjeta za transformaciju COO Dubrava u centar izvrsnosti u edukaciji i rehabilitaciji učenika s teškoćama u razvoju te stručno usavršavanje kadra. Ciljna skupina su učenici s teškoćama u razvoju u Centru za odgoj i obrazovanje Dubrava.,31.08.2010,31.10.2011,"1.832.044,97 €","2.226.868,79 €"
Osposobljavanje na radnom mjestu za dugotrajno nezaposlene osobe s invaliditetom  - pilot projekt za pomoćne kuhare,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,URIHO - Ustanova za profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom (77931216562),"Cilj projekta je porast mogućnosti zapošljavanja osoba s invaliditetom kombinacijom različitih aktivnosti kao što su: po mjeri izrađeni programi osposobljavanja na radnom mjestu u simuliranom okolišu, obrazovanje, aktivnosti profesionalne rehabilitacije i integracije korisnika na tržište rada kroz radnu praksu kod poslodavca.",13.04.2015,13.04.2016,"943.891,84 €","998.827,33 €"
MOĆ PROMJENE MLADIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"UDRUGA ZA RAD S MLADIMA ""BREZA"" (66302045356)","Opći cilj projekta je pružiti podršku socijalnoj inkluziji djece i mladih s problemima u ponašanju putem razvoja učinkovitih socijalnih usluga baziranih na društvenoj zajednici u istočnoj Hrvatskoj. Specifično, ciljevi su osigurati redovitu i koordiniranu podršku djeci i mladima koji izlaze iz institucionalnih tretmana, kao i prevenciju institucionalizacije, putem razvoja njihovih kompetencija i vještina potrebnih za samostalni život i ulazak na tržište rada.",04.03.2014,04.09.2015,"1.263.772,09 €","1.411.247,47 €"
Regionalna suradnja u kozmetici – put k tržištu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prirodoslovna škola Vladimira Preloga (72166604204),"Opći cilj je povećati konkurentnost na tržištu rada ciljane skupine razvojem ključnih i drugih kompetencija u područjima kozmetike. Specifični ciljevi su povećati kompetencije nastavnika strukovnih škola i osposobiti ih za provođenje novih kratkih programa za obrazovanje odraslih, osposobiti VET nastavnike za izradu programa, verificirati programe i opremiti prostor. Ciljne skupine su 6 trenera za svaki od četiri programa i 40 nezaposlenih žena bilo kojeg zanimanja po regiji (Zagreb i Vukovar).",11.11.2010,11.11.2011,"1.232.444,79 €","1.456.618,33 €"
Energetska učinkovitost – KNX model,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Elektrostrojarska obrtnička škola (48544291322),"Opći cilj: učvrstiti uvođenje suvremenih i inovativnih sadržaja/obilježja u nastavu u strukovnim školama unutar postojećeg sustava strukovnog obrazovanja i osposobljavanja. Specifični cilj: razvoj i osiguranje sadržaja o energetskoj učinkovitosti za učenike strukovnih škola sukladno KNX protokolu. To će povećati njihovu relevantnost na tržištu rada i zadovoljiti potrebe gospodarstva zasnovanog na znanju, kao i utjecati na povećanje svijesti o održivom razvoju. Ciljne skupine: nastavnici, osoblje i učenici strukovnih škola. ",21.09.2012,21.09.2013,"967.455,91 €","1.330.019,14 €"
Nutricionistički centar izvrsnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prehrambeno-tehnološka škola Zagreb (63019353660),"Projektom se želi doprinijeti uvođenju modernog, održivog i fleksibilnog novog kurikuluma u znanosti o prehrani i tehnologijama koje imaju za svrhu usklađivanje s potrebama tržišta rada i zahtjevima prehrambene industrije, koji će biti usmjeren na učenika i temeljiti se na potrebama tržišta rada, zahtjevima industrije te biti usklađen sa zahtjevima EU. ",21.09.2012,21.09.2013,"1.309.579,00 €","1.958.981,32 €"
Eko vožnja je zakon!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Škola za cestovni promet-Zagreb (63422210966),"Opći cilj projekta je doprinijeti uvođenju modernih i inovativnih sadržaja u nastavu kao odgovor na potrebe tržišta rada i ekonomije. Specifični cilj je unapređivanje i modernizacija strukovnog obrazovanja stvaranjem preduvjeta za uvođenje novih sadržaja povezanih s eko vožnjom te zaštita okoliša. Ciljne skupine su učenici, nastavnici i instruktori sigurne i eko vožnje.",21.09.2012,21.09.2013,"1.155.777,65 €","1.311.446,33 €"
Jačanje komunikacijskih kompetencija učenika srednjih ekonomskih škola,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Ekonomska i trgovačka škola Dubrovnik (53031879715),"Opći cilj projekta je jačanje vještina učenika i  priprema za izradu i provedbu kurikuluma nove izvannastavne aktivnosti ""Govorništvo za poduzetništvo"". Ciljne skupine su nastavnici i učenici iz škole nositelja projekta i škola partnera te poslodavci lokalne zajednice.",21.09.2012,21.08.2013,"651.835,84 €","759.626,93 €"
Konkurentna mladež,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hotelijersko-turistička škola Opatija (88785560957),"Opći cilj projekta je educirati hrvatsku mladež koja radi u turističkom sektoru kako bi bila konkurentna na tržištu rada prema hrvatskim i europskim, obrazovnim i turističkim, razvojnim strategijama. Namjera projekta je pristupom usmjerenim na studenta, putem poslovnih simulacija potaknuti hrvatsko gospodarstvo (studenti će steći kompetencije koje su u skladu s trenutnim zahtjevima tržišta rada te digitalnu pismenost). Ciljne skupine su učenici i profesori škole nositelja projekta i partnerskih institucija. ",21.09.2012,21.09.2013,"990.159,38 €","1.286.255,35 €"
Medijska pismenost za 21. stoljeće,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Grafička škola u Zagrebu (39884669514),"Opći cilj: razvoj ključnih generičkih i strukovnih kompetencija potrebnih za ekonomiju znanja. Specifični  ciljevi: povećati kompetencije strukovnih nastavnika vezanih uz medijske programe, razviti nove metode učenja koje su potrebne za provedbu strukovnih programa i podići kapacitet škole u smislu pružanja praktičnih znanja iz područja korištenja suvremenih medijskih pomagla. Ciljne skupine: nastavnici grafičkog i audiovizualnog sektora, učenici grafičkog i audiovizualnog sektora strukovnih škola.",21.09.2012,21.09.2013,"1.355.304,10 €","1.454.501,07 €"
Usvajanje principa HKO-a u sustavu visokog obrazovanja u sektoru turizma,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Visoka poslovna škola Libertas (53610017022),"Opći cilj projekta je potpora razvoju i primjeni HKO-a u visokom obrazovanju, s naglaskom na turizam. Specifični ciljevi su razvoj kvalifikacijskih standarda u visokom obrazovanju u turističkom sektoru putem partnerstva s relevantnim dionicima, usklađivanje studijskih programa 4 visokoobrazovne institucije s načelima HKO-a, razvoj inovativnih elemenata edukacije u turizmu i hotelijerstvu.
Ciljne skupine su studenti i predavači iz 4 visokoobrazovne institucije, poslodavci i zaposlenici u turističkom sektoru, studenti različitih turističkih programa.
",27.06.2013,18.02.2015,"2.338.404,59 €","2.733.377,68 €"
Konkurentno hrvatsko visoko obrazovanje za bolju zapošljivost,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Agencija za znanost i visoko obrazovanje (83358955356),"Svrha projekta je doprinos razvoju i provedbi Hrvatskog kvalifikacijskog okvira i reformi visokog obrazovanja razvijajući nove kvalifikacijske standarde i programe u području informacijskih tehnologija i fizike pritom olakšavajući razvoj novih radnih mjesta i povećanje fleksibilnost radne snage. Specifični ciljevi su: razvijanje 6 standarda kvalifikacija i studijskih programa, koji uključuje razvoj ishoda učenja (LO) i kriterija ocjenjivanja i procedura, te uvođenje Priznavanja prethodnog učenja (RPL) kao integriranog dio HKO-a.",27.06.2013,18.02.2015,"3.029.297,11 €","4.109.193,00 €"
Razvoj visokoobrazovnih standarda kvalifikacija i studijskih programa na osnovama HKO-a za sektor industrijske prerade drva,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Sveučilište u Zagrebu, Fakultet šumarstva Zagreb (07699719217)","Opći cilj je unaprijediti visoko obrazovanje za bolje kvalifikacije i zapošljivost u sektoru drvne industrije.
Specifični ciljevi su razvoj i modernizacija kvalifikacijskih standarda, uvođenje međukurikularnih kompetencija, promocija cjeloživotnog učenja, poboljšanje procesa učenja uvođenjem nastave orijentirane na studenta i jačanjem kapaciteta nastavnog osoblja, te informiranje o primjeni principa HKO-a.
Ciljne skupine su profesori i studenti drvne tehnologije te poslodavci.
",27.06.2013,18.02.2015,"2.266.500,15 €","3.457.138,72 €"
Informatička znanja za uspješnu i kreativnu budućnost (ICT4SCF),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,OSNOVNA ŠKOLA EUGENA KUMIČIĆA (77224465704),"Opći cilj je uključivanje ICT kompetencija i digitalne pismenosti u kurikulume temeljenim na ishodima učenja u pet osnovnih škola. Specifični cilj je razvoj i modernizacija sustava i kvalifikacija i razvoj kurikuluma temeljenih na ishodima učenja kroz promociju cjeloživotnog učenja. Ciljne skupine: 1082 učenika iz osnovnih škola, 30 nastavnika informatike, 10 učenika iz strukovnih škola, osnovne škole.",27.06.2013,18.09.2014,"1.484.596,14 €","1.564.214,64 €"
Višejezično obrazovanje – unaprjeđenje učenja jezika i interkulturalnih vještina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Srednja škola Andrije Ljudevita Adamića (28865157685),Razvoj ključnih kompetencija kod mladih osoba u Primorsko-goranskoj županiji u skladu sa potrebama Hrvatskog kvalifikacijskog okvira kao i potreba tržišta rada na nacionalnoj/europskoj razini. Specifični cilj: povećati izloženost učenika gimnazije stranim jezicima prema CLIL principu. Ciljna skupina su učenici koji će biti uključeni u pilot implementaciju.,27.06.2013,18.02.2015,"1.609.193,42 €","1.696.030,20 €"
Stručnom potporom do obrazovanja za sve,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar inkluzivne potpore IDEM (22240978017),"Opći cilj projekta je jačanje inkluzivnog obrazovanja koje se planira postići ostvarenjem specifičnih ciljeva: uspostava sistema profesionalne podrške inkluzivnom obrazovanju u lokalnoj zajednici; povećanje komptenecija učitelja za rad s učenicima s poteškoćama; povećanje razine svijesti i znanja u vezi učinaka neposredne okoline na sveopću obrazovnu inkluziju učenika s poteškoćama. Ciljne skupine: nastavnici i koordinatori škola koje sudjeluju, učenici, profesionalni suradnici i roditelji. 
",21.08.2013,21.02.2015,"1.129.089,89 €","1.190.520,77 €"
Razvoj nacionalnog standarda kvalifikacije za učitelje kao podloge za uvođenje sustava licenciranja učitelja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Nacionalni centar za vanjsko vrednovanje obrazovanja (94833993984),"Opći cilj je daljnji razvoj HKO u sustavu obrazovanja stvaranjem nacionalnog kvalifikacijskog standarda za nastavnike. Specifični ciljevi su doprinijeti razvoju nacionalnih standarda kvalifikacija kao osnove za uvođenje sustava licenciranja, te doprinijeti razvoju ishoda učenja. Ciljne skupine su učiteljski fakulteti, nacionalne agencije i druge organizacije civilnog sektora na području kontinuiranog profesionalnog razvoja i agencije za osiguravanje kvalitete.",27.06.2013,18.02.2015,"1.766.221,02 €","2.576.168,33 €"
Sigurno do posla pod Dugom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Dom za djecu i odrasle - žrtve obiteljskog nasilja Duga-Zagreb (38198952349),Projekt će osposobiti ustanove socijalne skrbi za žrtve obiteljskog nasilja za pružanje in-house podrške dugotrajno nezaposlenim korisnicima u pristupu tržištu rada i postizanju ekonomske neovisnosti.,03.09.2013,03.12.2014,"753.662,10 €","837.681,56 €"
Centar za podršku u zapošljavanju osoba s intelektualnim teškoćama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar za rehabilitaciju Zagreb (32686631843),"Cilj ovog projekta je poboljšanje pristupa tržištu rada osobama s intelektualnim teškoćama kroz adekvatnu podršku i edukaciju radnih asistenata. Kroz taj projekt htjeli bi podignuti svijest o važnosti socijalnog uključivanja osoba s intelektualnim teškoćama, i podignuti svijest poslodavaca o zapošljavanju i pružanju mogućnosti za normalnim životom na koji svaki čovjek ima pravo bez obzira na svoja ograničenja.",25.03.2013,25.06.2014,"793.373,12 €","954.606,13 €"
Zadruga SDDH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,SAVEZ DRUŠTAVA DISTROFIČARA HRVATSKE (08465235935),"Projektom se kroz aktivnosti osnivanja zadruge SDDH i njezinog djelovanja, edukacije i zapošljavanja doprinosi zapošljavanju i socijalnoj integraciji osoba oboljelih od NMB u Republici Hrvatskoj. Putem postignutih partnerstva i suradnje na Projektu osnažit će se ne samo pripadnici ciljane skupine i njihove obitelji, već kroz rezultate, iskustva i nove metodologije pridonijet će se podizanju razine svijesti u društvu te otvoriti nove mogućnosti za daljnje ostvarivanje navedenih ciljeva.",05.04.2013,05.04.2014,"738.278,47 €","943.969,43 €"
Za vaše uključivanje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Hrvatski zavod za zapošljavanje, Područni ured Sisak (91547293790)","Opći cilj projekta je poboljšati socijalnu integraciju i integraciju osoba s invaliditetom na tržište rada. Navedeno će se ostvariti putem razvoja i provedbe prilagođenog programa stručnog osposobljavanja za stolara za osobe s invaliditetom kako bi stekli nova znanja i radna iskustva, uspostavom Dnevnog centra za osobe s invaliditetom i pružanjem rehabilitacijskih usluga kako bi se osnažili za zapošljavanje, uspostavom temelja za razvoj socijalnog poduzetništva kao modela zapošljavanja osoba s invaliditetom u Sisačko – moslavačkoj županiji.",12.11.2014,12.03.2016,"821.815,01 €","907.080,56 €"
Forum projektno intervencijsko-implementacijskog partnerstva (PIIP) za Lokalno partnerstvo za zapošljavanje Grada Zagreba – PIIP Forum ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut za razvoj tržišta rada (71692128259),Projekt ima za cilj povezivanje članova lokalnih partnerstava i druge dionike u sustavan proces razvoja koncepata projekata i projektnih partnerstava za provedbu mjera iz Strategije razvoja ljudskih potencijala Grada Zagreba - kroz PIIP Forum. Proces razvoja će biti prvenstveno usmjeren prema razvoju projekata koji će se moći prijaviti za financiranje natječaja (prvenstveno) iz fondova EU-a u periodu 2015. – 2017. ,08.12.2014,08.08.2016,"229.309,64 €","241.607,49 €"
Wings Project (Projekt – Krila) - Regionalni centar za provođenje specijalističkog obrazovanja za zračne luke,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Zračna luka Zagreb d.o.o (60482636839),"Opći cilj projekta je doprinijeti zapošljavanju nezaposlenih osoba s diplomom zračnog prometa putem stjecanja specifičnih znanja, u skladu s potreba tržišta rada. Navedeno se planira učiniti kroz jačanje kompetencija i konkurentnosti nezaposlenih osoba, unutar njihove profesionalne domene.",06.12.2013,06.12.2014,"1.026.622,47 €","1.346.213,66 €"
Črnkas - Črnomerec poslovni klub ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Grad Zagreb (61817894937),"Uspostavom Črnkas poslovnog kluba osnažit će se 120 mladih nezaposlenih ljudi s područja Grada Zagreba za integraciju na tržište rada. Ekspertni tim projekta pratit će mlade kroz cikluse radionica generičkih vještina i osnaživanja te ih kroz proces aktivnog traženja posla prirediti za uključivanje na tržište rada. Inovativnim pristupom kratkih intervjua s mogućim poslodavcima kroz tzv. speed dating, mladima će se omogućiti i iskustvo razgovora za posao te mentoriranje od strane ljudi zaduženih za ljudske potencijale u tim tvrtkama.  ",25.02.2015,25.05.2016,"521.137,78 €","562.540,81 €"
Nove vještine danas za posao sutra,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,CENTAR MLADIH 'RIBNJAK' (45058007791),Cilj projekta Centra mladih Ribnjak je smanjiti nezaposlenost mladih u gradu Zagrebu budući da je Zagreb grad s najvećom brojem nezaposlenih mladih ljudi u Hrvatskoj. Cilj će biti ostvaren unapređenjem specifičnih vještina i povećanjem njihove motivacije za proaktivni pristup zapošljavanju i motivacije za cieloživotno učenje te kroz poboljšanu direktnu komunikaciju s poslodavcima i osigurano praktično iskustvo.,12.07.2011,12.07.2012,"697.867,39 €","821.020,51 €"
„Pripremite se za posao“ – lokalna inicijativa razvoja zapošljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Tecumviva društvo s ograničenom odgovornošću za usluge (20110794859),"Opći cilj projekta je poticanje zapošljavanja mladih nezaposlenih osoba u dobi od 18 do 35 godina u Gradu Zagrebu i okolici, putem inovativnih on-line programa potpore zapošljavanju. Tijekom projekta razvit će se web platforma za e-učenje i osnovati 21 on-line klub za potporu zapošljavanju, sa svrhom pripreme mladih nezaposlenih osoba za kvalitetan ulazak na tržište rada i povećanje njihove šanse za zapošljavanje.",18.02.2015,18.07.2016,"618.091,42 €","686.158,39 €"
Potpora socijalnoj uključenosti i integraciji na tržište rada žena koje su preživjele obiteljsko nasilje te druge oblike rodno uvjetovanog nasilja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,AUTONOMNA ŽENSKA KUĆA ZAGREB - ŽENE PROTIV NASILJA NAD ŽENAMA (25904655993),"Opći cilj projekta je poboljšanje socijalne uključenosti nezaposlenih žena koje su preživjele rodno uvjetovano nasilje, odnosno njihova priprema i osnaživanje za zaposlenje i integraciju na tržište rada, te stvaranje odgovarajućeg programa kojeg je moguće replicirati. Navedeno će se ostvariti kroz analizu stanja i ranjivih skupina, direktnu pomoć kroz osnaživanje ranjivih skupina, dijeljenje informacija te izgradnju kapaciteta i podizanje svijesti.",03.12.2010,03.12.2011,"861.610,28 €","1.013.778,44 €"
Vrata prema tržištu rada za društveno marginalizirane skupine ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Centar za civilne inicijative (39316442148),"Ciljevi projekta su organizirati strukovno obrazovanje za nezaposlene osobe prijavljene pri Zavodu za zapošljavanje u Sisku i Karlovcu u okviru tri ponuđene vrste obuke a to su računalno osposobljavanje, ekološka poljoprivreda i organizator ruralnog turizma. Ciljna skupina su 65 nezaposlenih osoba s područja Sisačko-moslavačke i Karlovačke županije.",03.12.2010,03.12.2011,"599.078,05 €","704.797,68 €"
Žene na tržištu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Hrvatski zavod za zapošljavanje (91547293790),"Cilj ovog projekta je povećati zapošljivost žena u nepovoljnom položaju i pružiti im pomoć pri ulasku na tržište rada kroz razvoj rodno osjetljive i po mjeri izrađene aktivne mjere tržišta rada i nove metode rada, kao i jačanje kapaciteta Hrvatskog zavoda za zapošljavanje i centara za socijalnu skrb u pružanju novih metoda rada za ugrožene skupine žena.",26.02.2009,22.08.2012,"6.675.079,95 €","6.675.079,95 €"
Višerazinska podrška promociji socijalnog uključivanja i zapošljavanja osoba s posebnim potrebama te marginaliziranih skupina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,"""ĆAKULA KROZ ŽIVOT"" Split (74676678754)",Cilj projekta je promocija socijalnog uključivanja i zapošljavanja dugotrajno nezaposlenih osoba s posebnim potrebama te marginaliziranih skupina jačanjem njihovog pristupa tržištu rada na području Republike Hrvatske.,03.12.2010,03.12.2011,"818.631,50 €","963.095,85 €"
Zajedno smo jači – Pakt za zapošljavanje – „STEP“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Ženska grupa Karlovac „KORAK“ (18417943057),"Cilj projekta je uspostaviti sustav suradnje između dionika na tržištu rada  iz javnog, privatnog i civilnog sektora kako bi se poboljšala zapošljivost i zaposlenost žena kroz stjecanje radnog iskustva. Aktivnosti projekta uključuju mobilizaciju glavnih dionika u pronalaženju rješenja i mjera za poboljšanje položaja žena na regionalnom tržištu rada. Rezultati će voditi ka petogodišnjoj strategiji za zapošljavanje žena u Karlovačkoj županiji i dvogodišnjem akcijskom planu s konkretnim mjerama.",16.11.2010,16.11.2011,"980.587,55 €","1.153.632,43 €"
AQUA-AGRO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Prirodoslovna škola Karlovac (78360781271),"Opći cilj je jačanje kapaciteta ustanova za obrazovanje odraslih stvaranjem novih programa osposobljavanja kroz razvoj mreže znanja i razmjene iskustava. Specifični cilj je uspostavljanje Prirodoslovne Škole Karlovac kao centra izvrsnosti kreiranjem novih programa osposobljavanja u području slatkovodnog ribarstva te njihovom implementacijom pomoću novih oblika nastave. Ciljne skupine su poljoprivredni, agroturistički, veterinarski i prehrambeni tehničari, zaposlenici ribogojilišta, nastavnici iz škola u Karlovcu i Čakovcu te odrasle osobe koje će  se educirati o slatkovodnom ribarstvu. ",18.10.2013,18.10.2014,"1.124.181,96 €","1.352.969,01 €"
„Sunčana mehatronika“ - Usavršavanje „Specijalist mehatronike za solarne sustave“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,TEHNIČKA ŠKOLA KARLOVAC (46181162283),"Opći cilj:jačanje kapaciteta ustanova za obrazovanje odraslih kroz suvremenu nastavu, omogućiti odraslim polaznicima znanja, vještine i kompetencije relevantne za potrebe tržišta rada u području obnovljivih izvora energije RES/RUS tehnologije s naglaskom na solarne sustave za grijanje i struju. Specifični cilj je: 10 ustanova za obrazovanje odraslih nude nove programe za mehatroniku za solarne sustave grijanja i specijalist za solarne električne sustave za odrasle polaznike.Ciljne skupine:zaposlenici/nastavnici TŠ Karlovac, partnerskih institucija i odrasli polaznici koji su nezaposleni.",23.12.2013,23.12.2014,"1.083.979,37 €","1.215.632,32 €"
Poticanje zapošljavanja mladih kroz razvoj ruralnog turizma,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,KARLOVAČKA,Sveučilište u Zadru (10839679016),"Cilj projekta planira se ostvariti kroz dodatno obrazovanje mladih kako bi se potaknulo njihovo aktivno uključivanje u aktivnosti ruralnog turizma i u turističku valorizaciju kulturne/prirodne baštine projektnog područja. 
Kroz obrazovanje i praktični trening nezaposleni mladi će razumjeti, vrednovati te kreativno koristiti resurse svoje jedinstvene kulture, a isti će biti aktivirani kroz zapošljavanje u turističkim aktivnostima na obiteljskim poljoprivrednim gospodarstvima. 
",02.05.2011,02.05.2012,"918.312,16 €","1.081.257,71 €"
Tehnologija električnih strojeva s trajnim magnetom za povećanje energetske učinkovitosti u električnoj vuči i brodskoj propulziji,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva (57029260362),"Ciljevi projekta su jačanje istraživanja, razvoja, proizvodnje i iskorištavanja električnih strojeva s trajnim magnetima u Hrvatskoj u svrhu razvoja ekološki prihvatljivih, energetski učinkovitih, po performansama i cijeni optimiziranih prijevoznih sredstava u kopnenom i vodenom transportu, povećanje kapaciteta za prijenos tehnologije između visokih učilišta i hrvatskih proizvođača prijevoznih sredstava i električnih strojeva te povećanje konkurentnosti hrvatskog gospodarstva.",08.04.2013,08.04.2015,"1.818.760,07 €","2.141.229,16 €"
Kompetencijska mreža zasnovana na informacijsko-komunikacijskim tehnologijama za inovativne usluge namijenjene osobama sa složenim komunikacijskim potrebama,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva (57029260362),"Cilj projekta je istraživanje i razvoj inovativnih informacijsko-komunikacijskih usluga za osobe sa složenim komunikacijskim potrebama u RH te transfer znanja u području potpomognute komunikacije između uključenih akademskih institucija i malih te srednjih poduzeća zasnovanih na znanju. 
Ciljne skupine: vrtići, škole, vladine i nevladine organizacije, centri za rehabilitaciju, centri za odgoj i obrazovanje, specijalne bolnice namijenjene osobama sa složenim komunikacijskim potrebama u Republici Hrvatskoj i istraživačke jedinice Sveučilišta u Zagrebu. 
",29.03.2013,29.03.2015,"4.210.720,01 €","5.876.790,02 €"
Aditivne tehnologije za mala i srednje velika poduzeća,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU (22910368449),"Ciljevi projekta su uspostavljanje platforme za transfer tehnologije u obliku Centra za aditivne tehnologije (CATeh), primjena znanja o aditivnim tehnologijama na mala i srednje velika poduzeća te podrška u rastu inovativnosti i konkurentnosti istraživačkog i razvojnog sektora te rastu i razvoju malih i srednje velikih poduzeća njihovim umrežavanjem.",29.03.2013,29.03.2015,"4.226.742,89 €","5.001.470,66 €"
"Razvoj infrastrukture za osiguranje uvjeta za istraživanja, transfer tehnologije i inovacije u Karlovcu",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,Veleučilište u Karlovcu (62820859976),"Provedbom projekta će se na Veleučilištu u Karlovcu izgraditi kapaciteti za transfer tehnologije i komercijalizaciju primijenjenih istraživanja sa svrhom doprinosa razvoju industrijske konkurentnosti, te razvoju srednjih poduzeća zasnovanih na znanju. U tom smislu osim malih i srednjih poduzeća ciljane skupine su posebno mladi ljudi, s naglaskom na studente Veleučilišta u Karlovcu te žene kao tradicionalna manjina u inženjerskoj populaciji.",20.10.2010,20.04.2012,"7.629.530,98 €","7.966.514,52 €"
Ekološki uokvirite svoj okoliš - novi materijali i tehnologije za eko-prijateljsku proizvodnju okvira za slike i drvenog namještaja,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,ART d.o.o. za proizvodnju slikarske opreme i turistička agencija (53212735983),"Tvrtka ART će ovim projektom u svoje postrojenje za prozvodnju predmeta od drva uvesti nove strojeve i na taj način unaprijediti proizvodne metode za izradu drvenih okvira, povećati razvojni potencijal, energetsku učinkovitost i postići veću konkurentnost na tržištu.",19.06.2013,19.12.2014,"1.436.403,37 €","1.692.275,38 €"
Ubrzana identifikacija stanica u kliničkoj primjeni,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,KARLOVAČKA,Institut Ruđer Bošković (69715301002),"Cilj projekta je uspostava istraživačke infrastrukture za biotipizaciju patogenih mikroorganizama i stanica tumora. 
Ciljne skupine:
-pacijenti oboljeli od kliničkih infekcija (klinike i bolnice)
-prehrambena i farmaceutska industrija
-znanstvenici
-biotehnološke kompanije",19.03.2013,19.03.2015,"4.069.748,15 €","4.834.578,50 €"
