Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
"""Diagnostik Netzwerk Berlin-Brandenburg"" (DiagnostikNet-BB) e.V.","Gemeinschaftsstand ""Medica 2015"" in Düsseldorf ",20.05.2014,"102.691,05 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
"""Diagnostik Netzwerk Berlin-Brandenburg"" (DiagnostikNet-BB) e.V.",Gemeinschaftsstand AACC 2015 in Atlanta ,20.05.2014,"41.991,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
"""Diagnostik Netzwerk Berlin-Brandenburg"" (DiagnostikNet-BB) e.V.","Gemeinschaftsstand ""AACC 2016"" in Philadelphia ",02.06.2016,"48.100,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
99coaches GmbH ,Entwicklung und Markteintritt der Software 99coaches (Basic- und Personalversion) sowie Entwicklung einer Sportler-App,09.11.2015,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Addisco Education GmbH ,Weiterentwicklung einer Technologie zur Orientierungshilfe bei der Studien- bzw. Ausbildungswahl,23.03.2016,"133.334,00 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
AEROTOURS GmbH ,"Messeteilnahme: ""ILA 2016"" in Berlin ",22.02.2016,"9.082,00 € ",80%,"Strausberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
AGG Anlagen- und Gerätebau GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",23.10.2014,"29.200,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Air Bamboo Industrial GmbH ,Einrichtung einer Prototypenwerkstatt für innovative Bambus basierte Leichtbauplatten für industrielle Anwendungen,28.01.2016,"133.038,35 € ",80%,"Eberswalde, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
AkoTec Produktionsgesellschaft mbH ,"Messeteilnahme: ""Intersolar Europe 2015"" in München ",11.03.2015,"5.512,28 € ",80%,"Angermünde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme: ""E-world energy & water 2016"" in Essen ",24.06.2015,"8.609,80 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme: ""E-world energy & water 2017"" in Essen ",08.06.2016,"11.266,00 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
amperetta GmbH ,"Messeteilnahme: ""METS 2015"" in Amsterdam ",05.06.2015,"9.570,19 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Antonics-ICP GmbH ,"Messeteilnahme: ""TRAKO 2015"" in Danzig ",18.03.2014,"3.309,08 € ",80%,"Velten, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Antonics-ICP GmbH ,"Messeteilnahme: ""PMRExpo 2015"" in Köln ",11.02.2015,"7.380,00 € ",80%,"Velten, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Antonics-ICP GmbH ,"Messeteilnahme: ""IT-TRANS 2016"" in Karlsruhe ",16.02.2014,"10.398,80 € ",80%,"Velten, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Antonics-ICP GmbH ,"Messeteilnahme: ""ExpoFerroviaria 2016"" in Turin ",26.08.2015,"9.453,00 € ",80%,"Velten, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Antonics-ICP GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",10.12.2014,"8.080,20 € ",80%,"Velten, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
an-vision GmbH ,Errichtung einer Betriebsstätte und Anschaffung von Fertigungsausstattung für innovative Tierimplantate,19.01.2016,"133.333,34 € ",80%,"Hennigsdorf, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
APUS - Aeronautical Engineering GmbH ,"Aufbau des Unternehmensbereichs ""Alternative Luftfahrtantriebe - Flugerprobung und Missionsequipment""",23.06.2015,"133.333,33 € ",80%,"Strausberg, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Armytek Deutschland GmbH ,"Messeteilnahme: ""IWA OutdoorClassics 2016"" in Nürnberg ",30.12.2015,"21.526,00 € ",80%,"Herzberg (Elster), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ASCORI GmbH & Co. KG ,"Messeteilnahme: ""Industrial Automation/HANNOVER MESSE 2016"" in Hannover",30.09.2015,"15.000,00 € ",80%,"Cottbus, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ASTOR Schneidwerkzeuge GmbH ,Einstellung eines Markterschließungsassistenten zur Markterschl. von Süd- und Mittelamerika,22.06.2015,"24.300,00 € ",80%,"Storkow (Mark), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ASTOR Schneidwerkzeuge GmbH ,"Messeteilnahme: ""IME Int. Meat Expo (within IPPE) 2016"" in Atlanta (USA)",23.07.2015,"30.000,00 € ",80%,"Storkow (Mark), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ASTOR Schneidwerkzeuge GmbH ,"Messeteilnahme: ""südback 2016"" in Stuttgart ",29.06.2016,"12.400,00 € ",80%,"Storkow (Mark), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ASTOR Schneidwerkzeuge GmbH ,"Messeteilnahme: ""IPPE 2017"" in Atlanta (USA) ",08.07.2016,"30.000,00 € ",80%,"Storkow (Mark), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Axtschlag GmbH ,"Messeteilnahme: ""spoga + gafa 2015"" in Köln ",07.07.2015,"4.987,87 € ",80%,Heidesee,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Axtschlag GmbH ,"Messeteilnahme: ""spoga + gafa 2016"" in Köln ",06.06.2016,"15.313,48 € ",80%,Heidesee,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Baitzer Heizer e.G. ,Errichtung einer Fernwärmeleitung im Ort Baitz ,21.03.2016,"577.396,00 € ",80%,"Brück, Stadt",Deutschland,"013 Energieeffiziente Renovierung öffentlicher Infrastrukturen, Demonstrationsprojekte und Begleitmaßnahmen"
Baju Energy GmbH ,"Messeteilnahme: ""Husum Wind 2015"" in Husum ",12.05.2015,"8.204,40 € ",80%,"Eberswalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
BEFA Belziger Fahrzeugbau GmbH ,"Messeteilnahme: ""IAA Nutzfahrzeuge 2016"" in Hannover ",29.10.2015,"22.500,00 € ",80%,"Bad Belzig, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Berlin Partner für Wirtschaft und Technologie GmbH,Umsetzung des Managements und ausgewählter Maßnahmen im Bereich Biotechnologie u. Pharma des Masterplans Gesundheitsregion B/Brb,01.01.2015,"1.847.231,00 € ",80%,"Potsdam, Stadt",Deutschland,"063 Förderung von Clustern und Unternehmensnetzen, vor allem zugunsten von KMU"
Berlin Partner für Wirtschaft und Technologie GmbH,"Gemeinschaftsstand ""Medica 2015"" in Düsseldorf ",10.07.2015,"82.685,83 € ",80%,Land Brandenburg,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
biotechrabbit GmbH ,"Messeteilnahme: ""AACC Clinical Lab Expo 2015"" in Atlanta (USA) ",12.05.2015,"10.413,50 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
biotechrabbit GmbH ,"Messeteilnahme: ""MEDICA 2015"" in Düsseldorf ",03.04.2015,"3.492,30 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
biotechrabbit GmbH ,"Messeteilnahme: ""Arab Health 2016"" in Dubai ",05.05.2015,"4.433,95 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
biotechrabbit GmbH ,"Messeteilnahme: ""analytica 2016"" in München ",13.07.2015,"6.455,06 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
BIOTECON Diagnostics GmbH ,"Messeteilnahme: ""BrauBeviale 2016"" in Nürnberg ",18.01.2016,"4.275,60 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
BIOTECON Diagnostics GmbH ,Messeteilnahme: LABVOLUTION/BIOTECHNICA 2017 in Hannover,11.07.2016,"5.151,91 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
BIP-Industrietechnik GmbH ,"Messeteilnahme: ""parts2clean 2016"" in Stuttgart ",16.09.2015,"23.635,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
BIP-Industrietechnik GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",15.09.2015,"28.658,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
BIP-Industrietechnik GmbH ,"Messeteilnahme: ""EuroBLECH 2016"" in Hannover ",16.09.2015,"19.370,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Brandenburger Kabelwerk GmbH ,"Messeteilnahme: ""Hannover Messe 2016"" in Hannover ",20.05.2015,"7.186,78 € ",80%,"Zehdenick, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Brandenburgische Technische Universität Cottbus-Senftenberg,Geometrieerfassung von Turbomaschinenkomponenten zur Modellierung von Schaufelmistuning,01.02.2016,"161.821,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,"""Hochtemperatur-Tribo-Korrosions-Messsystem"" ",04.02.2016,"185.000,00 € ",80%,"Senftenberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,"Spezial-Heißpresse zur Herstellung neuartiger, hochbelastbarer hybrider Faser-Kunststoff/Metall-Mehrschichtverbunde",01.02.2016,"146.500,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Versuchsplattform für Langzeituntersuchungen schwimmender Bauten ,01.02.2016,"23.000,00 € ",80%,"Großräschen, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Anschaffung von Steuereinheiten für den Versuchsanlagenpark der Hochschule,01.02.2016,"160.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Geräteinvestition Fertigungsmesstechnik ,01.02.2016,"199.744,70 € ",80%,"Senftenberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Anschaffung eines NTA (Nanoparticle Tracking Analyzer) ,01.02.2016,"64.000,00 € ",80%,"Senftenberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Aqua Profiler M-Pro; Strömungsprofile an wasserum- und wasserdurchströmten Bauteilaktivierungen und Seewasserwärmetauschern,01.02.2016,"26.926,25 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Versuchsinfrastruktur für Untersuchungen an aerodynamischen Luftlagern,01.02.2016,"199.800,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,"Erweiterung einer Schmiedepresse zu einem ""Smart Forging Center""  für Hochleistungskomponenten der Energie- und Verkehrstechnik",04.02.2016,"200.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,"Ressourceneffiziente Leichtbauweisen aus metallischen Werkstoffen durch generatives, selektives Laserstrahlschmelzen",01.02.2016,"200.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Analyse-Modul zur Optimierung des Stickstoffpotentials in neuartigen Düngeprodukten aus der Bioabfallvergärung,03.02.2016,"85.930,50 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Innovationsfördernde Erweiterung der Mikrosstrukturcharakterisierung zur Analyse neuartiger Werkstoffe,01.02.2016,"70.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Erweiterung eines Raman-Mikroskopiesystems ,01.02.2016,"51.463,00 € ",80%,"Senftenberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Servohydraulische Prüfeinrichtung +/- 25 kN ,29.01.2016,"200.000,00 € ",80%,"Senftenberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Modulares Hybrid-Bearbeitungszentrum ,01.10.2016,"195.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Flexible Flachfolienanlage für neuartige Prepreg-Halbzeuge und hybride Faser-Kunststoff/Metall-Mehrschichtverbunde,01.10.2016,"88.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,"Zentrum ""Effiziente Fabrik Senftenberg"" ",01.10.2016,"80.000,00 € ",80%,"Senftenberg, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Erweiterung der elektrochemischen und Sensormesstechnik am Wasserstoff-Forschungszentrum,01.10.2016,"92.400,00 € ",80%,"Cottbus, Stadt",Deutschland,"065 Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO2-armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel"
Brandenburgische Technische Universität Cottbus-Senftenberg,Probenaufbereitungspaket und Analyseeinheit für Bodenhilfsstoffe  aus Gärresten,01.10.2016,"120.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Investition in innovative und ressourcenschonende Werkstoffprüftechnik für Mikro- und Nanomaterialien,13.09.2016,"65.000,00 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,PIV-Messtechnik für 2/3-D-Messungen in schnell strömenden und turbulenten Fluiden,13.09.2016,"199.991,40 € ",80%,"Cottbus, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Brandenburgische Technische Universität Cottbus-Senftenberg,Moderne Abgasanalyseeinrichtung für zukünftige Emissionsgesetzgebungen,13.09.2016,"200.000,00 € ",80%,"Cottbus, Stadt",Deutschland,"065 Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO2-armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel"
Brandenburgische Technische Universität Cottbus-Senftenberg,VITIV - Virtuelle Interdisziplinäre Triebwerksauslegung mit Integrativen Verfahren,01.07.2015,"2.920.538,37 € ",80%,"Cottbus, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Brandenburgische Technische Universität Cottbus-Senftenberg,"Modulentwicklung Software-Tool für die Einsatzplanung und Steuerung von ""Power to heat"" Anlagen",01.05.2016,"532.294,04 € ",80%,"Cottbus, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Brandenburgische Technische Universität Cottbus-Senftenberg,ProFIT Brandenburg: Entwickl. einer Softwarelösung für d. Mikrostruktur- u. Eigenschaftssimulation v. Hochtemperaturwerkstoffen,01.07.2016,"362.408,53 € ",80%,"Cottbus, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Brandenburgische Technische Universität Cottbus-Senftenberg,Entwicklung eines Walzverfahrens z. effizienten kontinuierlichen Herstellung strukturierter Halbzeuge für den Leichtbau,09.03.2016,"210.484,38 € ",80%,"Cottbus, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,"Entwicklung hocheffizienter, hybrider Energiewandler mit maximalem Brennstoffausnutzungsgrad      - MAXEFF -",01.01.2016,"901.430,57 € ",80%,"Cottbus, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,NED VAMP ,01.06.2016,"923.373,98 € ",80%,"Cottbus, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,Material- und ressourceneffizientere Prozessketten durch Kombination von Umformverfahren und additiver Fertigung,01.09.2016,"922.247,42 € ",80%,"Cottbus, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,PERsonalisierte Medizin durch FUNCTIONomics in BB: Drug-Metabolisierungsmodul für Wirkstofftests an Patientenzellen,01.08.2016,"847.335,29 € ",80%,"Senftenberg, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,Neuartige Fügetechnik zur Herstellung u. Instandsetzung v. Multi -Material-Systemen mit Metallen und Faser-Kunststoff-Verbunden,01.06.2016,"160.931,37 € ",80%,"Cottbus, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,Einsatz elektrohydrodynamisch getriebener Strömungen zur erweiterten Nutzung von Elektroabscheidern,01.10.2016,"862.066,44 € ",80%,"Cottbus, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Brandenburgische Technische Universität Cottbus-Senftenberg,Aufbau und Betrieb einer Transferplattform für Moderne Industrie Brandenburg 4.0 an der BTU Cottbus-Senftenberg,01.01.2015,"1.901.687,29 € ",80%,"Cottbus, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Brandenburgische Technische Universität Cottbus-Senftenberg,Wissens- und Technologietransfer an der BTU Cottbus- Senftenberg 2015 - 2016,01.01.2015,"553.326,48 € ",80%,"Cottbus, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Burmeister Jens,"Messeteilnahme: ""REHACARE International 2015"" in Düsseldorf ",07.08.2015,"6.998,00 € ",80%,"Pritzwalk, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Business auf Rädern GmbH ,Business auf Rädern - Mobilität neu gedacht ,13.01.2016,"125.000,00 € ",80%,Hoppegarten,Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
ComPoScan GmbH ,"Messeteilnahme: ""Husum Wind 2015"" in Husum ",10.10.2014,"3.699,20 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ComPoScan GmbH ,"Messeteilnahme: ""WindEnergy 2016"" in Hamburg ",01.10.2015,"5.600,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
CountR GmbH ,"Messeteilnahme: ""Global Gaming Expo 2015"" in Las Vegas (USA) ",30.10.2014,"30.000,00 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
CountR GmbH ,"Messeteilnahme: ""ICE Totally Gaming 2016"" in London (UK) ",03.06.2015,"25.571,43 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
CountR GmbH ,"Messeteilnahme: ""ICE Totally Gaming 2017"" in London ",11.01.2016,"22.914,74 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
CountR GmbH ,"Messeteilnahme: ""G2E-Global Gaming Expo 2016"" in Las Vegas ",15.09.2015,"30.000,00 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
CPU 24/7 GmbH ,"Einstellung eines Markterschließungsassistenten (Großbritannien, Frankreich, USA)",04.01.2016,"40.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Czwalinna Dieter,"Messeteilnahme: ""AGRITECHNICA 2015"" in Hannover ",04.05.2015,"8.250,80 € ",80%,"Nauen, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Dessy Carlo,Errichtung der Betriebsstätte/ Entwicklung eines neuartigen Viskosimeters für den Einsatz in Chromatographie-Anlagen,15.10.2015,"133.333,34 € ",80%,"Teltow, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Deutzer Technische Kohle GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",06.11.2014,"19.900,00 € ",80%,Zeuthen,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
dropnostix GmbH ,Entwicklung eines sensorbasierten Online-Kuhmonitoringsystems ,25.04.2016,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Dutch Vision Systems GmbH ,"Messeteilnahme ""Tube 2016"" in Düsseldorf ",14.08.2015,"8.455,20 € ",80%,"Pritzwalk, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Dutch Vision Systems GmbH ,"Messeteilnahme: ""Wire 2016"" in Düsseldorf ",14.08.2015,"7.120,06 € ",80%,"Pritzwalk, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Emperra GmbH E-Health Technologies,telediabetologische Produktsystem ESYSTA Arbeitspakete 1-5 ,15.04.2016,"2.145.672,30 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Emperra GmbH E-Health Technologies,Beratung zur Vorbereitung 510k Clearance bei der FDA (USA) ,15.07.2015,"22.600,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
ENFO AG ,Marktzugangsprojekt Polen ,12.02.2016,"58.470,00 € ",80%,"Frankfurt (Oder), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
F.A.K. Trade GmbH ,"Messeteilnahme: ""TRANOI - Homme & Preview 2016"" in Paris ",15.12.2015,"14.730,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
facade-lab GmbH ,Einstellung eines Markterschließungsassistenten (Vereinigtes Königreich und Afrika),04.01.2016,"29.400,00 € ",80%,Großbeeren,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Fachhochschule Potsdam ,MOBILITY DESIGN LAB (MDL) ,04.02.2016,"100.000,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Fachhochschule Potsdam ,Augmented Realitiy in der digitalen Kulturvermittlung ,13.09.2016,"70.020,00 € ",80%,"Potsdam, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Fachhochschule Potsdam ,Wissens- und Technologietransfer an der FH Potsdam 2015 - 2016,01.01.2015,"198.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
ferret go GmbH ,"Messeteilnahme: ""dmexco 2015"" in Köln ",30.06.2015,"9.940,19 € ",80%,"Bernau bei Berlin, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
