Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
Logisch Thomas,"Teilnahme an der Leitmesse ""boot 2016"" in Düsseldorf ",06.05.2015,"7.208,21 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Logisch Thomas,"Erlangung der weltweiten Marktzulassung für eine Enteron- Minikläranlage für Yachten, Hausboote und Expeditionsmobile",08.04.2016,"40.000,00 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Logisch Thomas,"Messeteilnahme: ""boot 2017"" in Düsseldorf ",30.05.2016,"10.000,00 € ",80%,Kleinmachnow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
MARKTGUT GmbH ,Entwicklung i@value#transfer Assessment TOOL ,30.10.2015,"133.333,33 € ",80%,"Werder (Havel), Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
mawa design licht- und wohnideen gmbh,"Messeteilnahme: ""Light+Building 2016"" in Frankfurt/Main ",14.06.2015,"19.667,00 € ",80%,Michendorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Medipan GmbH ,"Messeteilnahme: ""Arab Health 2016"" in Dubai ",01.05.2015,"7.215,95 € ",80%,Blankenfelde-Mahlow,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
MEMBRAPURE Gesellschaft für Membrantechnik mbH,"Messeteilnahme: ""Arab Health 2016"" in Dubai ",06.01.2015,"6.434,24 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Mikroskop-Technik Rathenow GmbH ,"Messeteilnahme: ""productronica 2015"" in München ",28.11.2014,"5.900,96 € ",80%,"Rathenow, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Mikroskop-Technik Rathenow GmbH ,"Messeteilnahme: ""Control 2016"" in Stuttgart ",02.07.2014,"7.073,00 € ",80%,"Rathenow, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Ministerium der Finanzen (MdF) - Referat 42 Prüfbehörde EFRE,Finanzierung von Personalkosten ,04.11.2015,"1.000.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium der Finanzen (MdF) - Referat 42 Prüfbehörde EFRE,Finanzierung von Personalkosten für die Designierungsprüfung (K),18.12.2015,"50.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium der Finanzen (MdF) - Referat 42 Prüfbehörde EFRE,Designierungsprüfungen,26.11.2015,"5.459.760,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium der Finanzen (MdF) - Referat 42 Prüfbehörde EFRE,Entgelte ILB für die PB,21.05.2015,"87.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium der Finanzen (MdF) - Referat 42 Prüfbehörde EFRE,Finanzierung von Fortbildungskosten,09.02.2016,"1.002.500,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium der Justiz und für Europa und Verbraucherschutz (MdJEV) - Referat IV.2,Begleitung Task-Force Golm,20.01.2016,"3.006.270,00 € ",80%,"Potsdam, Stadt",Deutschland,122 Bewertung und Studien 
Ministerium der Justiz und für Europa und Verbraucherschutz (MdJEV) - Referat IV.2,Der Begleitausschuss des Landes Brandenburg in der FP 2014 - 2020,26.05.2016,"35.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
