years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Uwe Jensen
Westre","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","960,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"V&S Video und Spiele Stores GmbH
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vaikuntha GbR
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vainities Hair Friseur
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"VAV GmbH
Garding","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.200,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Venner Medical (Deutschland) GmbH
Dänischenhagen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vernimb GmbH
Tangstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Versicherungen Haymo Werner
Meldorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Video Point
Bad Bramstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vilica Arne Hansen GmbH
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vilica Arne Hansen GmbH
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vilica Arne Hansen GmbH
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vita-Balance Dieter Schenk
Geesthacht","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"VIVA-Naturwaren
Meldorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.944,28",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Voigt Logistik
Herbert Voigt GmbH & Co. KG
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.760,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Voigt Transport GmbH & Co. KG
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","936,19",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Voigt Transport GmbH & Co. KG
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Voigt Wohlfühltechnik GmbH
Wesseln","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","720,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Völker & Schneier Zahntechnik
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Volker Hinzke GmbH
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.726,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Volker und Hilde Tantow GbR
Westensee","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Vollkornbäckerei Kornkraft
Schinkel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Volquardsen GmbH & Co. KG
Pellworm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Voss Sanitärtechnik GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Voss Sanitärtechnik GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","720,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"W. & F. Christiansen GmbH
Friedrichstadt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"W. & F. Christiansen GmbH
Friedrichstadt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"W. O. K. Party- und Veranstaltungs GmbH
Quickborn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"W. O. K. Party- und Veranstaltungs GmbH
Quickborn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"W. Wulff
Erfde","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.760,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Walter Thomas Carstens Gmbh
Mildstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Walter Thomas Carstens Gmbh
Mildstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wanbau-Bedachungen GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wärme & Mehr GmbH
Süderlügum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Weißbrod & Naeve GmbH Baugeschäft
Owschlag","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Werftbetrieb Bernd Strüven
Kappeln","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Werner Kruse Bauunternehmung OHG
Moorrege","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Werner von Osten Metallbau GmbH
Büttel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.560,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wesemann GmbH
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wesemann GmbH
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wesselbau GmbH
Kronprinzenkoog","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Westküsten-Solar GmbH & Co. KG
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wichert Konditorei-Bäckerei
Leck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wiedemann GmbH
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.640,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wiener Caféhaus
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.866,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wiese Kraftfahrzeuge GmbH
Albersdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wilde & Peper Lackierungen GmbH
Wedel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wilhelm Walter Nachf. R. Walter e. K.
Tönning","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Willi Rohwer GmbH
Jevenstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Willi Schmidt Stahl- und Metallbau
Norderstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Willy Rix GmbH Malerbetrieb
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Willy Rix GmbH Malerbetrieb
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Witkowski Jacek
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wohndesign Volker Kiose Bodenbeläge
Sylt-Ost","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolf Sanitär-Heizung-Solartechnik
Altenholz","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolf Tiefbau GmbH
Ellerbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolf ́s Computer - Wolf Rüdiger Schröter
Handewitt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolff Aufbereitungssysteme GmbH
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolff Aufbereitungssysteme GmbH
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolff Dächer Dachdecker - Bauklempner
Osterrönfeld","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolfgang Leis GmbH
Gnutz","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolfgang Richter Hair e. K.
Trittau","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wolfgang Rohde Sanitärtechnik
Uelvesbüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wood Steel & More Woodsteel GmbH
Ammersbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"World of Hairdress Kiel
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Wullenweber GmbH & Co. KG
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Yachtcharter mare balticum Reimers KG
Lehmkuhlen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Yachtwerft Fehmarn
Fehmarn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Yachtwerft Fehmarn
Fehmarn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnärzte Britta u. Jürgen Tretter
Mölln","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis B. Göcebe/N. Gimm-Aksoy
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Detlef und Solvig Zemanik
Eggebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Dr. André Schmidt
Itzehoe","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Dr. Elke Maser
Grömitz","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","120,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Dr. med. dent. Sabine Daum
Eckernförde","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Friedel & Tollgaard
Ahrensbök","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Stefanie Scholz
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zahnarztpraxis Wilhelm Geerk
Nieblum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zentral-Kiosk
Niebüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zernitz Haustechnik
Halstenbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ZiBu + Partner Handelsbetrieb GmbH
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmer GmbH
Geesthacht","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.640,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Andreas Fedde
Börm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Andreas Fedde
Börm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Andreas Petersen
Risum-Lindholm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Betrieb Dohrn
Risum-Lindholm","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Björn Petersen
Langenhorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.680,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Christian Schäfer
Eckernförde","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Christian Tesdorff
Nützen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Christian Tesdorff
Nützen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Erich Kirschneit GmbH & Co. KG
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Hauke Petersen
Langenhorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Horst Matthießen GmbH
Großenaspe","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Jens Söhl
Busenwurth","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Jörn Hansen
Bohmstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Karl-Heinz Ratai
Schleswig","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Karl-Heinz Struve
Stedesand","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","537,28",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Klaus Lorenzen
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Logemann 
Lentföhrden","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Mario Opitz
Oster-Ohrstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Mark Brüß
Wesenberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Matthias Jensen
Struckum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Nissen
Rosdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Peter Deter
Süderlügum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.287,90",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Peter Hübner
Drelsdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Tobias Hansen
Westre","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Tobias Hansen
Westre","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Zimmerei Töfflinger & Bösel GmbH
Hohenwestedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
