years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Lensch GmbH & Co. KG
Bredstedt",A2 - Potenzialberatung,"2.700,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Manfred Rau GmbH & Co. KG
Brunsbüttel",A2 - Potenzialberatung,"3.000,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Owschlag
Owschlag",A2 - Potenzialberatung,"1.800,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Ralf Schnoor
Brunsbüttel",A2 - Potenzialberatung,"1.500,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Rau GmbH & Co. KG
Brunsbüttel",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Selent 
Selent",A2 - Potenzialberatung,"3.000,00",
2008,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autohaus Zingelmann GmbH
Ahrensburg",A2 - Potenzialberatung,"3.000,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Autoverwertung Wieben 
Hillgroven",A2 - Potenzialberatung,"2.700,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"AWEK AG
Barsbüttel",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"B + M Ingenieurbüro GmbH
Scharbeutz",A2 - Potenzialberatung,"2.025,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"B.I.K. Uhr GmbH
Harrislee",A2 - Potenzialberatung,"3.000,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Dirk Dembeck
Aukrug",A2 - Potenzialberatung,"1.500,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Hans Hinrichsen
Behrendorf",A2 - Potenzialberatung,"2.400,00",
2009,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bäckerei Jaeger
Hohenwestedt",A2 - Potenzialberatung,"3.000,00",
