Year 1,Year 2,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,amisso GmbH,"Einstellung Innovationsassietnt/-
in","16.000,00 €",
2008,2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Berkenthin - Der 
Amtsvorsteher -","Erschließung des 
Gewerbegebietes B-Plan 14 in 
der Gemeinde Kastorf","256.451,06 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Geltinger Bucht - Der 
Amtsvorsteher -","Aufwertung der 
Strandpromenade und der 
strandbezogenen Infrastruktur in 
den Gemeinden Hasselberg und 
Kronsgaard","597.547,77 €",
2009,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"A-MT Hallenbau Kropp 
GmbH","Modernisierung einer 
Betriebsstätte in Kropp (A-MT 
Hallenbau Kropp GmbH)","33.950,00 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Amt KLG Heider Umland,"Erschließung Gewerbegebiet B-
Plan Nr. 9 in Wöhrden, 1. BA","102.201,00 €",
2013,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Amt KLG Heider Umland,"Erschließung des 
Gewerbegebietes B-Plan Nr. 13 
in Lohe-Rickelshof",,"876.817,00 €"
2010,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Amt KLG Heider Umland,"Fortschreibung und Erweiterung 
des Entwicklungskonzeptes für 
den Raum Heide-Umland","133.751,87 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Kropp-Stapelholm - 
Der Amtsvorsteher -","Audiotracks für den Wikinger-
Friesen-Weg: der erste vertonte 
Radfernweg Deutschlands","44.481,97 €",
2010,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Langballig - Der 
Amtsvorsteher - ","Gemeinsames Gewerbegebiet 
Flensburg/Glücksburg/Wees",,"836.047,00 €"
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Lauenburgische 
Seen - Der Amtsvorsteher 
-","Erschließung des 
Gewerbegebietes B-Plan 7 in 
der Gemeinde Ziethen","388.502,83 €",
2008,2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Lütjenburg-Land - 
Der Amtsvorsteher -","Erstellung eines 
Tourismuskonzeptes für die 
Gesamtregion Hohwachter 
Bucht","17.700,00 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Mittleres 
Nordfriesland - Der 
Amtsvorsteher -
 ","Erweiterung des 
Gewerbegebietes 
Langenhorn/Monkebüll (B-Plan 
Nr. 8)","135.257,02 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Mittleres 
Nordfriesland - Der 
Amtsvorsteher -
 ","Erweiterung des 
Gewerbegebietes Nord-Ost in 
Bredstedt, Rosenburger Weg, 1. 
BA","569.772,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Amt Nordsee-Treene,"Erweiterung des 
interkommunalen 
Gewerbegebietes Rantrum, B-
Plan Nr. 6 (3. BA)","219.527,41 €",
2010,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Schenefeld - Der 
Amtsvorsteher -","Erweiterung des 
Gewerbegebietes in der 
Gemeinde Schenefeld, B-Plan 
Nr. 22, ""Gewerbegebiet 
Scheeperkoppel"", II. BA","555.041,21 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Schenefeld - Der 
Amtsvorsteher -","Erschließung des 
Gewerbegebietes 
Scheeperkoppel in der 
Gemeinde Schenefeld, B-Plan 
Nr. 28","528.636,58 €",
2010,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Amt Viöl
- Der Amtsvorsteher - ","Erschließung des 
Gewerbegebietes Viöl, B-Plan 
Nr. 15","426.648,74 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,analytix GmbH,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,analytix GmbH,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ancker Yachting GmbH
Geschäftsleitung","Erweiterung einer Betriebsstätte 
in Kappeln (Ancker Yachting 
GmbH)","33.512,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Andreas Schweigstill IT
Embadded Systems","Einstellung 
Innovationsassistent/-in","24.000,00 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Anlagentechnik Thiel 
GmbH & Co. KG","Anlagentechnik Thiel Errichtung 
einer Betriebsstätte in 
Neumünster","65.478,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Antenna Technolgy 
Center (Europe)
ATC GmbH","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Anthon GmbH 
Maschinen- und 
Anlagenbau","Modernisierung einer 
Betriebsstätte in Flensburg, 
Anthon GmbH Maschinen und 
Anlagenbau","278.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Anthon GmbH
Maschinen- und 
Anlagenbau","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Aparthotel Sylt Vital, Inh. 
Sandra Weiß","Modernisierung einer 
Betriebsstätte in Westerland 
(Aparthotel Sylt Vital)","70.839,73 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AP-Concept GmbH & Co. 
KG","Erweiterung einer Betriebsstätte 
in Glückstadt, AP-Concept 
GmbH & Co KG","151.575,00 €",
2011,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,APOS GmbH,"Erweiterung einer 
Betriebsstätte, APOS GmbH ",,"0,00 €"
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,APOS GmbH,"Primärenergiebestimmung 
Biomasse und EBS","368.282,99 €",
2010,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Apparatebau J.R. Riess 
GmbH","Produkt-Diversifikation in einer 
Betriebsstätte in Geesthacht, 
Apparatebau I.R.Riess GmbH 
Produkt-Diversifikation in einer 
Betriebsstätte in Geesthacht","53.764,50 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Apparatebau-Münster 
GmbH","Erweiterung einer Betriebsstätte 
in Dägeling (Apparatebau-
Münster GmbH)","72.019,00 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AQUA tec, Ingenieurbüro 
für Wasserwirtschaft und
Tiefbau","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AQUA tec, Ingenieurbüro 
für Wasserwirtschaft und
Tiefbau","Einstellung einer 
Innovationsassistentin","24.000,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ARCTOS Industriekälte 
AG","Einstellung 
Innovationsassistent/-in","30.000,00 €",
