N¡;Programme op_rationnel / Operationneel programma ;Priorite/Prioriteit;Sub-Priorite/Sub-Prioriteit;B_n_ficiaire / Begunstigde;FEDER;Financement public sans FEDER;Op_ration / Actie;Site web / Website;Ann_e d'allocation / Jaar van toewijzing;Ann_e d'allocation 2/ Jaar van toewijzing 2;Ann_e d'allocation 3/ Jaar van toewijzing 3;Financement total du projet / Totale projectfinanciering (Û);Financement public / Publieke financiering (Û) ;Financement FEDER (UE) / EFRO-financiering (EU) (Û)
P12-03;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien ˆ la mise en place d'un p™le de d_veloppement urbain li_ aux secteurs _conomique de l'environnement / Hulp bij de oprichting van een stadsontwikkelingsplatform verbonden met  economische sectoren die ijveren voor het milieu;Centre scientifique et technique de la construction;560.000;560.000;Centre d'excellence construction durable;http://www.competentiecentrum-duurzaambouwen.be/index.cfm?n01=compdubo&n02=presentation;2008;;;1.120.000,00;1.120.000,00;560.000,00
P12-04;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien ˆ la mise en place d'un p™le de d_veloppement urbain li_ aux secteurs _conomique de l'environnement / Hulp bij de oprichting van een stadsontwikkelingsplatform verbonden met  economische sectoren die ijveren voor het milieu;Bruxelles environnement-ABE-Groupe One;981.169;981.169;Brussels sustainable economy;http://www.bruplus.irisnet.be/fr/content/brussels-sustainable-economy;2008;;;2.181.338,00;2.181.338,00;1.090.669,00
;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;SOUTENIR LA COMPETITIVITE TERRITORIALE / HET TERRITORIALE CONCURRENTIEVERMOGEN ONDERSTEUNEN;Soutien ˆ la mise en place d'un p™le de d_veloppement urbain li_ aux secteurs _conomique de l'environnement / Hulp bij de oprichting van een stadsontwikkelingsplatform verbonden met  economische sectoren die ijveren voor het milieu;Erasmushogeschool;Erasmushogeschool;;EMOVO;http://emovo.be/;2009;;;3.733.000,00;875.000,00;237.500,00
P21-01;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Am_lioration de l'attractivit_ et de l'image de la zone / Verbetering van de aantrekkelijkheid en het imago van de zone;Abattoirs;2.076.967;2.477.869;Agro - Parc - Abattoirs;http://www.abatan.be/fr/projets;2008;2010;2012;16.968.803,54;9.489.736,54;3.739.534,00
P21-02;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Am_lioration de l'attractivit_ et de l'image de la zone / Verbetering van de aantrekkelijkheid en het imago van de zone;Centre d'entreprise Dansaert;1.750.000;5.250.000;Mode and Design (MAD) Brussels ;http://www.madbrussels.be/fr/MAD;2010;;;7.005.000,00;7.005.000,00;1.750.000,00
P21-06;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Am_lioration de l'attractivit_ et de l'image de la zone / Verbetering van de aantrekkelijkheid en het imago van de zone;Agence de d_veloppement territorial;1.613.330;1.613.330;Marketing urbain;http://www.adt-ato.irisnet.be/fr/marketing-urbain;2008;;;3.166.954,73;3.166.954,73;1.583.477,37
P21-07;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Am_lioration de l'attractivit_ et de l'image de la zone / Verbetering van de aantrekkelijkheid en het imago van de zone;Atrium;1.450.749;1.851.651;P™le d'innovation commerciale - Opensoon;http://www.opensoon.be/blog/?lang=fr;2008;;;3.250.000,00;3.250.000,00;1.625.000,00
;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;;;6.891.046;11.192.850;Total Groupe d'op_rations 2.1.;;;;;;22.911.691,27;
P22-01;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Commune de Schaerbeek;944.423;944.423;"Crèche Gaucheret 'Etoile du Nord""";http://www.creches-de-schaerbeek.be/index.php?option=com_content&view=article&id=71:une-creche-exemplaire-pour-schaerbeek&catid=39:lasbl-creches-de-schaerbeek&Itemid=28;2009;;;2.860.822,00;2.860.822,00;944.423,00
P22-02;Objectif 2013 : Investissons ensemble dans le d_veloppement urbain! / Doelstelling 2013 : Samen investeren in stedelijke ontwikkeling!;RENFORCER LA COHESION TERRITORIALE / DE TERRITORIALE COHESIE VERSTERKEN;Renforcement des infrastructures de proximit_ en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding;Centre public d'aide sociale de Bruxelles-Ville;410.362;1.315.786;"Crèche quartier ""Maison rouge"" Laeken";http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance;2009;2010;; -     ; -     ; -     
